datetime;total_votes;Lay_Lady_Lay;rockamark;not;sly2m;Qumnica;Deneo;voklo;akuaku;kotophalk;kiLstrom
2019-10-09 03:37:59;31;2;6;4;0;4;2;3;0;2;1
2019-10-09 03:38:58;31;2;6;4;0;4;2;3;0;2;1
2019-10-09 03:39:59;31;2;6;4;0;4;2;3;0;2;1
2019-10-09 03:40:59;31;2;6;4;0;4;2;3;0;2;1
2019-10-09 03:41:59;31;2;6;4;0;4;2;3;0;2;1
2019-10-09 03:42:58;31;2;6;4;0;4;2;3;0;2;1
2019-10-09 03:43:59;31;2;6;4;0;4;2;3;0;2;1
2019-10-09 03:44:59;31;2;6;4;0;4;2;3;0;2;1
2019-10-09 03:45:58;31;2;6;4;0;4;2;3;0;2;1
2019-10-09 03:46:59;31;2;6;4;0;4;2;3;0;2;1
2019-10-09 03:47:59;31;2;6;4;0;4;2;3;0;2;1
2019-10-09 03:48:58;31;2;6;4;0;4;2;3;0;2;1
2019-10-09 03:49:59;31;2;6;4;0;4;2;3;0;2;1
2019-10-09 03:50:59;31;2;6;4;0;4;2;3;0;2;1
2019-10-09 03:51:59;31;2;6;4;0;4;2;3;0;2;1
2019-10-09 03:52:59;31;2;6;4;0;4;2;3;0;2;1
2019-10-09 03:53:58;31;2;6;4;0;4;2;3;0;2;1
2019-10-09 03:54:59;31;2;6;4;0;4;2;3;0;2;1
2019-10-09 03:55:59;31;2;6;4;0;4;2;3;0;2;1
2019-10-09 03:56:58;31;2;6;4;0;4;2;3;0;2;1
2019-10-09 03:57:59;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 03:58:59;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 03:59:58;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:00:59;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:01:59;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:02:58;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:03:59;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:04:59;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:05:59;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:06:58;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:07:59;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:08:59;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:09:58;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:10:59;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:11:59;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:12:59;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:13:58;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:14:59;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:15:59;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:16:59;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:17:58;32;3;6;4;0;4;2;3;0;2;0
2019-10-09 04:18:59;32;3;6;4;0;4;2;3;0;2;0
