datetime;total_votes;ante;Tae4ka;bf6;wintercyclone;rockamark;Helengar;MsRobinson;BlackIrony;gelatelno;Salt
2020-02-26 02:12:59;37;13;0;6;5;1;1;3;0;1;0
2020-02-26 02:13:58;37;13;0;6;5;1;1;3;0;1;0
2020-02-26 02:14:59;37;13;0;6;5;1;1;3;0;1;0
2020-02-26 02:15:59;37;13;0;6;5;1;1;3;0;1;0
2020-02-26 02:16:58;37;13;0;6;5;1;1;3;0;1;0
2020-02-26 02:17:59;37;13;0;6;5;1;1;3;0;1;0
2020-02-26 02:18:59;38;13;0;7;5;1;1;3;0;1;0
2020-02-26 02:19:58;38;13;0;7;5;1;1;3;0;1;0
2020-02-26 02:20:59;38;13;0;7;5;1;1;3;0;1;0
2020-02-26 02:21:58;38;13;0;7;5;1;1;3;0;1;0
2020-02-26 02:22:59;38;13;0;7;5;1;1;3;0;1;0
2020-02-26 02:23:59;38;13;0;7;5;1;1;3;0;1;0
2020-02-26 02:24:58;38;13;0;7;5;1;1;3;0;1;0
2020-02-26 02:25:59;38;13;0;7;5;1;1;3;0;1;0
2020-02-26 02:26:59;38;13;0;7;5;1;1;3;0;1;0
2020-02-26 02:27:59;38;13;0;7;5;1;1;3;0;1;0
2020-02-26 02:28:58;38;13;0;7;5;1;1;3;0;1;0
2020-02-26 02:29:59;38;13;0;7;5;1;1;3;0;1;0
2020-02-26 02:30:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:31:58;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:32:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:33:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:34:58;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:35:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:36:59;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:37:58;39;13;0;7;5;1;1;3;2;1;0
2020-02-26 02:38:59;39;13;0;7;5;1;1;3;2;1;0
