datetime;total_votes;Rumpelstilzchen;navalny;shamanka2_0;KOCTOPE3;Есения;ruweb;quick_justice;mahinaci9;kotophalk;Trudofobique
2020-10-07 03:14:58;43;19;5;2;2;1;0;2;0;0;3
2020-10-07 03:15:59;43;19;5;2;2;1;0;2;0;0;3
2020-10-07 03:17:00;43;19;5;2;2;1;0;2;0;0;3
2020-10-07 03:17:58;43;19;5;2;2;1;0;2;0;0;3
2020-10-07 03:18:59;43;19;5;2;2;1;0;2;0;0;3
2020-10-07 03:19:58;43;19;5;2;2;1;0;2;0;0;3
2020-10-07 03:20:59;43;19;5;2;2;1;0;2;0;0;3
2020-10-07 03:21:59;43;19;5;2;2;1;0;2;0;0;3
2020-10-07 03:22:58;43;19;5;2;2;1;0;2;0;0;3
2020-10-07 03:23:59;43;19;5;2;2;1;0;2;0;0;3
2020-10-07 03:24:59;43;19;5;2;2;1;0;2;0;0;3
2020-10-07 03:25:58;43;19;5;2;2;1;0;2;0;0;3
2020-10-07 03:26:59;44;20;5;2;2;1;0;2;0;0;3
2020-10-07 03:27:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:28:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:29:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:30:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:31:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:32:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:33:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:34:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:35:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:36:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:37:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:38:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:39:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:40:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:41:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:42:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:43:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:44:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:45:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:46:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:47:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:48:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:49:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:50:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:51:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:52:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:53:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:54:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:56:00;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:56:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:57:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:58:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 03:59:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:00:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:01:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:02:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:03:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:04:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:05:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:06:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:07:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:08:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:09:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:10:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:11:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:12:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:13:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:14:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:15:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:16:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:17:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:18:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:19:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:20:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:21:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:22:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:23:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:24:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:25:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:26:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:28:00;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:28:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:29:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:31:00;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:31:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:32:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:33:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:34:59;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:35:58;45;20;5;2;2;1;0;3;0;0;3
2020-10-07 04:36:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:37:58;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:38:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:39:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:40:58;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:41:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:42:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:43:58;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:44:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:45:58;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:46:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:47:58;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:48:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:49:59;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:50:58;46;20;5;2;2;0;1;3;0;0;3
2020-10-07 04:51:59;46;20;5;2;2;0;1;3;0;0;3
