datetime;total_votes;ruweb;atomic_gun;ksiam;axxl;PVN;few;Bruja_;Barkas;kross;KOCTOPE3
2020-03-25 04:19:58;78;23;25;4;3;6;3;2;0;2;0
2020-03-25 04:20:59;78;23;25;4;3;6;3;2;0;2;0
2020-03-25 04:21:59;78;23;25;4;3;6;3;2;0;2;0
2020-03-25 04:22:58;78;23;25;4;3;6;3;2;0;2;0
2020-03-25 04:23:59;78;23;25;4;3;6;3;2;0;2;0
2020-03-25 04:24:59;78;23;25;4;3;6;3;2;0;2;0
2020-03-25 04:25:59;79;23;26;4;3;6;3;2;0;2;0
2020-03-25 04:26:58;79;23;26;4;3;6;3;2;0;2;0
2020-03-25 04:27:59;79;23;26;4;3;6;3;2;0;2;0
2020-03-25 04:28:59;79;23;26;4;3;6;3;2;0;2;0
2020-03-25 04:29:58;79;23;26;4;3;6;3;2;0;2;0
2020-03-25 04:30:59;79;23;26;4;3;6;3;2;0;2;0
2020-03-25 04:31:59;79;23;26;4;3;6;3;2;0;2;0
2020-03-25 04:32:58;79;23;26;4;3;6;3;2;0;2;0
2020-03-25 04:33:59;80;23;26;4;3;6;3;2;0;2;0
2020-03-25 04:34:59;80;23;26;4;3;6;3;2;0;2;0
2020-03-25 04:35:58;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:36:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:37:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:38:58;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:39:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:40:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:41:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:42:58;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:43:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:44:58;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:45:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:46:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:47:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:48:58;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:49:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:51:00;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:51:58;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:52:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:53:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:54:58;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:55:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:56:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:57:58;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:58:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 04:59:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 05:00:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 05:01:58;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 05:02:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 05:03:58;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 05:04:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 05:05:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 05:06:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 05:07:58;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 05:08:59;80;23;27;4;3;6;3;2;0;2;0
2020-03-25 05:09:59;82;24;27;4;3;6;3;2;0;2;0
2020-03-25 05:10:58;82;24;27;4;3;6;3;2;0;2;0
2020-03-25 05:11:59;82;24;27;4;3;6;3;2;0;2;0
2020-03-25 05:12:59;82;24;27;4;3;6;3;2;0;2;0
2020-03-25 05:14:00;82;24;27;4;3;6;3;2;0;2;0
2020-03-25 05:14:58;82;24;27;4;3;6;3;2;0;2;0
2020-03-25 05:15:59;83;24;28;4;3;6;3;2;0;2;0
2020-03-25 05:16:59;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:17:58;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:18:59;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:19:58;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:20:59;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:21:59;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:22:59;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:23:58;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:24:59;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:25:59;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:26:59;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:27:58;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:28:59;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:29:59;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:30:58;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:31:59;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:32:59;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:33:58;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:34:59;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:35:59;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:36:58;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:37:59;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:38:59;85;24;29;4;3;6;3;2;0;3;0
2020-03-25 05:39:58;86;24;30;4;3;6;3;2;0;3;0
2020-03-25 05:40:59;86;24;30;4;3;6;3;2;0;3;0
2020-03-25 05:41:59;86;24;30;4;3;6;3;2;0;3;0
2020-03-25 05:42:58;86;24;30;4;3;6;3;2;0;3;0
2020-03-25 05:43:59;86;24;30;4;3;6;3;2;0;3;0
2020-03-25 05:44:59;86;24;30;4;3;6;3;2;0;3;0
2020-03-25 05:45:58;86;24;30;4;3;6;3;2;0;3;0
2020-03-25 05:46:59;86;24;30;4;3;6;3;2;0;3;0
2020-03-25 05:47:59;86;24;30;4;3;6;3;2;0;3;0
2020-03-25 05:48:58;86;24;30;4;3;6;3;2;0;3;0
2020-03-25 05:49:59;86;24;30;4;3;6;3;2;0;3;0
2020-03-25 05:50:59;87;25;30;4;3;6;3;2;0;3;0
2020-03-25 05:51:59;87;25;30;4;3;6;3;2;0;3;0
2020-03-25 05:52:58;88;26;30;4;3;6;3;2;0;3;0
2020-03-25 05:53:59;88;26;30;4;3;6;3;2;0;3;0
2020-03-25 05:54:59;88;26;30;4;3;6;3;2;0;3;0
2020-03-25 05:55:58;88;26;30;4;3;6;3;2;0;3;0
2020-03-25 05:56:59;88;26;30;4;3;6;3;2;0;3;0
2020-03-25 05:57:59;88;26;30;4;3;6;3;2;0;3;0
2020-03-25 05:58:58;88;26;30;4;3;6;3;2;0;3;0
2020-03-25 05:59:59;88;26;30;4;3;6;3;2;0;3;0
2020-03-25 06:00:59;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:01:59;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:02:58;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:03:59;89;27;30;4;3;6;3;2;0;3;0
2020-03-25 06:04:59;89;27;30;4;3;6;3;2;0;3;0
