datetime;total_votes;pavelomg;DrumBox;Dirtylieutenant;kamutahirovata;rockamark;megalomaniac;Zabava;mvgolubev;Lay_Lady_Lay;Palad1n
2019-12-25 02:15:58;37;0;7;5;0;5;1;4;0;2;2
2019-12-25 02:16:59;37;0;7;5;0;5;1;4;0;2;2
2019-12-25 02:17:59;37;0;7;5;0;5;1;4;0;2;2
2019-12-25 02:18:58;37;0;7;5;0;5;1;4;0;2;2
2019-12-25 02:19:59;37;0;7;5;0;5;1;4;0;2;2
2019-12-25 02:20:59;37;0;7;5;0;5;1;4;0;2;2
2019-12-25 02:21:58;37;0;7;5;0;5;1;4;0;2;2
2019-12-25 02:22:59;37;0;7;5;0;5;1;4;0;2;2
2019-12-25 02:23:59;37;0;7;5;0;5;1;4;0;2;2
2019-12-25 02:24:59;37;0;7;5;0;5;1;4;0;2;2
2019-12-25 02:25:58;37;0;7;5;0;5;1;4;0;2;2
2019-12-25 02:26:59;37;0;7;5;0;5;1;4;0;2;2
2019-12-25 02:27:59;38;0;7;5;0;5;2;4;0;2;2
2019-12-25 02:28:58;40;0;8;5;0;5;3;4;0;2;2
2019-12-25 02:29:59;40;0;8;5;0;5;3;4;0;2;2
2019-12-25 02:30:59;40;0;8;5;0;5;3;4;0;2;2
2019-12-25 02:31:58;40;0;8;5;0;5;3;4;0;2;2
2019-12-25 02:32:59;41;0;8;5;0;5;3;5;0;2;2
2019-12-25 02:33:59;41;0;8;5;0;5;3;5;0;2;2
2019-12-25 02:34:59;41;0;8;5;0;5;3;5;0;2;2
2019-12-25 02:35:58;41;0;8;5;0;5;3;5;0;2;2
2019-12-25 02:36:59;41;0;8;5;0;5;3;5;0;2;2
2019-12-25 02:37:59;41;0;8;5;0;5;3;5;0;2;2
2019-12-25 02:38:58;41;0;8;5;0;5;3;5;0;2;2
2019-12-25 02:39:59;41;0;8;5;0;5;3;5;0;2;2
2019-12-25 02:40:59;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 02:41:58;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 02:42:59;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 02:43:59;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 02:44:58;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 02:45:59;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 02:46:59;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 02:47:58;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 02:48:59;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 02:49:59;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 02:51:00;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 02:51:58;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 02:52:59;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 02:53:59;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 02:54:59;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 02:55:58;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 02:56:58;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 02:57:59;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 02:58:59;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 02:59:59;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 03:00:58;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 03:01:59;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 03:02:59;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 03:03:59;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 03:05:00;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 03:05:58;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 03:06:59;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 03:07:58;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 03:08:59;42;0;8;5;1;5;3;5;0;2;2
2019-12-25 03:09:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:11:00;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:11:58;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:12:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:13:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:14:58;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:15:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:16:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:17:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:18:58;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:19:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:20:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:21:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:22:58;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:23:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:24:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:25:58;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:26:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:27:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:28:58;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:29:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:30:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:31:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:32:58;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:33:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:34:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:35:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:36:58;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:37:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:38:58;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:39:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:40:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:41:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:42:58;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:43:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:44:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:45:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:46:58;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:47:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:48:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:49:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:50:58;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:51:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:52:59;43;0;8;5;2;5;3;5;1;2;2
2019-12-25 03:53:59;44;0;9;5;2;5;3;5;1;2;2
2019-12-25 03:54:58;44;0;9;5;2;5;3;5;1;2;2
2019-12-25 03:55:59;44;0;9;5;2;5;3;5;1;2;2
2019-12-25 03:56:59;44;0;9;5;2;5;3;5;1;2;2
2019-12-25 03:57:58;44;0;9;5;2;5;3;5;1;2;2
2019-12-25 03:58:59;44;0;9;5;2;5;3;5;1;2;2
2019-12-25 03:59:59;44;0;9;5;2;5;3;5;1;2;2
2019-12-25 04:00:58;44;0;9;5;2;5;3;5;1;2;2
2019-12-25 04:01:59;44;0;9;5;2;5;3;5;1;2;2
2019-12-25 04:02:59;44;0;9;5;2;5;3;5;1;2;2
2019-12-25 04:03:58;44;0;9;5;2;5;3;5;1;2;2
2019-12-25 04:04:59;44;0;9;5;2;5;3;5;1;2;2
2019-12-25 04:05:58;44;0;9;5;2;5;3;5;1;2;2
2019-12-25 04:06:59;44;0;9;5;2;5;3;5;1;2;2
2019-12-25 04:07:59;44;0;9;5;2;5;3;5;1;2;2
