datetime;total_votes;Jey;Mindsplitter;Rumpelstilzchen;Yardrey;Good;Volodya_FM;mama_p_zh;telegraf;pazoozoo;Bruja_
2021-01-20 05:06:59;71;17;17;6;4;4;0;4;3;2;2
2021-01-20 05:07:58;71;17;17;6;4;4;0;4;3;2;2
2021-01-20 05:08:59;71;17;17;6;4;4;0;4;3;2;2
2021-01-20 05:09:59;71;17;17;6;4;4;0;4;3;2;2
2021-01-20 05:10:58;71;17;17;6;4;4;0;4;3;2;2
2021-01-20 05:11:59;71;17;17;6;4;4;0;4;3;2;2
2021-01-20 05:12:58;71;17;17;6;4;4;0;4;3;2;2
2021-01-20 05:13:59;71;17;17;6;4;4;0;4;3;2;2
2021-01-20 05:14:59;71;17;17;6;4;4;0;4;3;2;2
2021-01-20 05:15:58;71;17;17;6;4;4;0;4;3;2;2
2021-01-20 05:16:59;71;17;17;6;4;4;0;4;3;2;2
2021-01-20 05:17:59;71;17;17;6;4;4;0;4;3;2;2
2021-01-20 05:18:58;71;17;17;6;4;4;0;4;3;2;2
2021-01-20 05:19:59;71;17;17;6;4;4;0;4;3;2;2
2021-01-20 05:20:59;72;18;17;6;4;4;0;4;3;2;2
2021-01-20 05:21:58;72;18;17;6;4;4;0;4;3;2;2
2021-01-20 05:22:59;72;18;17;6;4;4;0;4;3;2;2
2021-01-20 05:23:58;72;18;17;6;4;4;0;4;3;2;2
2021-01-20 05:24:59;72;18;17;6;4;4;0;4;3;2;2
2021-01-20 05:25:59;72;18;17;6;4;4;0;4;3;2;2
2021-01-20 05:26:58;72;18;17;6;4;4;0;4;3;2;2
2021-01-20 05:27:59;72;18;17;6;4;4;0;4;3;2;2
2021-01-20 05:28:58;72;18;17;6;4;4;0;4;3;2;2
2021-01-20 05:29:59;72;18;17;6;4;4;0;4;3;2;2
2021-01-20 05:30:59;72;18;17;6;4;4;0;4;3;2;2
2021-01-20 05:31:58;72;18;17;6;4;4;0;4;3;2;2
2021-01-20 05:32:59;72;18;17;6;4;4;0;4;3;2;2
2021-01-20 05:33:58;72;18;17;6;4;4;0;4;3;2;2
2021-01-20 05:34:59;72;18;17;6;4;4;0;4;3;2;2
2021-01-20 05:35:59;72;18;17;6;4;4;0;4;3;2;2
2021-01-20 05:36:58;73;18;18;6;4;4;0;4;3;2;2
2021-01-20 05:37:59;73;18;18;6;4;4;0;4;3;2;2
2021-01-20 05:38:59;73;18;18;6;4;4;0;4;3;2;2
2021-01-20 05:39:58;73;18;18;6;4;4;0;4;3;2;2
2021-01-20 05:40:59;74;18;19;6;4;4;0;4;3;2;2
2021-01-20 05:41:58;74;18;19;6;4;4;0;4;3;2;2
2021-01-20 05:42:59;75;18;20;6;4;4;0;4;3;2;2
2021-01-20 05:43:59;75;18;20;6;4;4;0;4;3;2;2
2021-01-20 05:44:58;75;18;20;6;4;4;0;4;3;2;2
2021-01-20 05:45:59;75;18;20;6;4;4;0;4;3;2;2
2021-01-20 05:46:59;75;18;20;6;4;4;0;4;3;2;2
2021-01-20 05:47:58;75;18;20;6;4;4;0;4;3;2;2
2021-01-20 05:48:59;75;18;20;6;4;4;0;4;3;2;2
2021-01-20 05:49:59;75;18;20;6;4;4;0;4;3;2;2
2021-01-20 05:50:58;75;18;20;6;4;4;0;4;3;2;2
2021-01-20 05:51:59;76;19;20;6;4;4;0;4;3;2;2
2021-01-20 05:52:59;76;19;20;6;4;4;0;4;3;2;2
2021-01-20 05:53:58;76;19;20;6;4;4;0;4;3;2;2
2021-01-20 05:54:59;76;19;20;6;4;4;0;4;3;2;2
2021-01-20 05:55:58;76;19;20;6;4;4;0;4;3;2;2
2021-01-20 05:56:59;76;19;20;6;4;4;0;4;3;2;2
2021-01-20 05:57:59;76;19;20;6;4;4;0;4;3;2;2
2021-01-20 05:58:58;76;19;20;6;4;4;0;4;3;2;2
2021-01-20 05:59:59;76;19;20;6;4;4;0;4;3;2;2
2021-01-20 06:00:59;76;19;20;6;4;4;0;4;3;2;2
2021-01-20 06:01:58;76;19;20;6;4;4;0;4;3;2;2
2021-01-20 06:02:59;76;19;20;6;4;4;0;4;3;2;2
2021-01-20 06:03:58;76;19;20;6;4;4;0;4;3;2;2
2021-01-20 06:04:59;76;19;20;6;4;4;0;4;3;2;2
2021-01-20 06:05:58;76;19;20;6;4;4;0;4;3;2;2
2021-01-20 06:06:59;76;19;20;6;4;4;0;4;3;2;2
2021-01-20 06:07:59;77;19;21;6;4;4;0;4;3;2;2
2021-01-20 06:08:58;78;19;21;6;4;4;0;4;3;2;0
