datetime;total_votes;PhaoBao;Есения;bigmouse;Umgewandelt;Trudofobermeins;brammator;Patagonia;kotophalk;bf6;Salt
2020-02-12 02:04:58;24;2;6;3;1;0;3;0;0;0;0
2020-02-12 02:05:59;24;2;6;3;1;0;3;0;0;0;0
2020-02-12 02:06:59;24;2;6;3;1;0;3;0;0;0;0
2020-02-12 02:07:58;24;2;6;3;1;0;3;0;0;0;0
2020-02-12 02:08:59;24;2;6;3;1;0;3;0;0;0;0
2020-02-12 02:09:59;24;2;6;3;1;0;3;0;0;0;0
2020-02-12 02:10:59;24;2;6;3;1;0;3;0;0;0;0
2020-02-12 02:11:58;24;2;6;3;1;0;3;0;0;0;0
2020-02-12 02:12:59;24;2;6;3;1;0;3;0;0;0;0
2020-02-12 02:13:59;25;2;6;3;1;1;3;0;0;0;0
2020-02-12 02:14:58;25;2;6;3;1;1;3;0;0;0;0
2020-02-12 02:15:59;25;2;6;3;1;1;3;0;0;0;0
2020-02-12 02:16:59;25;2;6;3;1;1;3;0;0;0;0
2020-02-12 02:17:59;25;2;6;3;1;1;3;0;0;0;0
2020-02-12 02:18:58;25;2;6;3;1;1;3;0;0;0;0
2020-02-12 02:19:59;25;2;6;3;1;1;3;0;0;0;0
2020-02-12 02:20:59;25;2;6;3;1;1;3;0;0;0;0
2020-02-12 02:21:58;25;2;6;3;1;1;3;0;0;0;0
2020-02-12 02:22:59;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:23:58;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:24:59;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:25:59;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:26:59;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:27:58;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:28:59;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:29:59;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:30:58;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:31:59;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:32:59;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:33:59;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:34:58;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:35:59;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:36:58;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:37:59;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:38:59;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:39:59;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:40:58;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:41:59;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:42:59;26;2;7;3;1;1;3;0;0;0;0
2020-02-12 02:43:58;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 02:44:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 02:45:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 02:46:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 02:47:58;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 02:48:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 02:49:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 02:50:58;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 02:51:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 02:52:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 02:53:58;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 02:54:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 02:55:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 02:56:58;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 02:57:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 02:58:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 02:59:58;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:00:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:01:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:02:58;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:03:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:04:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:06:00;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:06:58;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:07:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:08:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:09:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:10:58;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:11:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:12:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:13:58;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:14:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:15:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:16:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:17:58;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:18:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:19:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:20:58;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:21:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:22:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:23:58;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:24:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:25:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:26:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:27:58;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:28:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:29:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:31:00;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:31:58;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:32:59;27;2;7;4;1;1;3;0;0;0;0
2020-02-12 03:33:59;27;2;7;4;1;1;3;0;0;0;0
