datetime;total_votes;jovan;pashkowski;KOCTOPE3;paramed;pupsique;Helengar;yachik;bigmouse;praktik;Есения
2019-05-01 05:47:58;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 05:48:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 05:49:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 05:50:58;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 05:51:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 05:52:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 05:53:58;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 05:54:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 05:55:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 05:56:58;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 05:57:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 05:59:00;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 05:59:58;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:00:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:01:58;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:02:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:03:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:04:58;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:05:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:06:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:07:58;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:08:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:09:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:10:58;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:11:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:12:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:13:58;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:14:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:15:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:16:58;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:17:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:18:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:19:58;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:20:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:21:58;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:22:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:23:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:25:00;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:25:58;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:26:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:27:59;36;15;4;4;2;0;0;2;0;1;0
2019-05-01 06:28:58;37;15;4;4;2;0;0;3;0;1;0
2019-05-01 06:29:59;38;15;4;4;2;0;0;3;0;1;0
2019-05-01 06:30:58;38;15;4;4;2;0;0;3;0;1;0
2019-05-01 06:31:59;38;15;4;4;2;0;0;3;0;1;0
2019-05-01 06:32:59;38;15;4;4;2;0;0;3;0;1;0
2019-05-01 06:33:58;38;15;4;4;2;0;0;3;0;1;0
2019-05-01 06:34:59;38;15;4;4;2;0;0;3;0;1;0
2019-05-01 06:35:59;38;15;4;4;2;0;0;3;0;1;0
2019-05-01 06:36:58;38;15;4;4;2;0;0;3;0;1;0
2019-05-01 06:37:59;39;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:38:59;40;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:39:58;40;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:40:59;40;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:41:59;40;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:42:58;40;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:43:59;40;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:44:59;40;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:45:58;40;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:46:59;40;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:47:58;40;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:48:59;40;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:49:59;40;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:50:58;41;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:51:59;41;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:52:59;41;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:53:58;41;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:54:59;41;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:55:58;42;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:56:59;42;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:57:59;42;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:58:58;42;16;4;4;2;0;0;3;0;1;0
2019-05-01 06:59:59;42;16;4;4;2;0;0;3;0;1;0
