datetime;total_votes;Good;Tomintoul;megalomaniac;KOCTOPE3;Duran;Mindsplitter;Villanelle;Shambala;quick_justice;Rumpelstilzchen
2021-01-13 02:05:59;71;0;27;12;1;0;3;5;3;0;2
2021-01-13 02:06:58;71;0;27;12;1;0;3;5;3;0;2
2021-01-13 02:07:59;71;0;27;12;1;0;3;5;3;0;2
2021-01-13 02:09:00;71;0;27;12;1;0;3;5;3;0;2
2021-01-13 02:09:58;71;0;27;12;1;0;3;5;3;0;2
2021-01-13 02:10:59;71;0;27;12;1;0;3;5;3;0;2
2021-01-13 02:11:58;71;0;27;12;1;0;3;5;3;0;2
2021-01-13 02:12:59;71;0;27;12;1;0;3;5;3;0;2
2021-01-13 02:13:59;71;0;27;12;1;0;3;5;3;0;2
2021-01-13 02:14:58;71;0;27;12;1;0;3;5;3;0;2
2021-01-13 02:15:59;71;0;27;12;1;0;3;5;3;0;2
2021-01-13 02:16:59;71;0;27;12;1;0;3;5;3;0;2
2021-01-13 02:17:58;71;0;27;12;1;0;3;5;3;0;2
2021-01-13 02:18:59;72;0;27;13;1;0;3;5;3;0;2
2021-01-13 02:19:58;73;0;28;13;1;0;3;5;3;0;2
2021-01-13 02:20:59;73;0;28;13;1;0;3;5;3;0;2
2021-01-13 02:21:59;73;0;28;13;1;0;3;5;3;0;2
2021-01-13 02:22:58;73;0;28;13;1;0;3;5;3;0;2
2021-01-13 02:23:59;73;0;28;13;1;0;3;5;3;0;2
2021-01-13 02:24:59;73;0;28;13;1;0;3;5;3;0;2
2021-01-13 02:25:59;73;0;28;13;1;0;3;5;3;0;2
2021-01-13 02:26:59;73;0;28;13;1;0;3;5;3;0;2
2021-01-13 02:27:59;73;0;28;13;1;0;3;5;3;0;2
2021-01-13 02:28:58;74;0;28;13;1;0;3;5;3;0;2
2021-01-13 02:29:59;75;0;29;13;1;0;3;5;3;0;2
2021-01-13 02:30:59;75;0;29;13;1;0;3;5;3;0;2
2021-01-13 02:31:58;75;0;29;13;1;0;3;5;3;0;2
2021-01-13 02:32:59;75;0;29;13;1;0;3;5;3;0;2
2021-01-13 02:33:59;75;0;29;13;1;0;3;5;3;0;2
2021-01-13 02:34:58;75;0;29;13;1;0;3;5;3;0;2
2021-01-13 02:35:59;75;0;29;13;1;0;3;5;3;0;2
2021-01-13 02:36:59;75;0;29;13;1;0;3;5;3;0;2
2021-01-13 02:37:58;75;0;29;13;1;0;3;5;3;0;2
2021-01-13 02:38:59;75;0;29;13;1;0;3;5;3;0;2
2021-01-13 02:40:00;75;0;29;13;1;0;3;5;3;0;2
2021-01-13 02:40:58;75;0;29;13;1;0;3;5;3;0;2
2021-01-13 02:41:59;75;0;29;13;1;0;3;5;3;0;2
2021-01-13 02:42:58;76;0;29;13;1;0;3;5;3;0;2
2021-01-13 02:43:59;76;0;29;13;1;0;3;5;3;0;2
2021-01-13 02:44:59;76;0;29;13;1;0;3;5;3;0;2
2021-01-13 02:45:58;76;0;29;13;1;0;3;5;3;0;2
2021-01-13 02:46:59;77;0;30;13;1;0;3;5;3;0;2
2021-01-13 02:47:59;77;0;30;13;1;0;3;5;3;0;2
2021-01-13 02:48:58;77;0;30;13;1;0;3;5;3;0;2
2021-01-13 02:49:59;77;0;30;13;1;0;3;5;3;0;2
2021-01-13 02:50:59;77;0;30;13;1;0;3;5;3;0;2
2021-01-13 02:51:58;77;0;30;13;1;0;3;5;3;0;2
2021-01-13 02:52:59;78;0;31;13;1;0;3;5;3;0;2
2021-01-13 02:53:59;78;0;31;13;1;0;3;5;3;0;2
2021-01-13 02:54:58;78;0;31;13;1;0;3;5;3;0;2
2021-01-13 02:55:59;78;0;31;13;1;0;3;5;3;0;2
2021-01-13 02:56:58;78;0;31;13;1;0;3;5;3;0;2
2021-01-13 02:57:59;78;0;31;13;1;0;3;5;3;0;2
