datetime;total_votes;Private_Ryan;Bf109H;axxl;xtal;Есения;navalny;Noforhamsters;megaslowpoke;Vikvalan;pupsique
2020-08-12 02:59:59;34;4;9;2;4;2;0;0;2;0;0
2020-08-12 03:00:58;34;4;9;2;4;2;0;0;2;0;0
2020-08-12 03:01:59;34;4;9;2;4;2;0;0;2;0;0
2020-08-12 03:02:59;36;6;9;2;4;2;0;0;2;0;0
2020-08-12 03:03:58;37;6;10;2;4;2;0;0;2;0;0
2020-08-12 03:04:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:05:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:06:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:07:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:08:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:09:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:10:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:11:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:12:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:13:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:14:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:15:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:16:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:17:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:18:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:19:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:20:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:21:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:22:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:23:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:24:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:25:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:26:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:27:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:28:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:29:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:30:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:31:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:32:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:33:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:34:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:35:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:36:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:37:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:38:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:39:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:40:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:41:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:42:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:43:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:44:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:45:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:46:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:47:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:48:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:49:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:51:00;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:51:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:52:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:53:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:54:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:55:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:56:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:57:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:58:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 03:59:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:00:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:01:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:02:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:03:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:04:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:05:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:06:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:07:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:08:59;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:09:58;38;7;10;2;4;2;0;0;2;0;0
2020-08-12 04:10:59;38;7;10;2;4;2;0;0;2;0;0
