datetime;total_votes;mvgolubev;Bf109H;Qumnica;acckiy;megaslowpoke;UndeadMoroz;Terkin;BbIBuX;Fitzmaurice;KOCTOPE3
2020-03-11 03:31:59;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:32:58;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:33:59;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:34:59;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:35:58;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:36:59;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:37:59;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:38:58;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:39:59;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:40:59;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:41:59;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:42:58;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:43:59;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:44:59;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:45:58;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:46:59;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:47:59;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:49:00;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:49:58;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:50:59;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:51:59;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:52:58;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:53:59;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:54:59;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:55:58;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:56:59;30;7;5;4;1;0;1;1;0;0;1
2020-03-11 03:57:59;30;7;5;4;1;0;1;1;0;0;1
