datetime;total_votes;cmapukocmankypum;KOCTOPE3;pupsique;rockamark;paramed;brammator;Есения;tutabrain;kilogramm;navalny
2019-05-22 01:57:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 01:58:58;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 01:59:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:00:58;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:01:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:02:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:03:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:04:58;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:05:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:06:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:07:58;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:08:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:09:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:10:58;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:11:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:12:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:13:58;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:14:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:15:58;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:16:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:17:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:18:58;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:19:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:20:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:21:58;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:22:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:23:58;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:24:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:25:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:26:58;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:27:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:28:58;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:29:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:30:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:31:58;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:32:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:33:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:34:58;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:35:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:36:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:37:58;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:38:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:39:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:40:58;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:41:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:42:58;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:43:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 02:44:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 02:45:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 02:46:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 02:47:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 02:48:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 02:49:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 02:50:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 02:51:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 02:52:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 02:53:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 02:54:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 02:55:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 02:56:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 02:57:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 02:58:59;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 02:59:58;22;3;5;0;2;0;2;0;0;2;0
2019-05-22 03:00:59;22;3;5;0;2;0;2;0;0;2;0
