datetime;total_votes;akuaku;telegraf;redslot;Есения;Kolbasevich;Daedra;kilogramm;vjik;BlackTulip;megaslowpoke
2020-06-10 02:18:59;31;9;9;4;0;0;1;1;0;2;0
2020-06-10 02:19:58;32;10;9;4;0;0;1;1;0;2;0
2020-06-10 02:20:59;32;10;9;4;0;0;1;1;0;2;0
2020-06-10 02:21:58;32;10;9;4;0;0;1;1;0;2;0
2020-06-10 02:22:59;32;10;9;4;0;0;1;1;0;2;0
2020-06-10 02:23:58;33;10;10;4;0;0;1;1;0;2;0
2020-06-10 02:24:59;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:25:59;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:26:58;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:27:59;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:28:58;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:30:00;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:30:58;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:31:59;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:32:59;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:33:58;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:34:59;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:35:59;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:36:58;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:37:59;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:38:58;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:39:59;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:40:58;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:41:59;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:42:58;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:43:59;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:44:58;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:45:59;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:46:58;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:47:59;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:48:59;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:49:58;34;11;10;4;0;0;1;1;0;2;0
2020-06-10 02:50:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 02:51:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 02:52:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 02:53:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 02:54:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 02:55:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 02:56:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 02:57:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 02:58:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 02:59:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:00:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:01:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:02:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:03:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:04:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:05:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:06:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:07:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:08:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:09:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:10:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:11:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:12:58;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:13:59;35;12;10;4;0;0;1;1;0;2;0
2020-06-10 03:14:58;35;12;10;4;0;0;1;1;0;2;0
