datetime;total_votes;KT;Volodya_FM;quick_justice;pereehal;navalny;Terkin;KOCTOPE3;Hexadecachoron;bf6;Kolbasevich
2020-07-08 02:09:59;65;24;12;10;3;1;0;2;2;0;0
2020-07-08 02:10:58;65;24;12;10;3;1;0;2;2;0;0
2020-07-08 02:11:59;65;24;12;10;3;1;0;2;2;0;0
2020-07-08 02:12:58;65;24;12;10;3;1;0;2;2;0;0
2020-07-08 02:13:59;65;24;12;10;3;1;0;2;2;0;0
2020-07-08 02:14:59;66;24;12;10;3;1;0;2;2;0;0
2020-07-08 02:15:58;66;24;12;10;3;1;0;2;2;0;0
2020-07-08 02:16:59;67;24;12;9;3;0;1;2;2;0;0
2020-07-08 02:17:58;67;24;12;9;3;0;1;2;2;0;0
2020-07-08 02:18:59;68;25;12;9;3;0;1;2;2;0;0
2020-07-08 02:19:58;70;25;12;9;3;0;1;2;2;0;0
2020-07-08 02:20:59;70;25;12;9;3;0;1;2;2;0;0
2020-07-08 02:21:58;70;25;12;9;3;0;1;2;2;0;0
2020-07-08 02:22:59;70;25;12;9;3;0;1;2;2;0;0
2020-07-08 02:23:58;70;25;12;9;3;0;1;2;2;0;0
2020-07-08 02:24:59;70;25;12;9;3;0;1;2;2;0;0
2020-07-08 02:25:58;70;25;12;9;3;0;1;2;2;0;0
2020-07-08 02:26:59;70;25;12;9;3;0;1;2;2;0;0
2020-07-08 02:27:58;70;25;12;9;3;0;1;2;2;0;0
2020-07-08 02:28:59;70;25;12;9;3;0;1;2;2;0;0
2020-07-08 02:29:59;70;25;12;9;3;0;1;2;2;0;0
2020-07-08 02:30:58;70;25;12;9;3;0;1;2;2;0;0
2020-07-08 02:31:59;71;25;12;10;3;0;1;2;2;0;0
2020-07-08 02:32:59;71;25;12;10;3;0;1;2;2;0;0
2020-07-08 02:33:58;71;25;12;10;3;0;1;2;2;0;0
2020-07-08 02:34:59;71;25;12;10;3;0;1;2;2;0;0
2020-07-08 02:35:59;71;25;12;10;3;0;1;2;2;0;0
2020-07-08 02:36:58;71;25;12;10;3;0;1;2;2;0;0
2020-07-08 02:37:59;72;25;12;11;3;0;1;2;2;0;0
2020-07-08 02:38:59;72;25;12;11;3;0;1;2;2;0;0
2020-07-08 02:39:58;72;25;12;11;3;0;1;2;2;0;0
2020-07-08 02:40:59;72;25;12;11;3;0;1;2;2;0;0
2020-07-08 02:41:58;72;25;12;11;3;0;1;2;2;0;0
2020-07-08 02:42:59;72;25;12;11;3;0;1;2;2;0;0
2020-07-08 02:43:59;72;25;12;11;3;0;1;2;2;0;0
2020-07-08 02:44:58;72;25;12;11;3;0;1;2;2;0;0
2020-07-08 02:45:59;72;25;12;11;3;0;1;2;2;0;0
2020-07-08 02:46:58;72;25;11;12;3;0;1;2;2;0;0
2020-07-08 02:47:59;72;25;11;12;3;0;1;2;2;0;0
2020-07-08 02:48:59;72;25;11;12;3;0;1;2;2;0;0
2020-07-08 02:49:58;72;25;11;12;3;0;1;2;2;0;0
2020-07-08 02:50:59;72;25;11;12;3;0;1;2;2;0;0
2020-07-08 02:51:59;72;25;11;12;3;0;1;2;2;0;0
2020-07-08 02:52:58;72;25;11;12;3;0;1;2;2;0;0
2020-07-08 02:53:59;72;25;11;12;3;0;1;2;2;0;0
2020-07-08 02:54:59;73;25;11;12;3;0;1;2;2;0;0
2020-07-08 02:55:58;73;25;11;12;3;0;1;2;2;0;0
2020-07-08 02:56:59;73;25;11;12;3;0;1;2;2;0;0
2020-07-08 02:57:58;73;25;11;12;3;0;1;2;2;0;0
2020-07-08 02:58:59;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 02:59:59;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:00:58;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:01:59;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:02:59;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:03:58;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:04:59;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:05:59;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:06:58;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:07:59;74;25;11;13;3;0;1;2;2;0;0
2020-07-08 03:08:58;74;25;11;13;3;0;1;2;2;0;0
