datetime;total_votes;mahinaci9;Hactar;Volodya_FM;Yardrey;dennou;navalny;quick_justice;shamanka2_0;Mindsplitter;Haktar
2020-11-04 02:56:59;74;26;8;13;3;4;3;2;0;4;0
2020-11-04 02:57:59;74;26;8;13;3;4;3;2;0;4;0
2020-11-04 02:58:58;74;26;8;13;3;4;3;2;0;4;0
2020-11-04 02:59:59;74;26;8;13;3;4;3;2;0;4;0
2020-11-04 03:00:59;76;27;8;13;3;4;3;2;0;4;0
2020-11-04 03:01:58;76;27;8;13;3;4;3;2;0;4;0
2020-11-04 03:02:59;76;27;8;13;3;4;3;2;0;4;0
2020-11-04 03:03:58;76;27;8;13;3;4;3;2;0;4;0
2020-11-04 03:04:59;76;27;8;13;3;4;3;2;0;4;0
2020-11-04 03:05:59;76;27;8;13;3;4;3;2;0;4;0
2020-11-04 03:06:58;76;27;8;13;3;4;3;2;0;4;0
2020-11-04 03:07:59;76;27;8;13;3;4;3;2;0;4;0
2020-11-04 03:08:59;76;27;8;13;3;4;3;2;0;4;0
2020-11-04 03:09:58;76;27;8;13;3;4;3;2;0;4;0
2020-11-04 03:10:59;76;27;8;13;3;4;3;2;0;4;0
2020-11-04 03:11:59;76;27;8;13;3;4;3;2;0;4;0
2020-11-04 03:12:58;76;27;8;13;3;4;3;2;0;4;0
2020-11-04 03:13:59;76;27;8;13;3;4;3;2;0;4;0
2020-11-04 03:14:59;77;28;8;13;3;4;3;2;0;4;0
2020-11-04 03:15:58;77;28;8;13;3;4;3;2;0;4;0
2020-11-04 03:16:59;78;29;8;13;3;4;3;2;0;4;0
2020-11-04 03:17:58;78;29;8;13;3;4;3;2;0;4;0
2020-11-04 03:18:59;78;29;8;13;3;4;3;2;0;4;0
2020-11-04 03:19:59;78;29;8;13;3;4;3;2;0;4;0
2020-11-04 03:20:58;78;29;8;13;3;4;3;2;0;4;0
2020-11-04 03:21:59;79;30;8;13;3;4;3;2;0;4;0
2020-11-04 03:22:59;79;30;8;13;3;4;3;2;0;4;0
2020-11-04 03:23:58;79;30;8;13;3;4;3;2;0;4;0
