datetime;total_votes;wRAR;Mutafakaz;Der_Sturmer;Yardrey;jovan;Terkin;Fo;Ircmaan;SoulMaker;ksolotl
2019-07-17 03:22:58;32;1;10;4;1;0;0;0;0;0;2
2019-07-17 03:23:59;32;1;10;4;1;0;0;0;0;0;2
2019-07-17 03:24:58;32;1;10;4;1;0;0;0;0;0;2
2019-07-17 03:25:59;32;1;10;4;1;0;0;0;0;0;2
2019-07-17 03:26:59;32;1;10;4;1;0;0;0;0;0;2
2019-07-17 03:27:58;32;1;10;4;1;0;0;0;0;0;2
2019-07-17 03:28:59;32;1;10;4;1;0;0;0;0;0;2
2019-07-17 03:29:59;33;2;10;4;1;0;0;0;0;0;2
2019-07-17 03:30:58;33;2;10;4;1;0;0;0;0;0;2
2019-07-17 03:31:59;33;2;10;4;1;0;0;0;0;0;2
2019-07-17 03:32:59;34;3;10;4;1;0;0;0;0;0;2
2019-07-17 03:33:58;34;3;10;4;1;0;0;0;0;0;2
2019-07-17 03:34:59;34;3;10;4;1;0;0;0;0;0;2
2019-07-17 03:35:58;34;3;10;4;1;0;0;0;0;0;2
2019-07-17 03:36:59;35;4;10;4;1;0;0;0;0;0;2
2019-07-17 03:37:59;35;4;10;4;1;0;0;0;0;0;2
2019-07-17 03:38:58;35;4;10;4;1;0;0;0;0;0;2
2019-07-17 03:39:59;36;5;10;4;1;0;0;0;0;1;2
2019-07-17 03:40:59;36;5;10;4;1;0;0;0;0;1;2
2019-07-17 03:41:58;37;6;10;4;1;0;0;0;0;1;2
2019-07-17 03:42:59;37;6;10;4;1;0;0;0;0;1;2
2019-07-17 03:43:59;37;6;10;4;1;0;0;0;0;1;2
2019-07-17 03:44:58;37;6;10;4;1;0;0;0;0;1;2
2019-07-17 03:45:59;37;6;10;4;1;0;0;0;0;1;2
2019-07-17 03:46:59;37;6;10;4;1;0;0;0;0;1;2
2019-07-17 03:47:58;37;6;10;4;1;0;0;0;0;1;2
2019-07-17 03:48:59;38;7;10;4;1;0;0;0;0;1;2
2019-07-17 03:49:59;38;7;10;4;1;0;0;0;0;1;2
2019-07-17 03:50:58;38;7;10;4;1;0;0;0;0;1;2
2019-07-17 03:51:59;38;7;10;4;1;0;0;0;0;1;2
2019-07-17 03:52:59;39;7;10;4;2;0;0;0;0;0;2
2019-07-17 03:53:58;39;7;10;4;2;0;0;0;0;0;2
2019-07-17 03:54:59;39;7;10;4;2;0;0;0;0;0;2
2019-07-17 03:55:59;39;7;10;4;2;0;0;0;0;0;2
2019-07-17 03:56:58;39;7;10;4;2;0;0;0;0;0;2
2019-07-17 03:57:59;39;7;10;4;2;0;0;0;0;0;2
2019-07-17 03:58:59;40;7;11;4;2;0;0;0;0;0;2
2019-07-17 03:59:59;40;7;11;4;2;0;0;0;0;0;2
2019-07-17 04:00:58;41;8;11;4;2;0;0;0;0;0;2
2019-07-17 04:01:59;41;8;11;4;2;0;0;0;0;0;2
2019-07-17 04:02:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:03:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:04:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:05:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:06:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:07:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:08:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:09:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:10:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:11:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:12:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:13:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:14:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:15:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:16:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:17:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:18:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:19:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:20:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:21:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:22:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:23:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:24:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:25:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:26:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:27:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:28:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:29:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:30:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:31:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:32:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:33:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:34:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:35:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:36:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:37:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:38:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:39:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:40:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:41:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:42:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:43:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:44:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:45:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:46:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:47:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:48:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:49:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:50:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:51:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:52:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:53:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:54:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:55:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:56:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:57:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:58:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 04:59:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 05:00:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 05:01:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 05:02:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 05:03:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 05:04:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 05:05:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 05:06:59;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 05:07:58;42;8;12;4;2;0;0;0;0;0;2
2019-07-17 05:08:59;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:09:59;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:10:58;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:11:59;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:12:59;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:13:58;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:14:59;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:15:58;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:16:59;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:17:59;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:18:58;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:19:59;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:20:58;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:21:59;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:22:59;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:23:59;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:24:58;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:25:59;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:26:59;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:27:58;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:28:59;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:29:58;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:30:59;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:31:59;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:32:58;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:33:59;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:34:59;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:35:58;43;8;13;4;2;0;0;0;0;0;2
2019-07-17 05:36:59;44;8;13;5;2;0;0;0;0;0;2
2019-07-17 05:38:00;45;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:38:58;45;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:39:59;45;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:41:00;45;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:41:58;45;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:42:59;45;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:43:59;45;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:44:58;45;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:45:59;45;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:46:59;45;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:47:58;45;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:48:59;45;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:49:59;46;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:50:58;46;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:51:59;46;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:52:58;46;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:53:59;46;8;13;6;2;0;0;0;0;0;2
2019-07-17 05:54:59;46;8;13;6;2;0;0;0;0;0;2
