datetime;total_votes;pavelomg;lublu-zubi;Bleak;brammator;TheWho;KOCTOPE3;voklo;not;medstas;CaptchaBot
2019-09-25 04:44:59;38;2;12;1;7;3;3;2;5;0;0
2019-09-25 04:45:59;38;2;12;1;7;3;3;2;5;0;0
2019-09-25 04:46:58;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 04:47:59;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 04:48:59;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 04:49:59;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 04:50:58;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 04:51:59;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 04:52:59;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 04:53:58;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 04:54:59;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 04:55:59;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 04:56:59;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 04:57:58;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 04:58:59;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 04:59:59;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 05:00:58;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 05:01:59;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 05:02:59;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 05:03:59;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 05:04:58;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 05:05:59;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 05:06:59;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 05:07:59;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 05:08:58;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 05:09:59;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 05:10:59;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 05:11:59;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 05:12:58;39;2;12;0;7;3;3;2;5;0;0
2019-09-25 05:13:59;40;2;12;0;8;3;3;2;5;0;0
2019-09-25 05:14:59;40;2;12;0;8;3;3;2;5;0;0
2019-09-25 05:15:58;40;2;12;0;8;3;3;2;5;0;0
2019-09-25 05:16:59;40;2;12;0;8;3;3;2;5;0;0
2019-09-25 05:17:59;40;2;12;0;8;3;3;2;5;0;0
2019-09-25 05:18:58;40;2;12;0;8;3;3;2;5;0;0
2019-09-25 05:19:59;40;2;12;0;8;3;3;2;5;0;0
2019-09-25 05:20:59;40;2;12;0;8;3;3;2;5;0;0
2019-09-25 05:21:59;40;2;12;0;8;3;3;2;5;0;0
2019-09-25 05:22:58;40;2;12;0;8;3;3;2;5;0;0
2019-09-25 05:23:59;40;2;12;0;8;3;3;2;5;0;0
2019-09-25 05:24:59;40;2;12;0;8;3;3;2;5;0;0
2019-09-25 05:25:59;40;2;12;0;8;3;3;2;5;0;0
2019-09-25 05:26:58;40;2;12;0;8;3;3;2;5;0;0
2019-09-25 05:27:59;40;2;12;0;8;3;3;2;5;0;0
2019-09-25 05:29:00;40;2;12;0;8;3;3;2;5;0;0
2019-09-25 05:29:58;40;2;12;0;8;3;3;2;5;0;0
2019-09-25 05:30:59;40;2;12;0;8;3;3;2;5;0;0
2019-09-25 05:31:59;40;2;12;0;8;3;3;2;5;0;0
2019-09-25 05:32:58;41;3;12;0;8;3;3;2;5;0;0
2019-09-25 05:33:59;41;3;12;0;8;3;3;2;5;0;0
2019-09-25 05:34:59;41;3;12;0;8;3;3;2;5;0;0
2019-09-25 05:35:58;41;3;12;0;8;3;3;2;5;0;0
2019-09-25 05:36:59;41;3;12;0;8;3;3;2;5;0;0
2019-09-25 05:37:59;41;3;12;0;8;3;3;2;5;0;0
2019-09-25 05:38:58;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:39:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:40:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:41:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:42:58;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:43:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:44:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:45:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:46:58;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:47:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:48:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:50:00;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:50:58;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:51:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:52:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:53:58;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:54:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:55:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:56:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:57:58;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:58:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 05:59:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 06:00:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 06:01:58;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 06:02:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 06:03:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 06:04:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 06:05:58;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 06:06:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 06:07:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 06:08:58;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 06:09:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 06:10:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 06:11:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 06:13:00;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 06:13:58;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 06:14:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 06:15:59;42;3;13;0;8;3;3;2;5;0;0
2019-09-25 06:16:58;43;3;13;0;8;3;4;2;5;0;0
2019-09-25 06:17:59;43;3;13;0;8;3;4;2;5;0;0
2019-09-25 06:18:59;43;3;13;0;8;3;4;2;5;0;0
2019-09-25 06:19:58;43;3;13;0;8;3;4;2;5;0;0
2019-09-25 06:20:59;43;3;13;0;8;3;4;2;5;0;0
2019-09-25 06:21:59;43;3;13;0;8;3;4;2;5;0;0
2019-09-25 06:22:59;43;3;13;0;8;3;4;2;5;0;0
2019-09-25 06:23:58;43;3;13;0;8;3;4;2;5;0;0
2019-09-25 06:24:59;44;3;13;0;8;3;4;2;5;0;0
2019-09-25 06:25:59;44;3;13;0;8;3;4;2;5;0;0
2019-09-25 06:26:59;44;3;13;0;8;3;4;2;5;0;0
2019-09-25 06:27:58;44;3;13;0;8;3;4;2;5;0;0
2019-09-25 06:28:59;44;3;13;0;8;3;4;2;5;0;0
2019-09-25 06:29:59;44;3;13;0;8;3;4;2;5;0;0
2019-09-25 06:30:58;44;3;13;0;8;3;4;2;5;0;0
2019-09-25 06:31:59;44;3;13;0;8;3;4;2;5;0;0
2019-09-25 06:32:59;44;3;13;0;8;3;4;2;5;0;0
2019-09-25 06:34:00;44;3;13;0;8;3;4;2;5;0;0
