datetime;total_votes;norpo;shamanka2_0;pavelomg;Есения;Bf109H;navalny;Rumpelstilzchen;Norbert Bebrueze;UndeadMoroz;Митяй
2020-09-30 03:18:59;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:19:59;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:20:58;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:21:59;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:22:59;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:23:58;33;4;0;2;5;0;0;3;0;2;0
2020-09-30 03:24:59;34;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:25:58;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:26:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:27:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:29:00;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:29:58;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:30:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:31:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:32:58;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:33:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:34:58;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:35:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:36:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:37:58;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:38:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:39:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:40:58;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:41:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:42:58;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:43:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:44:59;35;4;0;2;5;0;0;3;1;2;0
2020-09-30 03:45:58;35;4;0;2;5;0;0;3;1;2;0
