datetime;total_votes;violetshit;pupsique;sergoff;rockamark;KOCTOPE3;jovan;cofee;dear_pavlik;Есения;brammator
2019-01-23 02:12:59;22;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:13:58;22;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:14:59;22;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:15:59;22;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:16:58;22;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:17:59;22;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:18:58;22;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:19:59;22;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:20:59;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:21:58;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:22:59;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:24:00;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:24:58;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:25:59;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:26:58;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:27:59;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:28:59;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:29:58;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:30:59;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:31:59;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:32:58;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:33:59;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:34:58;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:35:59;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:36:58;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:37:59;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:38:58;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:39:59;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:40:59;23;5;0;5;4;3;1;0;2;0;0
2019-01-23 02:41:58;24;5;0;6;4;3;1;0;2;0;0
2019-01-23 02:42:59;24;5;0;6;4;3;1;0;2;0;0
2019-01-23 02:43:58;24;5;0;6;4;3;1;0;2;0;0
2019-01-23 02:44:59;24;5;0;6;4;3;1;0;2;0;0
2019-01-23 02:45:59;24;5;0;6;4;3;1;0;2;0;0
2019-01-23 02:46:58;24;5;0;6;4;3;1;0;2;0;0
2019-01-23 02:47:59;24;5;0;6;4;3;1;0;2;0;0
2019-01-23 02:48:58;24;5;0;6;4;3;1;0;2;0;0
2019-01-23 02:49:59;24;5;0;6;4;3;1;0;2;0;0
2019-01-23 02:50:59;24;5;0;6;4;3;1;0;2;0;0
2019-01-23 02:51:58;24;5;0;6;4;3;1;0;2;0;0
2019-01-23 02:52:59;24;5;0;6;4;3;1;0;2;0;0
2019-01-23 02:53:59;24;5;0;6;4;3;1;0;2;0;0
2019-01-23 02:54:58;24;5;0;6;4;3;1;0;2;0;0
2019-01-23 02:55:59;24;5;0;6;4;3;1;0;2;0;0
2019-01-23 02:56:59;24;5;0;6;4;3;1;0;2;0;0
2019-01-23 02:57:58;24;5;0;6;4;3;1;0;2;0;0
2019-01-23 02:58:59;25;5;0;6;4;3;1;0;2;0;0
2019-01-23 02:59:58;25;5;0;6;4;3;1;0;2;0;0
2019-01-23 03:00:59;26;6;0;6;4;3;1;0;2;0;0
2019-01-23 03:01:58;26;6;0;6;4;3;1;0;2;0;0
2019-01-23 03:02:59;26;6;0;6;4;3;1;0;2;0;0
2019-01-23 03:03:59;26;6;0;6;4;3;1;0;2;0;0
2019-01-23 03:04:58;26;6;0;6;4;3;1;0;2;0;0
2019-01-23 03:05:59;26;6;0;6;4;3;1;0;2;0;0
2019-01-23 03:06:59;26;6;0;6;4;3;1;0;2;0;0
2019-01-23 03:07:58;26;6;0;6;4;3;1;0;2;0;0
2019-01-23 03:08:59;26;6;0;6;4;3;1;0;2;0;0
2019-01-23 03:09:58;26;6;0;6;4;3;1;0;2;0;0
2019-01-23 03:10:59;26;6;0;6;4;3;1;0;2;0;0
2019-01-23 03:11:59;26;6;0;6;4;3;1;0;2;0;0
2019-01-23 03:12:58;26;6;0;6;4;3;1;0;2;0;0
2019-01-23 03:13:59;26;6;0;6;4;3;1;0;2;0;0
2019-01-23 03:15:00;26;6;0;6;4;3;1;0;2;0;0
2019-01-23 03:15:58;26;6;0;6;4;3;1;0;2;0;0
2019-01-23 03:16:59;26;6;0;6;4;3;1;0;2;0;0
2019-01-23 03:17:58;27;6;0;7;4;3;1;0;2;0;0
2019-01-23 03:18:59;27;6;0;7;4;3;1;0;2;0;0
2019-01-23 03:19:59;27;6;0;7;4;3;1;0;2;0;0
2019-01-23 03:20:58;28;7;0;7;4;3;1;0;2;0;0
2019-01-23 03:21:59;28;7;0;7;4;3;1;0;2;0;0
2019-01-23 03:22:58;28;7;0;7;4;3;1;0;2;0;0
2019-01-23 03:23:59;28;7;0;7;4;3;1;0;2;0;0
2019-01-23 03:24:59;28;7;0;7;4;3;1;0;2;0;0
2019-01-23 03:25:58;29;7;0;7;4;3;1;0;2;0;0
2019-01-23 03:26:59;29;7;0;7;4;3;1;0;2;0;0
2019-01-23 03:27:59;29;7;0;7;4;3;1;0;2;0;0
2019-01-23 03:28:58;29;7;0;7;4;3;1;0;2;0;0
2019-01-23 03:29:59;29;7;0;7;4;3;1;0;2;0;0
2019-01-23 03:30:59;29;7;0;7;4;3;1;0;2;0;0
2019-01-23 03:31:58;30;7;1;7;4;3;1;0;2;0;0
2019-01-23 03:32:59;30;7;1;7;4;3;1;0;2;0;0
2019-01-23 03:33:58;30;7;1;7;4;3;1;0;2;0;0
2019-01-23 03:34:59;30;7;1;7;4;3;1;0;2;0;0
2019-01-23 03:35:59;30;7;1;7;4;3;1;0;2;0;0
2019-01-23 03:36:58;30;7;1;7;4;3;1;0;2;0;0
2019-01-23 03:37:59;30;7;1;7;4;3;1;0;2;0;0
2019-01-23 03:38:59;30;7;1;7;4;3;1;0;2;0;0
2019-01-23 03:39:58;30;7;1;7;4;3;1;0;2;0;0
2019-01-23 03:40:59;30;7;1;7;4;3;1;0;2;0;0
2019-01-23 03:41:59;30;7;1;7;4;3;1;0;2;0;0
2019-01-23 03:42:58;30;7;1;7;4;3;1;0;2;0;0
2019-01-23 03:43:59;30;7;1;7;4;3;1;0;2;0;0
2019-01-23 03:44:58;31;7;1;7;5;3;1;0;2;0;0
2019-01-23 03:45:59;31;7;1;7;5;3;1;0;2;0;0
2019-01-23 03:46:59;31;7;1;7;5;3;1;0;2;0;0
2019-01-23 03:47:58;31;7;1;7;5;3;1;0;2;0;0
2019-01-23 03:48:59;31;7;1;7;5;3;1;0;2;0;0
2019-01-23 03:49:59;31;7;1;7;5;3;1;0;2;0;0
2019-01-23 03:50:58;31;7;1;7;5;3;1;0;2;0;0
2019-01-23 03:51:59;32;8;1;7;5;3;1;0;2;0;0
2019-01-23 03:52:59;32;8;1;7;5;3;1;0;2;0;0
2019-01-23 03:53:58;33;9;1;7;5;3;1;0;2;0;0
2019-01-23 03:54:59;33;9;1;7;5;3;1;0;2;0;0
2019-01-23 03:55:59;33;9;1;7;5;3;1;0;2;0;0
2019-01-23 03:56:58;33;9;1;7;5;3;1;0;2;0;0
2019-01-23 03:57:59;33;9;1;7;5;3;1;0;2;0;0
2019-01-23 03:58:58;33;9;1;7;5;3;1;0;2;0;0
2019-01-23 03:59:59;33;9;1;7;5;3;1;0;2;0;0
2019-01-23 04:00:58;33;9;1;7;5;3;1;0;2;0;0
2019-01-23 04:01:59;33;9;1;7;5;3;1;0;2;0;0
2019-01-23 04:02:59;33;9;1;7;5;3;1;0;2;0;0
2019-01-23 04:03:58;33;9;1;7;5;3;1;0;2;0;0
2019-01-23 04:04:59;33;9;1;7;5;3;1;0;2;0;0
2019-01-23 04:05:59;34;9;1;7;5;4;1;0;2;0;0
2019-01-23 04:06:58;34;9;1;7;5;4;1;0;2;0;0
2019-01-23 04:07:59;34;9;1;7;5;4;1;0;2;0;0
2019-01-23 04:09:00;34;9;1;7;5;4;1;0;2;0;0
2019-01-23 04:09:58;34;9;1;7;5;4;1;0;2;0;0
2019-01-23 04:10:59;34;9;1;7;5;4;1;0;2;0;0
2019-01-23 04:11:59;34;9;1;7;5;4;1;0;2;0;0
2019-01-23 04:12:58;34;9;1;7;5;4;1;0;2;0;0
2019-01-23 04:13:59;34;9;1;7;5;4;1;0;2;0;0
2019-01-23 04:14:58;34;9;1;7;5;4;1;0;2;0;0
2019-01-23 04:15:59;34;9;1;7;5;4;1;0;2;0;0
2019-01-23 04:16:58;34;9;1;7;5;4;1;0;2;0;0
2019-01-23 04:17:59;34;9;1;7;5;4;1;0;2;0;0
2019-01-23 04:18:59;34;9;1;7;5;4;1;0;2;0;0
2019-01-23 04:19:58;34;9;1;7;5;4;1;0;2;0;0
2019-01-23 04:20:59;34;9;1;7;5;4;1;0;2;0;0
2019-01-23 04:21:58;34;9;1;7;5;4;1;0;2;0;0
2019-01-23 04:22:59;34;9;1;7;5;4;1;0;2;0;0
2019-01-23 04:23:59;34;9;1;7;5;4;1;0;2;0;0
2019-01-23 04:24:58;34;9;1;7;5;4;1;0;2;0;0
2019-01-23 04:25:59;35;9;1;7;5;4;1;1;2;0;0
2019-01-23 04:26:59;35;9;1;7;5;4;1;1;2;0;0
2019-01-23 04:27:58;35;9;1;7;5;4;1;1;2;0;0
2019-01-23 04:28:59;35;9;1;7;5;4;1;1;2;0;0
2019-01-23 04:29:58;35;9;1;7;5;4;1;1;2;0;0
2019-01-23 04:30:59;35;9;1;7;5;4;1;1;2;0;0
2019-01-23 04:31:59;35;9;1;7;5;4;1;1;2;0;0
2019-01-23 04:32:58;35;9;1;7;5;4;1;1;2;0;0
2019-01-23 04:33:59;35;9;1;7;5;4;1;1;2;0;0
2019-01-23 04:34:59;35;9;1;7;5;4;1;1;2;0;0
2019-01-23 04:35:58;35;9;1;7;5;4;1;1;2;0;0
2019-01-23 04:36:59;35;9;1;7;5;4;1;1;2;0;0
2019-01-23 04:37:58;35;9;1;7;5;4;1;1;2;0;0
2019-01-23 04:38:59;35;9;1;7;5;4;1;1;2;0;0
2019-01-23 04:40:00;35;9;1;7;5;4;1;1;2;0;0
2019-01-23 04:40:58;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 04:41:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 04:42:58;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 04:43:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 04:44:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 04:45:58;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 04:46:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 04:48:00;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 04:48:58;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 04:49:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 04:50:58;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 04:51:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 04:52:58;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 04:53:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 04:54:58;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 04:55:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 04:56:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 04:57:58;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 04:58:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 04:59:58;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:00:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:01:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:02:58;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:03:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:04:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:05:58;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:06:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:07:58;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:08:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:09:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:10:58;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:11:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:12:58;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:13:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:14:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:15:58;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:16:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:17:58;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:18:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:19:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:20:58;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:21:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:22:59;36;9;1;8;5;4;1;1;2;0;0
2019-01-23 05:23:58;36;9;1;8;5;3;1;2;2;0;0
2019-01-23 05:24:59;36;9;1;8;5;3;1;2;2;0;0
2019-01-23 05:25:58;36;9;1;8;5;3;1;2;2;0;0
2019-01-23 05:26:59;36;9;1;8;5;3;1;2;2;0;0
2019-01-23 05:27:58;36;9;1;8;5;3;1;2;2;0;0
2019-01-23 05:28:59;36;9;1;8;5;3;1;2;2;0;0
2019-01-23 05:29:59;36;9;1;8;5;3;1;2;2;0;0
2019-01-23 05:30:58;36;9;1;8;5;3;1;2;2;0;0
2019-01-23 05:31:59;36;9;1;8;5;3;1;2;2;0;0
2019-01-23 05:33:00;36;9;1;8;5;3;1;2;2;0;0
2019-01-23 05:33:58;36;9;1;8;5;3;1;2;2;0;0
2019-01-23 05:34:59;37;10;1;8;5;3;1;2;2;0;0
2019-01-23 05:35:58;37;10;1;8;5;3;1;2;2;0;0
2019-01-23 05:36:59;37;10;1;8;5;3;1;2;2;0;0
2019-01-23 05:37:59;37;10;1;8;5;3;1;2;2;0;0
2019-01-23 05:38:58;37;10;1;8;5;3;1;2;2;0;0
2019-01-23 05:39:59;37;10;1;8;5;3;1;2;2;0;0
2019-01-23 05:40:59;37;10;1;8;5;3;1;2;2;0;0
2019-01-23 05:41:58;37;10;1;8;5;3;1;2;2;0;0
2019-01-23 05:42:59;37;10;1;8;5;3;1;2;2;0;0
2019-01-23 05:43:58;37;10;1;8;5;3;1;2;2;0;0
2019-01-23 05:44:59;37;10;1;8;5;3;1;2;2;0;0
2019-01-23 05:45:59;37;10;1;8;5;3;1;2;2;0;0
2019-01-23 05:46:58;37;10;1;8;5;3;1;2;2;0;0
2019-01-23 05:47:59;37;10;1;8;5;3;1;2;2;0;0
2019-01-23 05:49:00;37;10;1;8;5;3;1;2;2;0;0
2019-01-23 05:49:58;37;10;1;8;5;3;1;2;2;0;0
2019-01-23 05:50:59;37;10;1;8;5;3;1;2;2;0;0
2019-01-23 05:51:58;38;10;0;8;5;3;1;2;2;0;1
2019-01-23 05:52:59;38;10;0;8;5;3;1;2;2;0;1
2019-01-23 05:53:59;38;10;0;8;5;3;1;2;2;0;1
2019-01-23 05:54:58;38;10;0;8;5;3;1;2;2;0;1
2019-01-23 05:55:59;38;10;0;8;5;3;1;2;2;0;1
2019-01-23 05:56:58;38;10;0;8;5;3;1;2;2;0;1
2019-01-23 05:57:59;38;10;0;8;5;3;1;2;2;0;1
2019-01-23 05:58:59;38;10;0;8;5;3;1;2;2;0;1
2019-01-23 05:59:58;38;10;0;8;5;3;1;2;2;0;1
2019-01-23 06:00:59;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:01:59;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:02:59;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:03:58;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:04:59;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:05:59;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:06:58;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:07:59;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:08:58;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:09:59;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:10:59;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:11:58;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:12:59;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:13:58;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:14:59;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:15:59;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:16:58;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:17:59;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:18:58;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:19:59;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:20:59;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:21:58;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:22:59;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:23:58;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:24:59;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:25:58;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:26:59;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:27:59;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:28:58;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:29:59;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:30:58;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:31:59;39;11;0;8;5;3;1;2;2;0;1
2019-01-23 06:32:59;41;11;2;9;5;3;1;2;2;0;1
2019-01-23 06:33:58;41;11;2;9;5;3;1;2;2;0;1
