datetime;total_votes;Zubasteg;Mutafakaz;gizm0;megaslowpoke;sexychinagay;Zadorno;navalny;Zvag;Wiedemann;Shady
2020-05-13 02:53:58;127;22;20;18;17;0;15;2;14;2;3
2020-05-13 02:54:59;127;22;20;18;17;0;15;2;14;2;3
2020-05-13 02:55:59;127;22;20;18;17;0;15;2;14;2;3
2020-05-13 02:56:58;127;22;20;18;17;0;15;2;14;2;3
2020-05-13 02:57:59;127;22;20;18;17;0;15;2;14;2;3
2020-05-13 02:58:59;127;22;21;18;16;0;15;2;14;2;3
2020-05-13 02:59:58;127;22;21;18;16;0;15;2;14;2;3
2020-05-13 03:00:59;127;22;21;18;16;0;15;2;14;2;3
2020-05-13 03:01:59;127;22;21;18;16;0;15;2;14;2;3
2020-05-13 03:02:59;127;22;21;18;16;0;15;2;14;2;3
2020-05-13 03:03:58;127;22;21;18;16;0;15;2;14;2;3
2020-05-13 03:04:59;127;22;21;18;16;0;15;2;14;2;3
2020-05-13 03:06:00;127;22;21;18;16;0;15;2;14;2;3
2020-05-13 03:06:58;127;22;21;18;16;0;15;2;14;2;3
2020-05-13 03:07:59;127;22;21;18;16;0;15;2;14;2;3
2020-05-13 03:08:58;127;22;21;18;16;0;15;2;14;2;3
2020-05-13 03:09:59;127;22;21;18;16;0;15;2;14;2;3
2020-05-13 03:10:59;127;22;21;18;16;0;15;2;14;2;3
2020-05-13 03:11:58;127;22;21;18;16;0;15;2;14;2;3
2020-05-13 03:12:59;127;22;21;18;16;0;15;2;14;2;3
2020-05-13 03:13:59;127;22;21;18;16;0;15;2;14;2;3
2020-05-13 03:14:58;127;22;21;18;16;0;15;2;14;2;3
2020-05-13 03:15:59;127;22;21;18;16;0;15;2;14;2;3
2020-05-13 03:16:59;127;22;21;18;16;0;15;2;14;2;3
2020-05-13 03:18:00;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:18:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:19:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:20:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:21:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:22:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:23:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:24:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:25:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:26:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:27:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:28:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:29:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:30:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:31:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:32:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:33:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:34:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:35:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:36:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:37:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:38:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:39:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:40:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:41:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:42:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:43:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:44:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:45:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:46:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:47:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:48:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:49:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:50:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:51:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:52:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:53:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:54:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:55:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:56:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:57:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:58:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 03:59:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:00:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:01:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:02:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:03:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:04:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:05:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:06:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:07:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:08:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:09:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:10:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:11:59;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:12:58;128;22;21;18;16;0;15;2;15;2;3
2020-05-13 04:13:59;128;22;21;18;16;0;15;2;15;2;3
