datetime;total_votes;Tae4ka;yachik;jovan;Villanelle;telegraf;Есения;Grit;Mindsplitter;UndeadMoroz;Maxkatz
2021-01-06 02:35:59;53;15;13;6;4;1;5;2;1;1;2
2021-01-06 02:36:59;53;15;13;6;4;1;5;2;1;1;2
2021-01-06 02:37:58;53;15;13;6;4;1;5;2;1;1;2
2021-01-06 02:38:59;53;15;13;6;4;1;5;2;1;1;2
2021-01-06 02:39:58;54;16;13;6;4;1;5;2;1;1;2
2021-01-06 02:40:59;54;16;13;6;4;1;5;2;1;1;2
2021-01-06 02:41:58;54;16;13;6;4;1;5;2;1;1;2
2021-01-06 02:42:59;54;16;13;6;4;1;5;2;1;1;2
2021-01-06 02:43:59;54;16;13;6;4;1;5;2;1;1;2
2021-01-06 02:44:58;54;16;13;6;4;1;5;2;1;1;2
2021-01-06 02:45:59;55;16;14;6;4;1;5;2;1;1;2
2021-01-06 02:46:58;55;16;14;6;4;1;5;2;1;1;2
2021-01-06 02:47:59;55;16;14;6;4;1;5;2;1;1;2
2021-01-06 02:48:59;55;16;14;6;4;1;5;2;1;1;2
2021-01-06 02:49:58;55;16;14;6;4;1;5;2;1;1;2
2021-01-06 02:50:59;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 02:51:59;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 02:52:58;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 02:53:59;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 02:54:59;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 02:55:58;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 02:56:59;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 02:57:59;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 02:58:59;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 02:59:58;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 03:00:59;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 03:01:59;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 03:02:58;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 03:03:59;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 03:04:59;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 03:05:58;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 03:06:59;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 03:07:58;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 03:08:59;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 03:09:59;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 03:10:59;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 03:11:58;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 03:12:59;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 03:13:59;56;16;14;6;4;1;5;2;1;1;2
2021-01-06 03:14:58;57;16;14;7;4;1;5;2;1;1;2
2021-01-06 03:15:59;58;16;15;7;4;1;5;2;1;1;2
2021-01-06 03:16:59;58;16;15;7;4;1;5;2;1;1;2
2021-01-06 03:17:58;58;16;15;7;4;1;5;2;1;1;2
2021-01-06 03:18:59;58;16;15;7;4;1;5;2;1;1;2
2021-01-06 03:19:58;58;16;15;7;4;1;5;2;1;1;2
2021-01-06 03:20:59;58;16;15;7;4;1;5;2;1;1;2
2021-01-06 03:21:59;58;16;15;7;4;1;5;2;1;1;2
2021-01-06 03:22:58;59;16;15;7;5;1;5;2;1;1;2
2021-01-06 03:23:59;59;16;15;7;5;1;5;2;1;1;2
2021-01-06 03:24:59;59;16;15;7;5;1;5;2;1;1;2
2021-01-06 03:25:58;61;16;15;7;6;1;5;2;1;1;2
2021-01-06 03:26:59;61;16;15;7;6;1;5;2;1;1;2
2021-01-06 03:27:59;61;16;15;7;6;1;5;2;1;1;2
2021-01-06 03:28:58;61;16;15;7;6;1;5;2;1;1;2
2021-01-06 03:29:59;61;16;15;7;6;1;5;2;1;1;2
2021-01-06 03:30:58;61;16;15;7;6;1;5;2;1;1;2
2021-01-06 03:31:59;61;16;15;7;6;1;5;2;1;1;2
2021-01-06 03:33:00;61;16;15;7;6;1;5;2;1;1;2
2021-01-06 03:33:58;61;16;15;7;6;1;5;2;1;1;2
2021-01-06 03:34:59;61;16;15;7;6;1;5;2;1;1;2
2021-01-06 03:35:58;61;16;15;7;6;1;5;2;1;1;2
2021-01-06 03:36:59;61;16;15;7;6;1;5;2;1;1;2
2021-01-06 03:37:58;61;16;15;7;6;1;5;2;1;1;2
2021-01-06 03:38:59;62;17;15;7;6;1;5;2;1;1;2
2021-01-06 03:39:59;62;17;15;7;6;1;5;2;1;1;2
2021-01-06 03:40:58;63;18;15;7;6;1;5;2;1;1;2
2021-01-06 03:41:59;63;18;15;7;6;1;5;2;1;1;2
2021-01-06 03:42:59;63;18;15;7;6;1;5;2;1;1;2
2021-01-06 03:43:58;63;18;15;7;6;1;5;2;1;1;2
2021-01-06 03:44:59;63;18;15;7;6;1;5;2;1;1;2
2021-01-06 03:45:59;63;18;15;7;6;1;5;2;1;1;2
2021-01-06 03:46:58;63;18;15;7;6;1;5;2;1;1;2
2021-01-06 03:47:59;63;18;15;7;6;1;5;2;1;1;2
2021-01-06 03:48:59;63;18;15;7;6;1;5;2;1;1;2
2021-01-06 03:49:58;63;18;15;7;6;1;5;2;1;1;2
2021-01-06 03:50:59;63;18;15;7;6;1;5;2;1;1;2
