datetime;total_votes;tutabrain;rockamark;pupsique;markII;Есения;NoEndOutcry;XASSA;kilogramm;kotophalk;wintercyclone
2019-05-15 02:26:58;23;0;6;2;2;0;0;0;3;0;0
2019-05-15 02:27:59;23;0;6;2;2;0;0;0;3;0;0
2019-05-15 02:28:59;23;0;6;2;2;0;0;0;3;0;0
2019-05-15 02:29:58;23;0;6;2;2;0;0;0;3;0;0
2019-05-15 02:30:59;23;0;6;2;2;0;0;0;3;0;0
2019-05-15 02:31:59;23;0;6;2;2;0;0;0;3;0;0
2019-05-15 02:32:58;23;0;6;2;2;0;0;0;3;0;0
2019-05-15 02:33:59;24;0;6;2;2;0;0;1;3;0;0
2019-05-15 02:34:58;24;0;6;2;2;0;0;1;3;0;0
2019-05-15 02:35:59;24;0;6;2;2;0;0;1;3;0;0
2019-05-15 02:36:59;24;0;6;2;2;0;0;1;3;0;0
2019-05-15 02:37:58;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:38:59;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:39:59;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:40:58;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:41:59;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:42:58;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:43:59;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:44:59;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:45:58;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:46:59;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:47:58;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:48:59;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:49:59;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:50:58;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:51:59;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:52:59;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:53:58;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:54:59;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:55:59;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:56:58;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:57:59;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:58:58;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 02:59:59;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 03:00:58;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 03:01:59;25;0;6;2;2;0;0;1;3;1;0
2019-05-15 03:02:59;25;0;6;2;2;0;0;1;3;1;0
