datetime;total_votes;GlobetrotterXL;shamanka2_0;Yardrey;navalny;Fill;kross;xtend;Mapm;mama_p_zh;kotophalk
2020-11-25 02:34:58;46;13;10;3;3;2;4;1;0;1;2
2020-11-25 02:35:59;46;13;10;3;3;2;4;1;0;1;2
2020-11-25 02:36:58;47;13;10;3;3;2;4;1;0;1;2
2020-11-25 02:37:59;47;13;11;3;3;2;4;1;0;1;2
2020-11-25 02:38:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:39:58;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:40:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:41:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:42:58;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:43:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:44:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:45:58;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:46:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:47:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:48:58;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:49:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:50:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:51:58;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:52:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:53:58;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:54:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:55:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:56:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:57:58;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:58:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 02:59:58;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:00:59;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:01:58;46;13;11;3;3;2;4;0;0;0;2
2020-11-25 03:02:59;46;13;11;3;3;2;4;0;0;0;2
