datetime;total_votes;Oleum;kross;Der_Sturmer;XASSA;UnbeabMoroz;Есения;NAFA;BlackIrony;xtend;Shilov
2020-01-08 03:40:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:41:58;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:42:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:43:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:44:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:45:58;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:46:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:47:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:48:58;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:49:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:50:59;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 03:51:58;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 03:52:59;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 03:53:59;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 03:54:59;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 03:55:58;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 03:56:59;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 03:57:59;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 03:58:58;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 03:59:59;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 04:00:59;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 04:01:59;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 04:02:58;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 04:03:59;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 04:04:59;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 04:05:58;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 04:06:59;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 04:07:59;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 04:08:59;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 04:09:58;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 04:10:59;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 04:11:59;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 04:12:58;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 04:13:59;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 04:14:59;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 04:15:58;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 04:16:59;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 04:17:59;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 04:18:58;44;8;18;4;2;1;1;0;0;2;2
2020-01-08 04:19:59;45;8;19;4;2;1;1;0;0;2;2
2020-01-08 04:20:59;45;8;19;4;2;1;1;0;0;2;2
2020-01-08 04:21:58;45;8;19;4;2;1;1;0;0;2;2
2020-01-08 04:22:59;45;8;19;4;2;1;1;0;0;2;2
2020-01-08 04:23:59;45;8;19;4;2;1;1;0;0;2;2
2020-01-08 04:24:59;45;8;19;4;2;1;1;0;0;2;2
2020-01-08 04:25:58;45;8;19;4;2;1;1;0;0;2;2
2020-01-08 04:26:59;45;8;19;4;2;1;1;0;0;2;2
2020-01-08 04:27:59;45;8;19;4;2;1;1;0;0;2;2
2020-01-08 04:28:58;45;8;19;4;2;1;1;0;0;2;2
2020-01-08 04:29:59;45;8;19;4;2;1;1;0;0;2;2
2020-01-08 04:30:58;45;8;19;4;2;1;1;0;0;2;2
2020-01-08 04:31:59;46;9;19;4;2;1;1;0;0;2;2
2020-01-08 04:32:59;46;9;19;4;2;1;1;0;0;2;2
2020-01-08 04:33:59;46;9;19;4;2;1;1;0;0;2;2
2020-01-08 04:34:58;46;9;19;4;2;1;1;0;0;2;2
2020-01-08 04:35:59;46;9;19;4;2;1;1;0;0;2;2
2020-01-08 04:36:59;46;9;19;4;2;1;1;0;0;2;2
2020-01-08 04:37:59;46;9;19;4;2;1;1;0;0;2;2
2020-01-08 04:38:58;46;9;19;4;2;1;1;0;0;2;2
2020-01-08 04:39:59;46;9;19;4;2;1;1;0;0;2;2
2020-01-08 04:40:59;47;9;19;4;2;0;1;0;0;2;2
2020-01-08 04:41:58;47;9;19;4;2;0;1;0;0;2;2
2020-01-08 04:42:59;47;9;19;4;2;0;1;0;0;2;2
2020-01-08 04:43:59;47;9;19;4;2;0;1;0;0;2;2
2020-01-08 04:44:59;47;9;19;4;2;0;1;0;0;2;2
2020-01-08 04:45:58;47;9;19;4;2;0;1;0;0;2;2
2020-01-08 04:46:59;47;9;19;4;2;0;1;0;0;2;2
2020-01-08 04:47:59;47;9;19;4;2;0;1;0;0;2;2
2020-01-08 04:48:58;48;9;19;4;2;0;2;0;0;2;2
2020-01-08 04:49:59;48;9;19;4;2;0;2;0;0;2;2
2020-01-08 04:50:59;49;10;19;4;2;0;2;0;0;2;2
2020-01-08 04:51:59;49;10;19;4;2;0;2;0;0;2;2
2020-01-08 04:52:58;49;10;19;4;2;0;2;0;0;2;2
2020-01-08 04:53:59;49;10;19;4;2;0;2;0;0;2;2
2020-01-08 04:55:00;49;10;19;4;2;0;2;0;0;2;2
2020-01-08 04:55:58;49;10;19;4;2;0;2;0;0;2;2
2020-01-08 04:56:59;48;10;19;4;2;1;2;0;0;2;2
2020-01-08 04:57:58;48;10;19;4;2;1;2;0;0;2;2
2020-01-08 04:58:59;48;10;19;4;2;1;2;0;0;2;2
2020-01-08 04:59:59;48;10;19;4;2;1;2;0;0;2;2
2020-01-08 05:00:58;48;10;19;4;2;1;2;0;0;2;2
2020-01-08 05:01:59;48;10;19;4;2;1;2;0;0;2;2
2020-01-08 05:02:59;49;10;20;4;2;1;2;0;0;2;2
2020-01-08 05:03:58;49;10;20;4;2;1;2;0;0;2;2
