datetime;total_votes;Private_Ryan;Shambala;voklo;praktik;SoulMaker;gelatelno;not;zgushonka;xiro;m0rf
2019-10-23 01:50:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:51:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:52:58;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:53:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:54:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:55:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:56:58;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:57:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:58:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:59:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 02:00:58;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 02:01:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 02:02:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 02:03:58;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 02:04:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 02:05:59;28;0;2;10;6;2;3;0;1;1;1
2019-10-23 02:06:58;28;0;2;10;6;2;3;0;1;1;1
2019-10-23 02:07:59;28;0;2;10;6;2;3;0;1;1;1
2019-10-23 02:08:59;28;0;2;10;6;2;3;0;1;1;1
2019-10-23 02:09:58;28;0;2;10;6;2;3;0;1;1;1
2019-10-23 02:10:59;28;0;2;10;6;2;3;0;1;1;1
2019-10-23 02:11:59;28;0;2;10;6;2;3;0;1;1;1
2019-10-23 02:12:59;28;0;2;10;6;2;3;0;1;1;1
2019-10-23 02:13:58;28;0;2;10;6;2;3;0;1;1;1
2019-10-23 02:14:59;28;0;2;10;6;2;3;0;1;1;1
2019-10-23 02:15:59;28;0;2;10;6;2;3;0;1;1;1
2019-10-23 02:16:58;28;0;2;10;6;2;3;0;1;1;1
2019-10-23 02:17:59;28;0;2;10;6;2;3;0;1;1;1
2019-10-23 02:18:59;28;0;2;10;6;2;3;0;1;1;1
2019-10-23 02:19:59;28;0;2;10;6;2;3;0;1;1;1
2019-10-23 02:20:58;28;0;2;10;6;2;3;0;1;1;1
2019-10-23 02:21:59;29;0;2;10;6;2;3;0;1;1;0
2019-10-23 02:22:59;29;0;2;10;6;2;3;0;1;1;0
2019-10-23 02:23:58;29;0;2;10;6;2;3;0;1;1;0
2019-10-23 02:24:59;29;0;2;10;6;2;3;0;1;1;0
2019-10-23 02:25:59;29;0;2;10;6;2;3;0;1;1;0
2019-10-23 02:26:59;29;0;2;10;6;2;3;0;1;1;0
2019-10-23 02:27:58;29;0;2;10;6;2;3;0;1;1;0
2019-10-23 02:28:59;29;0;2;10;6;2;3;0;1;1;0
2019-10-23 02:29:58;29;0;2;10;6;2;3;0;1;1;0
2019-10-23 02:30:59;29;0;2;10;6;2;3;0;1;1;0
2019-10-23 02:31:59;30;0;2;11;6;2;3;0;1;1;0
2019-10-23 02:32:59;30;0;2;11;6;2;3;0;1;1;0
2019-10-23 02:33:58;30;0;2;11;6;2;3;0;1;1;0
2019-10-23 02:34:59;30;0;2;11;6;2;3;0;1;1;0
2019-10-23 02:35:59;30;0;2;11;6;2;3;0;1;1;0
2019-10-23 02:36:58;30;0;2;11;6;2;3;0;1;1;0
2019-10-23 02:37:59;30;0;2;11;6;2;3;0;1;1;0
2019-10-23 02:38:59;30;0;2;11;6;2;3;0;1;1;0
2019-10-23 02:39:59;30;0;2;11;6;2;3;0;1;1;0
2019-10-23 02:40:58;30;0;2;11;6;2;3;0;1;1;0
2019-10-23 02:41:59;30;0;2;11;6;2;3;0;1;1;0
2019-10-23 02:42:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 02:44:00;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 02:44:58;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 02:45:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 02:46:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 02:47:58;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 02:48:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 02:49:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 02:50:58;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 02:51:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 02:52:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 02:53:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 02:54:58;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 02:55:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 02:56:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 02:57:58;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 02:58:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 02:59:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:00:58;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:01:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:02:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:03:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:04:58;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:05:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:06:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:07:58;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:08:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:09:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:10:58;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:11:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:12:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:13:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:14:58;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:15:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:16:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:17:58;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:18:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:19:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:20:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:21:58;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:22:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:23:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:24:58;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:25:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:26:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:27:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:28:58;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:29:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:30:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:31:58;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:32:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:33:59;31;0;2;11;6;2;3;0;1;1;1
2019-10-23 03:34:58;31;0;2;11;6;2;3;0;1;1;1
