datetime;total_votes;phb4;Zvag;Z-L-O;paramed;BURMAAAR;Needlefang;Der_Sturmer;Jayola;jovan;Zikka
2019-08-07 02:34:58;32;9;2;5;0;2;5;1;2;0;0
2019-08-07 02:35:59;32;9;2;5;0;2;5;1;2;0;0
2019-08-07 02:36:59;32;9;2;5;0;2;5;1;2;0;0
2019-08-07 02:37:58;32;9;2;5;0;2;5;1;2;0;0
2019-08-07 02:38:59;32;9;2;5;0;2;5;1;2;0;0
2019-08-07 02:39:59;32;9;2;5;0;2;5;1;2;0;0
2019-08-07 02:40:58;32;9;2;5;0;2;5;1;2;0;0
2019-08-07 02:41:59;32;9;2;5;0;2;5;1;2;0;0
2019-08-07 02:42:59;32;9;2;5;0;2;5;1;2;0;0
2019-08-07 02:43:58;32;9;2;5;0;2;5;1;2;0;0
2019-08-07 02:44:59;32;9;2;5;0;2;5;1;2;0;0
2019-08-07 02:45:59;32;9;2;5;0;2;5;1;2;0;0
2019-08-07 02:46:58;32;9;2;5;0;2;5;1;2;0;0
2019-08-07 02:47:59;32;9;2;5;0;2;5;1;2;0;0
2019-08-07 02:48:59;33;9;2;6;0;2;5;1;2;0;0
2019-08-07 02:49:58;33;9;2;6;0;2;5;1;2;0;0
2019-08-07 02:50:59;33;9;2;6;0;2;5;1;2;0;0
2019-08-07 02:51:59;33;9;2;6;0;2;5;1;2;0;0
2019-08-07 02:52:58;33;9;2;6;0;2;5;1;2;0;0
2019-08-07 02:53:59;33;9;2;6;0;2;5;1;2;0;0
2019-08-07 02:55:00;33;9;2;6;0;2;5;1;2;0;0
2019-08-07 02:55:58;33;9;2;6;0;2;5;1;2;0;0
2019-08-07 02:56:59;33;9;2;6;0;2;5;1;2;0;0
2019-08-07 02:57:58;33;9;2;6;0;2;5;1;2;0;0
2019-08-07 02:58:59;33;9;2;6;0;2;5;1;2;0;0
2019-08-07 02:59:59;34;9;2;6;0;2;5;1;3;0;0
2019-08-07 03:00:58;34;9;2;6;0;2;5;1;3;0;0
2019-08-07 03:01:59;35;10;2;6;0;2;5;1;3;0;0
2019-08-07 03:02:59;35;10;2;6;0;2;5;1;3;0;0
2019-08-07 03:03:58;35;10;2;6;0;2;5;1;3;0;0
2019-08-07 03:04:59;35;10;2;6;0;2;5;1;3;0;0
2019-08-07 03:05:58;35;10;2;6;0;2;5;1;3;0;0
2019-08-07 03:06:59;35;10;2;6;0;2;5;1;3;0;0
2019-08-07 03:07:59;35;10;2;6;0;2;5;1;3;0;0
2019-08-07 03:08:58;35;10;2;6;0;2;5;1;3;0;0
2019-08-07 03:09:59;35;10;2;6;0;2;5;1;3;0;0
2019-08-07 03:10:59;35;10;2;6;0;2;5;1;3;0;0
2019-08-07 03:11:58;35;10;2;6;0;2;5;1;3;0;0
2019-08-07 03:12:59;35;10;2;6;0;2;5;1;3;0;0
2019-08-07 03:13:59;35;10;2;6;0;2;5;1;3;0;0
2019-08-07 03:14:58;35;10;2;6;0;2;5;1;3;0;0
2019-08-07 03:15:59;35;10;2;6;0;2;5;1;3;0;0
2019-08-07 03:16:58;35;10;2;6;0;2;5;1;3;0;0
2019-08-07 03:17:59;35;10;2;6;0;2;5;1;3;0;0
2019-08-07 03:18:59;35;10;2;6;0;2;5;1;3;0;0
2019-08-07 03:19:58;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:20:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:21:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:22:58;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:23:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:24:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:25:58;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:26:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:27:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:28:58;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:29:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:30:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:31:58;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:32:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:33:58;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:34:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:35:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:36:58;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:37:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:38:58;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:39:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:40:58;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:41:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:42:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:43:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:44:58;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:45:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:46:58;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:47:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:49:00;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:49:58;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:50:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:51:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:52:58;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:53:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:54:58;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:55:59;36;11;2;6;0;2;5;1;3;0;0
2019-08-07 03:56:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 03:57:58;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 03:58:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 03:59:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:00:58;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:01:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:02:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:03:58;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:04:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:06:00;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:06:58;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:07:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:08:58;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:09:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:10:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:11:58;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:12:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:13:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:14:58;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:15:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:16:58;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:17:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:18:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:19:58;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:20:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:21:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:22:58;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:23:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:24:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:25:58;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:26:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:27:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:28:58;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:29:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:30:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:31:58;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:32:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:33:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:34:58;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:35:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:36:58;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:37:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:38:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:39:58;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:40:59;37;11;2;6;0;2;5;2;3;0;0
2019-08-07 04:41:59;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 04:42:58;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 04:43:59;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 04:44:58;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 04:45:59;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 04:46:59;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 04:47:58;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 04:48:59;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 04:49:59;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 04:50:58;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 04:51:59;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 04:52:59;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 04:53:58;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 04:54:59;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 04:55:59;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 04:56:58;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 04:57:59;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 04:58:58;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 04:59:59;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 05:00:59;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 05:01:58;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 05:02:59;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 05:03:59;38;11;2;6;0;2;5;2;4;0;0
2019-08-07 05:04:59;38;11;2;6;0;2;5;2;4;0;0
