datetime;total_votes;lublu-zubi;voklo;brammator;jovan;Hexadecachoron;paramed;UndeadMoroz;norpo;xiro;Mapm
2019-11-06 03:21:59;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:23:00;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:23:58;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:24:59;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:25:59;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:26:59;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:27:58;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:28:59;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:29:59;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:30:58;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:31:59;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:32:59;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:33:58;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:34:59;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:35:59;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:36:58;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:37:59;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:38:59;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:39:58;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:40:59;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:41:59;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:42:59;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:43:58;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:44:59;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:45:59;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:46:58;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:47:59;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:48:58;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:49:59;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:50:59;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:51:58;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:52:59;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:53:59;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:54:59;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:55:58;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:56:59;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:57:59;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:58:58;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 03:59:59;29;11;6;1;1;4;0;1;0;0;0
2019-11-06 04:00:59;30;11;6;1;1;4;0;1;0;0;0
2019-11-06 04:01:58;30;11;6;1;1;4;0;1;0;0;0
2019-11-06 04:02:59;30;11;6;1;1;4;0;1;0;0;0
2019-11-06 04:03:59;30;11;6;1;1;4;0;1;0;0;0
2019-11-06 04:04:58;30;11;6;1;1;4;0;1;0;0;0
2019-11-06 04:05:59;30;11;6;1;1;4;0;1;0;0;0
2019-11-06 04:06:59;30;11;6;1;1;4;0;1;0;0;0
2019-11-06 04:07:58;31;11;6;1;1;5;0;1;0;0;0
2019-11-06 04:08:59;31;11;6;1;1;5;0;1;0;0;0
2019-11-06 04:09:59;31;11;6;1;1;5;0;1;0;0;0
2019-11-06 04:10:58;31;11;6;1;1;5;0;1;0;0;0
2019-11-06 04:11:59;31;11;6;1;1;5;0;1;0;0;0
2019-11-06 04:12:59;31;11;6;1;1;5;0;1;0;0;0
2019-11-06 04:13:58;31;11;6;1;1;5;0;1;0;0;0
2019-11-06 04:14:59;31;11;6;1;1;5;0;1;0;0;0
2019-11-06 04:15:59;31;11;6;1;1;5;0;1;0;0;0
2019-11-06 04:16:58;31;11;6;1;1;5;0;1;0;0;0
2019-11-06 04:17:59;31;11;6;1;1;5;0;1;0;0;0
2019-11-06 04:18:59;31;11;6;1;1;5;0;1;0;0;0
2019-11-06 04:20:00;32;12;6;1;1;5;0;1;0;0;0
2019-11-06 04:20:58;32;12;6;1;1;5;0;1;0;0;0
2019-11-06 04:21:59;32;12;6;1;1;5;0;1;0;0;0
2019-11-06 04:22:59;32;12;6;1;1;5;0;1;0;0;0
2019-11-06 04:23:58;32;12;6;1;1;5;0;1;0;0;0
2019-11-06 04:24:59;32;12;6;1;1;5;0;1;0;0;0
2019-11-06 04:25:59;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:26:58;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:27:59;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:28:59;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:29:58;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:30:59;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:31:59;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:32:58;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:33:59;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:35:00;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:35:58;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:36:59;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:37:58;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:38:59;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:39:59;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:40:58;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:41:59;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:42:59;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:43:58;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:44:59;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:45:59;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:46:58;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:47:59;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:49:00;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:49:58;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:50:59;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:51:59;31;12;5;1;1;5;0;1;0;0;0
2019-11-06 04:52:58;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 04:53:59;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 04:54:59;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 04:55:58;32;13;5;1;1;5;0;1;0;0;0
2019-11-06 04:56:59;32;13;5;1;1;5;0;1;0;0;0
