datetime;total_votes;Plancus;keyreal;leprovalentin;pupsique;Der_Sturmer;rockamark;Есения;dear_pavlik;kiLstrom;brammator
2019-02-27 04:24:58;38;16;4;1;0;2;2;2;2;2;1
2019-02-27 04:25:59;38;16;4;1;0;2;2;2;2;2;1
2019-02-27 04:26:59;39;16;4;1;0;2;2;2;3;2;1
2019-02-27 04:27:58;39;16;4;1;0;2;2;2;3;2;1
2019-02-27 04:28:59;39;16;4;1;0;2;2;2;3;2;1
2019-02-27 04:29:59;39;16;4;1;0;2;2;2;3;2;1
2019-02-27 04:30:58;39;16;4;1;0;2;2;2;3;2;1
2019-02-27 04:31:59;39;16;4;1;0;2;2;2;3;2;1
2019-02-27 04:32:58;39;16;4;1;0;2;2;2;3;2;1
2019-02-27 04:33:59;39;16;4;1;0;2;2;2;3;2;1
2019-02-27 04:34:58;39;16;4;1;0;2;2;2;3;2;1
2019-02-27 04:35:59;39;16;4;1;0;2;2;2;3;2;1
2019-02-27 04:36:59;39;16;4;1;0;2;2;2;3;2;1
2019-02-27 04:37:58;39;16;4;1;0;2;2;2;3;2;1
2019-02-27 04:38:59;39;16;4;1;0;2;2;2;3;2;1
2019-02-27 04:39:59;39;16;4;1;0;2;2;2;3;2;1
2019-02-27 04:40:58;39;16;4;1;0;2;2;2;3;2;1
2019-02-27 04:41:59;39;16;4;1;0;2;2;2;3;2;1
2019-02-27 04:42:58;39;16;4;1;0;2;2;2;3;2;1
2019-02-27 04:43:59;39;16;4;1;0;2;2;2;3;2;1
2019-02-27 04:44:59;39;16;4;1;0;2;2;2;3;2;1
2019-02-27 04:45:58;40;16;4;1;0;3;2;2;3;2;1
2019-02-27 04:46:59;40;16;4;1;0;3;2;2;3;2;1
2019-02-27 04:47:58;40;16;4;1;0;3;2;2;3;2;1
2019-02-27 04:48:59;40;16;4;1;0;3;2;2;3;2;1
2019-02-27 04:49:58;40;16;4;1;0;3;2;2;3;2;1
2019-02-27 04:50:59;40;16;4;1;0;3;2;2;3;2;1
2019-02-27 04:51:59;40;16;4;1;0;3;2;2;3;2;1
2019-02-27 04:52:58;40;16;4;1;0;3;2;2;3;2;1
2019-02-27 04:53:59;40;16;4;1;0;3;2;2;3;2;1
2019-02-27 04:54:58;40;16;4;1;0;3;2;2;3;2;1
2019-02-27 04:55:59;40;16;4;1;0;3;2;2;3;2;1
2019-02-27 04:56:59;40;16;4;1;0;3;2;2;3;2;1
2019-02-27 04:57:58;40;16;4;1;0;3;2;2;3;2;1
2019-02-27 04:58:59;40;16;4;1;0;3;2;2;3;2;1
2019-02-27 04:59:59;40;16;4;1;0;3;2;2;3;2;1
2019-02-27 05:00:58;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:01:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:02:58;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:03:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:05:00;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:05:58;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:06:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:07:58;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:08:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:09:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:10:58;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:11:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:12:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:13:58;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:14:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:15:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:16:58;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:17:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:18:58;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:19:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:20:58;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:21:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:22:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:23:58;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:24:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:25:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:26:58;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:27:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:28:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:29:58;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:30:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:31:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:32:58;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:33:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:34:58;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:35:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:36:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:37:58;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:38:59;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:39:58;41;17;4;1;0;3;2;2;3;2;1
2019-02-27 05:40:59;42;17;4;1;0;3;2;2;3;2;0
2019-02-27 05:41:59;42;18;4;1;0;3;2;2;3;2;1
2019-02-27 05:42:58;42;18;4;1;0;3;2;2;3;2;1
2019-02-27 05:43:59;42;18;4;1;0;3;2;2;3;2;1
2019-02-27 05:44:59;42;18;4;1;0;3;2;2;3;2;1
2019-02-27 05:45:58;42;18;4;1;0;3;2;2;3;2;1
2019-02-27 05:46:59;42;18;4;1;0;3;2;2;3;2;1
2019-02-27 05:47:59;43;19;4;1;0;3;2;2;3;2;1
2019-02-27 05:48:58;43;19;4;1;0;3;2;2;3;2;1
2019-02-27 05:49:59;43;19;4;1;0;3;2;2;3;2;1
2019-02-27 05:50:58;43;19;4;1;0;3;2;2;3;2;1
2019-02-27 05:51:59;43;19;4;1;0;3;2;2;3;2;1
2019-02-27 05:52:59;43;19;4;1;0;3;2;2;3;2;1
2019-02-27 05:53:58;43;19;4;1;0;3;2;2;3;2;1
2019-02-27 05:54:59;43;19;4;1;0;3;2;2;3;2;1
2019-02-27 05:55:58;43;19;4;1;0;3;2;2;3;2;1
2019-02-27 05:56:59;43;19;4;1;0;3;2;2;3;2;1
2019-02-27 05:57:58;43;19;4;1;0;3;2;2;3;2;1
2019-02-27 05:58:59;44;20;4;1;0;3;2;2;3;2;1
2019-02-27 05:59:59;44;20;4;1;0;3;2;2;3;2;1
2019-02-27 06:00:58;44;20;4;1;0;3;2;2;3;2;1
2019-02-27 06:01:59;44;20;4;1;0;3;2;2;3;2;1
2019-02-27 06:02:59;44;20;4;1;0;3;2;2;3;2;1
2019-02-27 06:03:58;44;20;4;1;0;3;2;2;3;2;1
2019-02-27 06:04:59;44;20;4;1;0;3;2;2;3;2;1
2019-02-27 06:05:58;44;20;4;1;0;3;2;2;3;2;1
2019-02-27 06:06:59;44;20;4;1;0;3;2;2;3;2;1
2019-02-27 06:07:58;44;20;4;1;0;3;2;2;3;2;1
2019-02-27 06:08:59;44;20;4;1;0;3;2;2;3;2;1
2019-02-27 06:09:58;44;20;4;1;0;3;2;2;3;2;1
2019-02-27 06:10:59;44;20;4;1;0;3;2;2;3;2;1
2019-02-27 06:11:59;44;20;4;1;0;3;2;2;3;2;1
2019-02-27 06:12:58;44;20;4;1;0;3;2;2;3;2;1
2019-02-27 06:13:59;45;20;4;1;0;3;2;2;3;2;0
2019-02-27 06:14:59;45;20;4;1;0;3;2;2;3;2;0
2019-02-27 06:15:58;45;20;4;1;0;3;2;2;3;2;0
2019-02-27 06:16:59;45;20;4;1;0;3;2;2;3;2;0
2019-02-27 06:17:58;45;20;4;1;0;3;2;2;3;2;0
2019-02-27 06:18:59;45;20;4;1;0;3;2;2;3;2;0
2019-02-27 06:19:59;45;20;4;1;0;3;2;2;3;2;0
2019-02-27 06:20:58;45;20;4;1;0;3;2;2;3;2;0
2019-02-27 06:21:59;45;20;4;1;0;3;2;2;3;2;0
2019-02-27 06:22:59;45;20;4;1;0;3;2;2;3;2;0
2019-02-27 06:23:58;46;21;4;1;0;3;2;2;3;2;0
2019-02-27 06:24:59;46;21;4;1;0;3;2;2;3;2;0
2019-02-27 06:25:58;46;21;4;1;0;3;2;2;3;2;0
2019-02-27 06:26:59;46;21;4;1;0;3;2;2;3;2;0
2019-02-27 06:27:59;46;21;4;1;0;3;2;2;3;2;0
2019-02-27 06:28:58;47;22;4;1;0;3;2;2;3;2;0
2019-02-27 06:29:59;47;22;4;1;0;3;2;2;3;2;0
2019-02-27 06:30:59;47;22;4;1;0;3;2;2;3;2;0
2019-02-27 06:31:58;47;22;4;1;0;3;2;2;3;2;0
2019-02-27 06:32:59;47;22;4;1;0;3;2;2;3;2;0
2019-02-27 06:33:59;47;22;4;1;0;3;2;2;3;2;0
