datetime;total_votes;redslot;tutabrain;pupsique;mama_p_zh;ZevB3K;gnom_vorchun;brammator;UncleDre;rockamark;KOCTOPE3
2018-12-12 08:11:59;73;27;17;2;3;2;2;0;0;2;2
2018-12-12 08:12:59;73;27;17;2;3;2;2;0;0;2;2
2018-12-12 08:13:58;73;27;17;2;3;2;2;0;0;2;2
2018-12-12 08:14:59;73;27;17;2;3;2;2;0;0;2;2
2018-12-12 08:15:58;73;27;17;2;3;2;2;0;0;2;2
2018-12-12 08:16:59;73;27;17;2;3;2;2;0;0;2;2
2018-12-12 08:17:59;73;27;17;2;3;2;2;0;0;2;2
2018-12-12 08:18:58;73;27;17;2;3;2;2;0;0;2;2
2018-12-12 08:19:59;73;27;17;2;3;2;2;0;0;2;2
2018-12-12 08:20:59;73;27;17;2;3;2;2;0;0;2;2
2018-12-12 08:21:58;74;27;18;2;3;2;2;0;0;2;2
2018-12-12 08:22:59;74;27;18;2;3;2;2;0;0;2;2
2018-12-12 08:23:59;74;27;18;2;3;2;2;0;0;2;2
2018-12-12 08:24:58;74;27;18;2;3;2;2;0;0;2;2
2018-12-12 08:25:59;74;27;18;2;3;2;2;0;0;2;2
2018-12-12 08:26:58;74;27;18;2;3;2;2;0;0;2;2
2018-12-12 08:27:59;74;27;18;2;3;2;2;0;0;2;2
2018-12-12 08:28:59;74;27;18;2;3;2;2;0;0;2;2
2018-12-12 08:29:58;74;27;18;2;3;2;2;0;0;2;2
2018-12-12 08:30:59;74;27;18;2;3;2;2;0;0;2;2
2018-12-12 08:31:59;74;27;18;2;3;2;2;0;0;2;2
2018-12-12 08:32:58;74;27;18;2;3;2;2;0;0;2;2
2018-12-12 08:33:59;74;27;18;2;3;2;2;0;0;2;2
2018-12-12 08:34:59;74;27;18;2;3;2;2;0;0;2;2
2018-12-12 08:35:58;75;28;18;2;3;2;2;0;0;2;2
2018-12-12 08:36:59;75;28;18;2;3;2;2;0;0;2;2
2018-12-12 08:37:59;75;28;18;2;3;2;2;0;0;2;2
