datetime;total_votes;Hmmm;Mapm;Terkin;rockamark;bear49;praktik;S_Semenenko;quick_justice;BUG;brammator
2019-06-26 02:04:59;49;10;10;5;3;0;0;2;0;0;0
2019-06-26 02:05:58;49;10;10;5;3;0;0;2;0;0;0
2019-06-26 02:06:59;49;10;10;5;3;0;0;2;0;0;0
2019-06-26 02:07:59;49;10;10;5;3;0;0;2;0;0;0
2019-06-26 02:08:58;49;10;10;5;3;0;0;2;0;0;0
2019-06-26 02:09:59;49;11;9;5;3;0;0;2;0;0;0
2019-06-26 02:10:58;49;11;9;5;3;0;0;2;0;0;0
2019-06-26 02:11:59;49;11;9;5;3;0;0;2;0;0;0
2019-06-26 02:12:59;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:13:58;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:14:59;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:15:59;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:16:58;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:17:59;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:18:59;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:19:58;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:20:59;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:21:59;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:22:58;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:23:59;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:24:58;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:25:59;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:26:59;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:27:58;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:28:59;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:29:58;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:30:59;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:31:59;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:32:58;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:33:59;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:34:59;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:35:58;50;11;9;5;3;1;1;2;0;0;0
2019-06-26 02:36:59;51;11;10;5;3;1;1;2;0;0;0
2019-06-26 02:37:58;51;11;10;5;3;1;1;2;0;0;0
2019-06-26 02:38:59;51;11;10;5;3;1;1;2;0;0;0
2019-06-26 02:39:58;51;11;10;5;3;1;1;2;0;0;0
2019-06-26 02:40:59;51;11;10;5;3;1;1;2;0;0;0
2019-06-26 02:41:59;51;11;10;5;3;1;1;2;0;0;0
2019-06-26 02:42:58;51;11;10;5;3;1;1;2;0;0;0
2019-06-26 02:43:59;51;11;10;5;3;1;1;2;0;0;0
2019-06-26 02:44:59;51;11;10;5;3;1;1;2;0;0;0
2019-06-26 02:45:58;51;11;10;5;3;1;1;2;0;0;0
2019-06-26 02:46:59;51;11;10;5;3;1;1;2;0;0;0
2019-06-26 02:47:59;51;11;10;5;3;1;1;2;0;0;0
2019-06-26 02:48:58;52;12;10;5;3;1;1;2;0;0;0
2019-06-26 02:49:59;53;12;10;6;3;1;1;2;0;0;0
2019-06-26 02:50:59;53;12;10;6;3;1;1;2;0;0;0
2019-06-26 02:51:58;53;12;10;6;3;1;1;2;0;0;0
2019-06-26 02:52:59;53;12;10;6;3;1;1;2;0;0;0
2019-06-26 02:53:59;53;12;10;6;3;1;1;2;0;0;0
2019-06-26 02:54:58;53;12;10;6;3;1;1;2;0;0;0
