datetime;total_votes;Bf109H;Bruja_;navalny;Neymar_Junior;shamanka2_0;Der_Sturmer;roMoceK;Dirtylieutenant;kpya3e;quick_justice
2020-11-18 03:32:58;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:33:59;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:34:59;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:35:58;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:36:59;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:38:00;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:38:58;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:39:59;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:40:58;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:41:59;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:42:59;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:43:58;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:44:59;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:45:59;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:46:58;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:47:59;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:48:58;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:49:59;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:50:59;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:51:58;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:52:59;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:53:59;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:54:58;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:55:59;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:56:58;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:57:59;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:58:59;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 03:59:58;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 04:00:59;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 04:01:59;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 04:02:58;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 04:03:59;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 04:04:59;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 04:05:58;57;10;10;5;7;0;4;2;5;2;0
2020-11-18 04:06:59;57;11;10;5;7;0;4;2;5;2;0
2020-11-18 04:08:00;57;11;10;5;7;0;4;2;5;2;0
2020-11-18 04:08:58;57;11;10;5;7;0;4;2;5;2;0
2020-11-18 04:09:59;57;11;10;5;7;0;4;2;5;2;0
2020-11-18 04:10:59;57;11;10;5;7;0;4;2;5;2;0
2020-11-18 04:11:59;57;11;10;5;7;0;4;2;5;2;0
2020-11-18 04:12:58;57;11;10;5;7;0;4;2;5;2;0
2020-11-18 04:13:59;57;11;10;5;7;0;4;2;5;2;0
2020-11-18 04:14:59;57;11;10;5;7;0;4;2;5;2;0
2020-11-18 04:15:59;57;11;10;5;7;0;4;2;5;2;0
2020-11-18 04:16:59;57;11;10;5;7;0;4;2;5;2;0
2020-11-18 04:17:59;57;11;10;5;7;0;4;2;5;2;0
2020-11-18 04:18:58;57;11;10;5;7;0;4;2;5;2;0
2020-11-18 04:19:59;57;11;10;5;7;0;4;2;5;2;0
2020-11-18 04:20:59;57;11;10;5;7;0;4;2;5;2;0
2020-11-18 04:21:58;58;11;10;5;8;0;4;2;5;2;0
2020-11-18 04:22:59;58;11;10;5;8;0;4;2;5;2;0
2020-11-18 04:23:59;58;11;10;5;8;0;4;2;5;2;0
2020-11-18 04:24:58;58;11;10;5;8;0;4;2;5;2;0
2020-11-18 04:25:59;58;11;10;5;8;0;4;2;5;2;0
2020-11-18 04:26:58;58;11;10;5;8;0;4;2;5;2;0
2020-11-18 04:27:59;58;11;10;5;8;0;4;2;5;2;0
2020-11-18 04:28:59;58;11;10;5;8;0;4;2;5;2;0
2020-11-18 04:29:58;58;11;10;5;8;0;4;2;5;2;0
2020-11-18 04:30:59;58;11;10;5;8;0;4;2;5;2;0
2020-11-18 04:31:59;58;11;10;5;8;0;4;2;5;2;0
2020-11-18 04:32:58;58;11;10;5;8;0;4;2;5;2;0
2020-11-18 04:33:59;58;11;10;5;8;0;4;2;5;2;0
2020-11-18 04:34:59;58;11;10;5;8;0;4;2;5;2;0
2020-11-18 04:35:58;58;11;10;5;8;0;4;2;5;2;0
2020-11-18 04:36:59;58;11;10;5;8;0;4;2;5;2;0
2020-11-18 04:37:59;58;11;10;5;8;0;4;2;5;2;0
2020-11-18 04:38:58;58;11;10;5;8;0;4;2;5;2;0
2020-11-18 04:39:59;59;12;10;5;8;0;4;2;5;2;0
2020-11-18 04:40:59;59;12;10;5;8;0;4;2;5;2;0
2020-11-18 04:41:58;59;12;10;5;8;0;4;2;5;2;0
2020-11-18 04:42:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 04:43:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 04:44:58;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 04:45:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 04:46:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 04:47:58;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 04:48:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 04:49:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 04:50:58;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 04:51:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 04:52:58;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 04:53:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 04:54:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 04:55:58;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 04:56:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 04:57:58;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 04:58:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 04:59:59;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 05:00:58;60;12;11;5;8;0;4;2;5;2;0
2020-11-18 05:01:59;60;12;11;5;8;0;4;2;5;2;0
