datetime;total_votes;Yardrey;vdzrd;jovan;maria_ego;KOCTOPE3;Z-L-O;Есения;XASSA;ZevB3K;brammator
2018-12-19 02:28:59;43;9;7;5;0;2;3;4;0;0;0
2018-12-19 02:29:58;44;9;7;6;0;2;3;4;0;0;0
2018-12-19 02:30:59;45;9;8;6;0;2;3;4;0;0;0
2018-12-19 02:31:58;45;9;8;6;0;2;3;4;0;0;0
2018-12-19 02:32:59;45;9;8;6;0;2;3;4;0;0;0
2018-12-19 02:33:59;45;9;8;6;0;2;3;4;0;0;0
2018-12-19 02:34:58;45;9;8;6;0;2;3;4;0;0;0
2018-12-19 02:35:59;45;9;8;6;0;2;3;4;0;0;0
2018-12-19 02:36:58;45;9;8;6;0;2;3;4;0;0;0
2018-12-19 02:37:59;45;9;8;6;0;2;3;4;0;0;0
2018-12-19 02:38:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:39:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:40:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:41:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:42:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:43:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:44:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:45:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:46:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:47:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:48:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:49:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:50:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:51:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:52:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:53:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:54:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:55:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:56:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:57:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:58:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 02:59:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:00:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:01:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:02:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:03:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:04:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:05:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:06:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:07:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:08:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:09:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:10:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:11:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:12:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:13:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:14:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:15:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:16:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:17:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:18:58;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:19:59;45;9;8;7;0;2;3;4;0;1;0
2018-12-19 03:20:59;45;9;8;7;0;2;3;4;0;1;0
