datetime;total_votes;bullet-wilson;nenastja;brammator;jovan;ante;space_meow;Hexadecachoron;zgushonka;minddiffuzion;Fitzmaurice
2020-03-04 03:05:59;33;15;7;4;0;0;0;2;1;1;1
2020-03-04 03:06:58;33;15;7;4;0;0;0;2;1;1;1
2020-03-04 03:07:59;33;15;7;4;0;0;0;2;1;1;1
2020-03-04 03:08:59;33;15;7;4;0;0;0;2;1;1;1
2020-03-04 03:09:59;33;15;7;4;0;0;0;2;1;1;1
2020-03-04 03:10:58;33;15;7;4;0;0;0;2;1;1;1
2020-03-04 03:11:59;34;16;7;4;0;0;0;2;1;1;1
2020-03-04 03:12:59;35;16;7;5;0;0;0;2;1;1;1
2020-03-04 03:13:58;35;16;7;5;0;0;0;2;1;1;1
2020-03-04 03:14:59;35;16;7;5;0;0;0;2;1;1;1
2020-03-04 03:15:59;35;16;7;5;0;0;0;2;1;1;1
2020-03-04 03:16:59;35;16;7;5;0;0;0;2;1;1;1
2020-03-04 03:17:58;35;16;7;5;0;0;0;2;1;1;1
2020-03-04 03:18:59;35;16;7;5;0;0;0;2;1;1;1
2020-03-04 03:19:59;35;16;7;5;0;0;0;2;1;1;1
2020-03-04 03:20:58;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:21:59;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:22:59;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:23:58;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:24:59;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:25:59;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:26:59;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:27:58;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:28:59;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:29:59;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:30:58;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:31:59;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:32:59;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:33:58;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:34:59;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:35:59;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:36:59;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:37:58;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:38:59;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:39:58;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:40:59;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:41:59;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:42:58;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:43:59;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:44:58;36;17;7;5;0;0;0;2;1;1;1
2020-03-04 03:45:59;37;18;7;5;0;0;0;2;1;1;1
2020-03-04 03:46:59;37;18;7;5;0;0;0;2;1;1;1
2020-03-04 03:47:58;37;18;7;5;0;0;0;2;1;1;1
2020-03-04 03:48:59;37;18;7;5;0;0;0;2;1;1;1
2020-03-04 03:49:59;37;18;7;5;0;0;0;2;1;1;1
2020-03-04 03:50:59;37;18;7;5;0;0;0;2;1;1;1
2020-03-04 03:51:58;37;18;7;5;0;0;0;2;1;1;1
2020-03-04 03:52:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 03:53:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 03:54:58;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 03:55:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 03:56:59;38;19;7;5;0;0;0;2;1;1;1
2020-03-04 03:57:59;38;19;7;5;0;0;0;2;1;1;1
