datetime;total_votes;mad_crow;akuaku;Terkin;cmapukocmankypum;tutabrain;gelatelno;Fitzmaurice;navalny;Mr_Const;Nosy
2020-01-29 04:18:58;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:19:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:20:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:21:58;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:22:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:23:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:24:58;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:25:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:26:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:27:58;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:28:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:29:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:30:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:31:58;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:32:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:33:59;42;19;6;3;2;0;2;0;0;0;0
2020-01-29 04:34:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:35:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:36:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:37:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:38:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:39:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:40:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:41:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:42:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:43:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:44:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:45:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:46:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:47:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:48:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:49:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:50:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:51:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:52:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:53:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:54:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:55:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:56:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:57:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:58:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 04:59:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:00:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:01:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:02:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:03:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:04:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:05:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:06:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:07:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:08:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:09:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:10:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:11:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:12:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:13:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:14:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:15:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:16:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:17:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:18:59;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:19:58;43;20;6;3;2;0;2;0;0;0;0
2020-01-29 05:20:59;43;20;6;3;2;0;2;0;0;0;0
