datetime;total_votes;SuokSuok;cofee;Der_Sturmer;brammator;asap;DrumBox;Z-L-O;rockamark;voklo;kotophalk
2019-09-11 03:34:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:35:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:36:58;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:37:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:38:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:39:58;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:40:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:41:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:42:58;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:43:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:44:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:45:58;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:46:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:47:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:48:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:49:58;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:50:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:51:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:52:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:53:58;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:54:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:55:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:56:58;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:57:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:58:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 03:59:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:00:58;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:01:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:02:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:03:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:04:58;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:05:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:06:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:07:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:08:58;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:09:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:10:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:11:58;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:12:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:13:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:14:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:15:58;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:16:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:17:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:18:58;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:19:59;37;2;6;6;4;3;0;3;2;3;0
2019-09-11 04:20:59;38;3;6;6;4;3;0;3;2;3;0
2019-09-11 04:21:59;38;3;6;6;4;3;0;3;2;3;0
2019-09-11 04:22:58;38;3;6;6;4;3;0;3;2;3;0
2019-09-11 04:23:59;38;3;6;6;4;3;0;3;2;3;0
2019-09-11 04:24:59;38;3;6;6;4;3;0;3;2;3;0
2019-09-11 04:25:58;38;3;6;6;4;3;0;3;2;3;0
2019-09-11 04:26:59;38;3;6;6;4;3;0;3;2;3;0
2019-09-11 04:27:59;38;3;6;6;4;3;0;3;2;3;0
2019-09-11 04:28:58;38;3;6;6;4;3;0;3;2;3;0
2019-09-11 04:29:59;38;3;6;6;4;3;0;3;2;3;0
2019-09-11 04:30:59;38;3;6;6;4;3;0;3;2;3;0
2019-09-11 04:32:00;38;3;6;6;4;3;0;3;2;3;0
2019-09-11 04:32:58;38;3;6;6;4;3;0;3;2;3;0
2019-09-11 04:33:59;38;3;6;6;4;3;0;3;2;3;0
2019-09-11 04:34:58;38;3;6;6;4;3;0;3;2;3;0
2019-09-11 04:35:59;38;3;6;6;4;3;0;3;2;3;0
2019-09-11 04:36:59;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:37:59;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:38:58;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:39:59;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:40:59;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:41:59;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:42:58;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:43:59;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:44:59;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:45:58;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:46:59;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:47:59;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:48:59;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:49:59;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:50:58;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:51:59;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:52:59;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:53:58;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:54:59;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:55:59;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:56:59;39;4;6;6;4;3;0;3;2;3;0
2019-09-11 04:57:58;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 04:58:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 04:59:59;40;4;6;7;4;3;0;3;2;3;0
2019-09-11 05:00:58;40;4;6;7;4;3;0;3;2;3;0
