datetime;total_votes;Deneo;akuaku;navalny;gelatelno;XASSA;lublu-zubi;Bleak;Есения;BoobkaGop;xiro
2019-10-02 03:12:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:13:58;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:14:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:15:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:16:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:17:58;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:18:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:19:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:20:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:21:58;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:22:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:23:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:24:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:25:58;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:26:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:27:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:28:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:29:58;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:30:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:31:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:32:58;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:33:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:34:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:35:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:36:58;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:37:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:38:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:39:59;29;0;6;2;8;4;2;0;0;0;0
2019-10-02 03:40:58;30;0;6;2;8;4;2;1;0;0;0
2019-10-02 03:41:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 03:42:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 03:43:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 03:44:58;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 03:45:59;31;0;6;2;8;4;2;2;0;0;0
2019-10-02 03:46:59;31;0;6;2;8;4;2;2;0;0;0
