datetime;total_votes;Fill;kross;navalny;Hexadecachoron;KOCTOPE3;Der_Sturmer;Jey;ksolotl;Shady;Есения
2020-08-05 03:36:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:37:58;36;4;6;8;2;0;3;0;2;0;0
2020-08-05 03:38:59;36;4;6;8;2;0;3;0;2;0;0
2020-08-05 03:39:58;36;4;6;8;2;0;3;0;2;0;0
2020-08-05 03:40:59;36;4;6;8;2;0;3;0;2;0;0
2020-08-05 03:41:59;36;4;6;8;2;0;3;0;2;0;0
2020-08-05 03:42:58;36;4;6;8;2;0;3;0;2;0;0
2020-08-05 03:43:59;36;4;6;8;2;0;3;0;2;0;0
2020-08-05 03:44:59;36;4;6;8;2;0;3;0;2;0;0
2020-08-05 03:45:58;36;4;6;8;2;0;3;0;2;0;0
2020-08-05 03:46:59;37;4;6;8;2;1;3;0;2;0;0
2020-08-05 03:47:59;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 03:48:58;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 03:49:59;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 03:50:59;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 03:51:58;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 03:52:59;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 03:53:59;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 03:54:58;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 03:55:59;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 03:56:58;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 03:57:59;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 03:58:59;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 03:59:58;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 04:00:59;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 04:01:59;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 04:02:58;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 04:03:59;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 04:04:59;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 04:05:58;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 04:06:59;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 04:07:59;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 04:08:58;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 04:09:59;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 04:10:59;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 04:11:58;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 04:12:59;38;4;7;8;2;1;3;0;2;0;0
2020-08-05 04:13:59;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:14:58;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:15:59;39;4;7;9;2;1;3;0;2;0;0
2020-08-05 04:16:58;39;4;7;9;2;1;3;0;2;0;0
