datetime;total_votes;xromota;1917;KOCTOPE3;paramed;nzr;Schopenhauer;kiLstrom;bf6;Salt;Hexadecachoron
2019-11-27 03:24:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:25:58;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:26:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:27:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:28:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:29:58;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:30:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:31:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:32:58;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:33:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:34:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:35:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:36:58;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:37:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:38:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:39:58;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:40:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:41:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:42:58;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:43:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:44:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:45:58;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:46:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:47:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:48:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:49:58;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:50:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:51:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:52:58;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:53:59;28;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:54:59;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:55:59;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:56:58;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:57:59;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:58:59;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 03:59:58;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:00:59;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:01:59;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:02:58;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:03:59;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:04:59;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:05:59;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:06:58;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:07:59;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:08:59;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:10:00;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:10:58;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:11:59;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:12:59;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:13:58;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:14:59;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:15:59;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:16:58;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:17:59;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:18:59;29;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:19:59;30;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:20:58;30;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:21:59;30;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:22:59;30;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:23:58;30;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:24:59;30;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:25:59;30;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:26:58;30;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:27:59;30;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:28:59;30;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:29:59;30;5;6;0;0;2;2;3;0;0;0
2019-11-27 04:30:58;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:31:59;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:32:59;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:33:59;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:34:58;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:35:59;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:36:59;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:37:58;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:38:59;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:39:59;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:40:58;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:41:59;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:42:59;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:43:59;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:44:58;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:45:59;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:46:59;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:47:59;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:48:58;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:49:59;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:50:59;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:51:59;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:52:58;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:53:59;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:54:59;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:55:58;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:56:59;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:57:59;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:58:58;31;6;6;0;0;2;2;3;0;0;0
2019-11-27 04:59:59;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:00:59;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:01:58;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:02:59;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:03:59;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:04:59;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:05:58;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:06:59;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:07:59;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:08:59;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:09:58;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:10:59;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:11:59;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:12:59;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:13:58;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:14:59;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:15:59;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:16:58;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:17:59;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:18:59;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:19:58;32;6;6;0;0;2;3;3;0;0;0
2019-11-27 05:20:59;32;6;6;0;0;2;3;3;0;0;0
