datetime;total_votes;Helengar;atomic_gun;Есения;jovan;Hexadecachoron;kotophalk;KOCTOPE3;Zibx;otlup;Klubnichnoe_Milo
2020-02-19 01:45:59;35;10;13;1;2;3;1;2;0;0;0
2020-02-19 01:46:58;35;10;13;1;2;3;1;2;0;0;0
2020-02-19 01:47:59;35;10;13;1;2;3;1;2;0;0;0
2020-02-19 01:48:59;35;10;13;1;2;3;1;2;0;0;0
2020-02-19 01:49:58;35;10;13;1;2;3;1;2;0;0;0
2020-02-19 01:50:59;36;11;13;1;2;3;1;2;0;0;0
2020-02-19 01:51:59;36;11;13;1;2;3;1;2;0;0;0
2020-02-19 01:52:58;36;11;13;1;2;3;1;2;0;0;0
2020-02-19 01:53:59;36;11;13;1;2;3;1;2;0;0;0
2020-02-19 01:54:59;36;11;13;1;2;3;1;2;0;0;0
2020-02-19 01:55:58;36;11;13;1;2;3;1;2;0;0;0
2020-02-19 01:56:59;37;11;13;2;2;3;1;2;0;0;0
2020-02-19 01:57:59;37;11;13;2;2;3;1;2;0;0;0
2020-02-19 01:58:58;37;11;13;2;2;3;1;2;0;0;0
2020-02-19 01:59:59;37;11;13;2;2;3;1;2;0;0;0
2020-02-19 02:00:59;37;11;13;2;2;3;1;2;0;0;0
2020-02-19 02:01:58;37;11;13;2;2;3;1;2;0;0;0
2020-02-19 02:02:59;37;11;13;2;2;3;1;2;0;0;0
2020-02-19 02:03:59;37;11;13;2;2;3;1;2;0;0;0
2020-02-19 02:04:59;37;11;13;2;2;3;1;2;0;0;0
2020-02-19 02:05:58;37;11;13;2;2;3;1;2;0;0;0
2020-02-19 02:06:59;37;11;13;2;2;3;1;2;0;0;0
2020-02-19 02:07:59;37;11;13;2;2;3;1;2;0;0;0
2020-02-19 02:08:59;37;11;13;2;2;3;1;2;0;0;0
2020-02-19 02:09:58;37;11;13;2;2;3;1;2;0;0;0
2020-02-19 02:10:59;37;11;13;2;2;3;1;2;0;0;0
2020-02-19 02:11:59;37;11;13;2;2;3;1;2;0;0;0
2020-02-19 02:12:59;37;11;13;2;2;3;1;2;0;0;0
2020-02-19 02:13:58;37;11;13;2;2;3;1;2;0;0;0
2020-02-19 02:14:59;39;11;14;3;2;3;1;2;0;0;0
2020-02-19 02:15:59;39;11;14;3;2;3;1;2;0;0;0
2020-02-19 02:16:58;39;11;14;3;2;3;1;2;0;0;0
2020-02-19 02:17:59;39;11;14;3;2;3;1;2;0;0;0
2020-02-19 02:18:59;39;11;14;3;2;3;1;2;0;0;0
2020-02-19 02:19:58;39;11;14;3;2;3;1;2;0;0;0
2020-02-19 02:20:59;39;11;14;3;2;3;1;2;0;0;0
