datetime;total_votes;Tae4ka;phoenyxxx;navalny;ZevB3K;Alterdino;Der_Sturmer;rodeo;Noop;phb4;bf6
2019-08-14 03:25:59;64;16;10;0;2;8;2;5;3;2;0
2019-08-14 03:26:59;64;16;10;0;2;8;2;5;3;2;0
2019-08-14 03:27:58;64;16;10;0;2;8;2;5;3;2;0
2019-08-14 03:28:59;64;16;10;0;2;8;2;5;3;2;0
2019-08-14 03:29:59;65;16;10;0;2;8;2;5;4;2;0
2019-08-14 03:30:58;65;16;10;0;2;8;2;5;4;2;0
2019-08-14 03:31:59;65;16;10;0;2;8;2;5;4;2;0
2019-08-14 03:32:59;65;16;10;0;2;8;2;5;4;2;0
2019-08-14 03:33:58;65;16;10;0;2;8;2;5;4;2;0
2019-08-14 03:34:59;65;16;10;0;2;8;2;5;4;2;0
2019-08-14 03:35:59;65;16;10;0;2;8;2;5;4;2;0
2019-08-14 03:36:58;65;16;10;0;2;8;2;5;4;2;0
2019-08-14 03:37:59;66;16;11;0;2;8;2;5;4;2;0
2019-08-14 03:38:59;66;16;11;0;2;8;2;5;4;2;0
2019-08-14 03:39:58;66;16;11;0;2;8;2;5;4;2;0
2019-08-14 03:40:59;66;16;11;0;2;8;2;5;4;2;0
2019-08-14 03:41:59;66;16;11;0;2;8;2;5;4;2;0
2019-08-14 03:42:58;66;16;11;0;2;8;2;5;4;2;0
2019-08-14 03:43:59;66;16;11;0;2;8;2;5;4;2;0
2019-08-14 03:44:59;67;17;11;0;2;8;2;5;4;2;0
2019-08-14 03:45:58;67;17;11;0;2;8;2;5;4;2;0
2019-08-14 03:46:59;67;17;11;0;2;8;2;5;4;2;0
2019-08-14 03:47:59;67;17;11;0;2;8;2;5;4;2;0
2019-08-14 03:48:58;67;17;11;0;2;8;2;5;4;2;0
2019-08-14 03:49:59;67;17;11;0;2;8;2;5;4;2;0
2019-08-14 03:50:58;67;17;11;0;2;8;2;5;4;2;0
2019-08-14 03:51:59;67;17;11;0;2;8;2;5;4;2;0
