datetime;total_votes;nekto_mozg;Neymar_Junior;shamanka2_0;maria_ego;navalny;vatnostakan;quick_justice;Helter;Ejik;Dirtylieutenant
2020-11-11 02:20:59;65;17;15;7;4;2;4;0;2;1;3
2020-11-11 02:21:58;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:22:59;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:23:59;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:24:58;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:25:59;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:26:59;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:27:58;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:28:59;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:29:59;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:30:58;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:31:59;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:32:59;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:33:58;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:34:59;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:35:59;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:36:58;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:37:59;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:38:58;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:39:59;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:40:59;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:41:58;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:42:59;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:43:59;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:44:58;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:45:59;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:46:59;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:47:58;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:48:59;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:49:59;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:50:58;66;18;15;7;4;2;4;0;2;1;3
2020-11-11 02:51:59;66;19;15;7;3;2;4;0;2;1;3
2020-11-11 02:52:59;66;19;15;7;3;2;4;0;2;1;3
2020-11-11 02:53:58;66;19;15;7;3;2;4;0;2;1;3
2020-11-11 02:54:59;66;19;15;7;3;2;4;0;2;1;3
2020-11-11 02:56:00;66;19;15;7;3;2;4;0;2;1;3
2020-11-11 02:56:58;66;19;15;7;3;2;4;0;2;1;3
2020-11-11 02:57:59;66;19;15;7;3;2;4;0;2;1;3
2020-11-11 02:58:58;66;19;15;7;3;2;4;0;2;1;3
2020-11-11 02:59:59;66;19;15;7;3;2;4;0;2;1;3
2020-11-11 03:00:59;66;19;15;7;3;2;4;0;2;1;3
2020-11-11 03:01:59;66;19;15;7;3;2;4;0;2;1;3
2020-11-11 03:02:58;67;19;16;7;3;2;4;0;2;1;3
2020-11-11 03:03:59;67;19;16;7;3;2;4;0;2;1;3
2020-11-11 03:05:00;67;19;16;7;3;2;4;0;2;1;3
2020-11-11 03:05:58;68;20;16;7;3;2;4;0;2;1;3
2020-11-11 03:06:59;68;20;16;7;3;2;4;0;2;1;3
2020-11-11 03:07:58;68;20;16;7;3;2;4;0;2;1;3
2020-11-11 03:08:59;68;20;16;7;3;2;4;0;2;1;3
2020-11-11 03:09:59;68;20;16;7;3;2;4;0;2;1;3
2020-11-11 03:11:00;68;20;16;7;3;2;4;0;2;1;3
2020-11-11 03:11:58;68;20;16;7;3;2;4;0;2;1;3
2020-11-11 03:12:59;68;20;16;7;3;2;4;0;2;1;3
2020-11-11 03:13:59;68;20;16;7;3;2;4;0;2;1;3
2020-11-11 03:14:59;68;20;16;7;3;2;4;0;2;1;3
2020-11-11 03:15:58;68;20;16;7;3;2;4;0;2;1;3
2020-11-11 03:16:59;68;20;16;7;3;2;4;0;2;1;3
2020-11-11 03:17:59;68;20;16;7;3;2;4;0;2;1;3
2020-11-11 03:18:58;68;20;16;7;3;2;4;0;2;1;3
2020-11-11 03:19:59;68;20;16;7;3;2;4;0;2;1;3
2020-11-11 03:20:59;68;20;16;7;3;2;4;0;2;1;3
2020-11-11 03:21:58;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:22:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:23:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:24:58;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:25:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:26:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:27:58;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:28:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:29:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:30:58;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:31:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:32:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:33:58;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:34:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:35:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:36:58;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:37:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:38:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:39:58;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:40:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:41:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:42:58;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:43:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:45:00;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:45:58;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:46:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:47:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:48:58;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:49:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:50:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:51:58;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:52:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:53:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:54:58;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:55:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:56:58;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:57:59;69;21;16;7;3;2;4;0;2;1;3
2020-11-11 03:58:59;70;21;16;7;4;2;4;0;2;1;3
2020-11-11 03:59:58;71;22;16;7;4;2;4;0;2;1;3
2020-11-11 04:00:59;71;22;16;7;4;2;4;0;2;1;3
2020-11-11 04:01:59;71;22;16;7;4;2;4;0;2;1;3
2020-11-11 04:02:58;71;22;16;7;4;2;4;0;2;1;3
2020-11-11 04:03:59;71;22;16;7;4;2;4;0;2;1;3
2020-11-11 04:04:59;71;22;16;7;4;2;4;0;2;1;3
2020-11-11 04:05:58;71;22;16;7;4;2;4;0;2;1;3
2020-11-11 04:06:59;71;22;16;7;4;2;4;0;2;1;3
2020-11-11 04:07:59;71;22;16;7;4;2;4;0;2;1;3
2020-11-11 04:08:58;71;22;16;7;4;2;4;0;2;1;3
2020-11-11 04:09:59;71;22;16;7;4;2;4;0;2;1;3
2020-11-11 04:10:59;71;22;16;7;4;2;4;0;2;1;3
2020-11-11 04:11:58;72;23;16;7;4;2;4;0;2;1;3
2020-11-11 04:12:59;72;23;16;7;4;2;4;0;2;1;3
2020-11-11 04:13:59;72;23;16;7;4;2;4;0;2;1;3
2020-11-11 04:14:58;72;23;16;7;4;2;4;0;2;1;3
2020-11-11 04:15:59;72;23;16;7;4;2;4;0;2;1;3
2020-11-11 04:16:59;72;23;16;7;4;2;4;0;2;1;3
2020-11-11 04:17:58;72;23;16;7;4;2;4;0;2;1;3
2020-11-11 04:18:59;72;23;16;7;4;2;4;0;2;1;3
2020-11-11 04:19:59;72;23;16;7;4;2;4;0;2;1;3
2020-11-11 04:20:58;72;23;16;7;4;2;4;0;2;1;3
2020-11-11 04:21:59;72;23;16;7;4;2;4;0;2;1;3
2020-11-11 04:22:58;72;23;16;7;4;2;4;0;2;1;3
2020-11-11 04:23:59;72;23;16;7;4;2;4;0;2;1;3
2020-11-11 04:24:59;72;23;16;7;4;2;4;0;2;1;3
2020-11-11 04:25:58;72;23;16;7;4;2;4;0;2;1;3
2020-11-11 04:26:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:27:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:28:58;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:29:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:30:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:31:58;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:32:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:33:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:34:58;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:35:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:36:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:37:58;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:38:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:39:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:40:58;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:41:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:42:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:43:58;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:44:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:45:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:46:58;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:47:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:48:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:49:58;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:50:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:51:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:52:58;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:53:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:54:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:55:58;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:56:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:57:59;73;24;16;7;4;2;4;0;2;1;3
2020-11-11 04:58:58;74;25;16;7;4;2;4;0;2;1;3
2020-11-11 04:59:59;75;25;16;7;5;2;4;0;2;1;3
2020-11-11 05:00:59;75;25;16;7;5;2;4;0;2;1;3
2020-11-11 05:01:58;75;25;16;7;5;2;4;0;2;1;3
2020-11-11 05:02:59;75;25;16;7;5;2;4;0;2;1;3
2020-11-11 05:03:59;75;25;16;7;5;2;4;0;2;1;3
2020-11-11 05:04:58;75;25;16;7;5;2;4;0;2;1;3
2020-11-11 05:05:59;75;25;16;7;5;2;4;0;2;1;3
2020-11-11 05:06:58;75;25;16;7;5;2;4;0;2;1;3
2020-11-11 05:07:59;75;25;16;7;5;2;4;0;2;1;3
2020-11-11 05:08:59;75;25;16;7;5;2;4;0;2;1;3
2020-11-11 05:09:58;75;25;16;7;5;2;4;0;2;1;3
2020-11-11 05:10:59;75;25;16;7;5;2;4;0;2;1;3
2020-11-11 05:11:59;75;25;16;7;5;2;4;0;2;1;3
2020-11-11 05:12:59;75;25;16;7;5;2;4;0;2;1;3
2020-11-11 05:13:58;75;25;16;7;5;2;4;0;2;1;3
2020-11-11 05:14:59;75;25;16;7;5;2;4;0;2;1;3
2020-11-11 05:15:58;75;25;16;7;5;2;4;0;2;1;3
2020-11-11 05:16:59;77;26;16;8;5;2;4;0;2;1;3
2020-11-11 05:18:00;77;26;16;8;5;2;4;0;2;1;3
2020-11-11 05:18:58;77;26;16;8;5;2;4;0;2;1;3
2020-11-11 05:19:59;77;26;16;8;5;2;4;0;2;1;3
2020-11-11 05:20:59;77;26;16;8;5;2;4;0;2;1;3
2020-11-11 05:21:58;77;26;16;8;5;2;4;0;2;1;3
2020-11-11 05:22:59;77;26;16;8;5;2;4;0;2;1;3
2020-11-11 05:23:59;77;26;16;8;5;2;4;0;2;1;3
2020-11-11 05:24:58;77;26;16;8;5;2;4;0;2;1;3
2020-11-11 05:25:59;77;26;16;8;5;2;4;0;2;1;3
2020-11-11 05:26:59;77;26;16;8;5;2;4;0;2;1;3
2020-11-11 05:27:58;77;26;16;8;5;2;4;0;2;1;3
2020-11-11 05:28:59;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:29:58;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:30:59;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:31:59;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:32:58;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:33:59;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:34:59;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:35:58;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:36:59;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:37:59;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:38:58;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:39:59;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:40:59;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:41:58;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:42:59;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:43:59;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:44:58;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:45:59;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:46:58;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:47:59;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:48:59;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:50:00;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:50:58;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:51:59;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:52:58;77;27;16;8;4;2;4;0;2;1;3
2020-11-11 05:53:59;78;28;16;8;4;2;4;0;2;1;3
2020-11-11 05:54:59;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 05:55:58;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 05:56:59;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 05:57:59;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 05:58:58;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 05:59:59;79;29;16;8;4;2;4;0;2;1;3
2020-11-11 06:01:00;79;29;16;8;4;2;4;0;2;1;3
