datetime;total_votes;Mindsplitter;Wiedemann;Tomintoul;KOCTOPE3;Terkin;axxl;Есения;jakesnake;vprock;quick_justice
2021-02-03 01:56:58;41;5;4;16;2;3;0;0;0;1;0
2021-02-03 01:57:59;41;5;4;16;2;3;0;0;0;1;0
2021-02-03 01:58:59;41;5;4;16;2;3;0;0;0;1;0
2021-02-03 01:59:58;41;5;4;16;2;3;0;0;0;1;0
2021-02-03 02:00:59;41;5;4;16;2;3;0;0;0;1;0
2021-02-03 02:01:58;41;5;4;16;2;3;0;0;0;1;0
2021-02-03 02:02:59;41;5;4;16;2;3;0;0;0;1;0
2021-02-03 02:03:58;41;5;4;16;2;3;0;0;0;1;0
2021-02-03 02:04:59;41;5;4;16;2;3;0;0;0;1;0
2021-02-03 02:05:59;41;5;4;16;2;3;0;0;0;1;0
2021-02-03 02:06:58;42;5;5;16;2;3;0;0;0;1;0
2021-02-03 02:07:59;42;5;5;16;2;3;0;0;0;1;0
2021-02-03 02:08:59;42;5;5;16;2;3;0;0;0;1;0
2021-02-03 02:09:58;42;5;5;16;2;3;0;0;0;1;0
2021-02-03 02:10:59;42;5;5;16;2;3;0;0;0;1;0
2021-02-03 02:11:58;42;5;5;16;2;3;0;0;0;1;0
2021-02-03 02:12:59;42;5;5;16;2;3;0;0;0;1;0
2021-02-03 02:13:58;43;5;5;16;2;3;1;0;0;1;0
2021-02-03 02:14:59;44;6;5;16;2;3;1;0;0;1;0
2021-02-03 02:15:59;44;6;5;16;2;3;1;0;0;1;0
2021-02-03 02:17:00;44;6;5;16;2;3;1;0;0;1;0
2021-02-03 02:17:58;44;6;5;16;2;3;1;0;0;1;0
2021-02-03 02:18:59;44;6;5;16;2;3;1;0;0;1;0
2021-02-03 02:19:59;44;6;5;16;2;3;1;0;0;1;0
2021-02-03 02:20:59;45;6;5;16;2;3;1;0;0;1;0
2021-02-03 02:21:58;45;6;5;16;2;3;1;0;0;1;0
2021-02-03 02:22:59;45;6;5;16;2;3;1;0;0;1;0
2021-02-03 02:23:58;45;6;5;16;2;3;1;0;0;1;0
2021-02-03 02:24:59;45;6;5;16;2;3;1;0;0;1;0
2021-02-03 02:25:58;45;6;5;16;2;3;1;0;0;1;0
2021-02-03 02:26:59;46;6;5;16;2;4;1;0;0;1;0
2021-02-03 02:27:59;46;6;5;16;2;4;1;0;0;1;0
2021-02-03 02:28:58;46;6;5;16;2;4;1;0;0;1;0
2021-02-03 02:29:59;46;6;5;16;2;4;1;0;0;1;0
2021-02-03 02:30:58;46;6;5;16;2;4;1;0;0;1;0
2021-02-03 02:31:59;46;6;5;16;2;4;1;0;0;1;0
2021-02-03 02:32:58;46;6;5;16;2;4;1;0;0;1;0
2021-02-03 02:33:59;46;6;5;16;2;4;1;0;0;1;0
2021-02-03 02:34:59;46;6;5;16;2;4;1;0;0;1;0
2021-02-03 02:35:58;46;6;5;16;2;4;1;0;0;1;0
2021-02-03 02:36:59;47;7;5;16;2;4;1;0;0;1;0
2021-02-03 02:37:59;47;7;5;16;2;4;1;0;0;1;0
2021-02-03 02:38:58;48;7;5;17;2;4;1;0;0;1;0
2021-02-03 02:39:59;48;7;5;17;2;4;1;0;0;1;0
2021-02-03 02:40:59;48;8;5;16;2;4;1;0;0;1;0
2021-02-03 02:41:58;48;8;5;16;2;4;1;0;0;1;0
2021-02-03 02:42:59;48;8;5;16;2;4;1;0;0;1;0
2021-02-03 02:43:58;49;9;5;16;2;4;1;0;0;1;0
2021-02-03 02:44:59;50;9;5;16;2;5;1;0;0;1;0
2021-02-03 02:45:59;50;9;5;16;2;5;1;0;0;1;0
2021-02-03 02:46:58;50;9;5;16;2;5;1;0;0;1;0
2021-02-03 02:47:59;50;9;5;16;2;5;1;0;0;1;0
2021-02-03 02:48:59;50;9;5;16;2;5;1;0;0;1;0
2021-02-03 02:49:58;50;9;5;16;2;5;1;0;0;1;0
2021-02-03 02:50:59;50;9;5;16;2;5;1;0;0;1;0
2021-02-03 02:51:59;51;10;5;16;2;5;1;0;0;1;0
2021-02-03 02:52:58;51;10;5;16;2;5;1;0;0;1;0
2021-02-03 02:53:59;51;10;5;16;2;5;1;0;0;1;0
2021-02-03 02:54:59;52;10;5;16;2;6;1;0;0;1;0
2021-02-03 02:55:58;52;10;5;16;2;6;1;0;0;1;0
2021-02-03 02:56:59;52;10;5;16;2;6;1;0;0;1;0
2021-02-03 02:57:59;52;10;5;16;2;6;1;0;0;1;0
2021-02-03 02:58:58;52;10;5;16;2;6;1;0;0;1;0
2021-02-03 02:59:59;52;10;5;16;2;6;1;0;0;1;0
2021-02-03 03:00:58;52;10;5;16;2;6;1;0;0;1;0
2021-02-03 03:01:59;53;11;5;16;2;6;1;0;0;1;0
2021-02-03 03:02:58;53;11;5;16;2;6;1;0;0;1;0
2021-02-03 03:03:59;53;11;5;16;2;6;1;0;0;1;0
2021-02-03 03:04:59;54;11;6;16;2;6;1;0;0;1;0
2021-02-03 03:05:58;54;11;6;16;2;6;1;0;0;1;0
2021-02-03 03:06:59;54;11;6;16;2;6;1;0;0;1;0
2021-02-03 03:07:59;54;10;6;17;2;6;1;0;0;1;0
2021-02-03 03:08:58;54;10;6;17;2;6;1;0;0;1;0
2021-02-03 03:09:59;54;10;6;17;2;6;1;0;0;1;0
2021-02-03 03:10:58;54;10;6;17;2;6;1;0;0;1;0
2021-02-03 03:11:59;54;10;6;17;2;6;1;0;0;1;0
2021-02-03 03:12:58;54;10;6;17;2;6;1;0;0;1;0
2021-02-03 03:13:59;54;10;6;17;2;6;1;0;0;1;0
2021-02-03 03:14:58;55;11;6;17;2;6;1;0;0;1;0
2021-02-03 03:16:00;55;11;6;17;2;6;1;0;0;1;0
2021-02-03 03:16:58;55;11;6;17;2;6;1;0;0;1;0
2021-02-03 03:17:59;55;11;6;17;2;6;1;0;0;1;0
2021-02-03 03:18:58;55;11;6;17;2;6;1;0;0;1;0
2021-02-03 03:19:59;55;11;6;17;2;6;1;0;0;1;0
2021-02-03 03:20:58;55;11;6;17;2;6;1;0;0;1;0
2021-02-03 03:21:59;55;11;6;17;2;6;1;0;0;1;0
2021-02-03 03:22:59;55;11;6;17;2;6;1;0;0;1;0
2021-02-03 03:23:58;55;11;6;17;2;6;1;0;0;1;0
2021-02-03 03:24:59;55;11;6;17;2;6;1;0;0;1;0
2021-02-03 03:25:59;55;11;6;17;2;6;1;0;0;1;0
2021-02-03 03:26:58;56;11;6;18;2;6;1;0;0;1;0
2021-02-03 03:27:59;56;11;6;18;2;6;1;0;0;1;0
2021-02-03 03:28:58;56;11;6;18;2;6;1;0;0;1;0
2021-02-03 03:29:59;56;11;6;18;2;6;1;0;0;1;0
2021-02-03 03:30:59;56;11;6;18;2;6;1;0;0;1;0
2021-02-03 03:31:58;56;11;6;18;2;6;1;0;0;1;0
2021-02-03 03:32:59;56;11;6;18;2;6;1;0;0;1;0
2021-02-03 03:33:58;56;11;6;18;2;6;1;0;0;1;0
2021-02-03 03:34:59;56;11;6;18;2;6;1;0;0;1;0
2021-02-03 03:35:59;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:36:58;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:37:59;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:38:58;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:39:59;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:40:58;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:41:59;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:42:59;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:43:58;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:44:59;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:45:58;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:46:59;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:47:59;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:48:58;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:49:59;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:50:58;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:51:59;57;11;7;18;2;6;1;0;0;1;0
2021-02-03 03:52:58;57;11;7;18;2;6;1;0;0;1;0
