datetime;total_votes;leprovalentin;Grit;АНАРХИЯ;KOCTOPE3;shamanka2_1;Wiedemann;Rumpelstilzchen;ruweb;Finsternis;shturn
2021-02-10 02:10:59;49;0;13;9;5;1;0;8;1;2;0
2021-02-10 02:11:58;49;0;13;9;5;1;0;8;1;2;0
2021-02-10 02:12:59;49;0;13;9;5;1;0;8;1;2;0
2021-02-10 02:13:59;49;0;13;9;5;1;0;8;1;2;0
2021-02-10 02:14:58;49;0;13;9;5;1;0;8;1;2;0
2021-02-10 02:15:59;49;0;13;9;5;1;0;8;1;2;0
2021-02-10 02:16:58;49;0;13;9;5;1;0;8;1;2;0
2021-02-10 02:17:59;49;0;13;9;5;1;0;8;1;2;0
2021-02-10 02:18:59;49;0;13;9;5;1;0;8;1;2;0
2021-02-10 02:19:58;49;0;13;9;5;1;0;8;1;2;0
2021-02-10 02:20:59;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:21:58;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:22:59;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:23:58;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:24:59;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:25:58;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:26:59;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:27:59;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:28:59;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:29:58;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:30:59;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:31:59;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:32:58;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:33:59;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:34:59;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:35:58;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:36:59;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:37:59;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:38:58;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:39:59;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:40:59;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:41:58;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:42:59;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:43:59;49;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:44:58;50;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:45:59;50;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:46:58;50;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:47:59;50;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:48:59;50;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:49:58;50;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:50:59;50;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:51:58;50;0;14;9;5;1;0;7;1;2;0
2021-02-10 02:52:59;51;0;14;9;6;1;0;7;1;2;0
2021-02-10 02:53:59;51;0;14;9;6;1;0;7;1;2;0
2021-02-10 02:54:58;51;0;14;9;6;1;0;7;1;2;0
2021-02-10 02:55:59;51;0;14;9;6;1;0;7;1;2;0
2021-02-10 02:56:58;51;0;14;9;6;1;0;7;1;2;0
2021-02-10 02:57:59;51;0;14;9;6;1;0;7;1;2;0
2021-02-10 02:58:59;51;0;14;9;6;1;0;7;1;2;0
2021-02-10 02:59:58;51;0;14;9;6;1;0;7;1;2;0
2021-02-10 03:00:59;51;0;14;9;6;1;0;7;1;2;0
2021-02-10 03:01:59;51;0;14;9;6;1;0;7;1;2;0
2021-02-10 03:02:58;51;0;14;9;6;1;0;7;1;2;0
2021-02-10 03:03:59;51;0;14;9;6;1;0;7;1;2;0
2021-02-10 03:04:58;51;0;14;9;6;1;0;7;1;2;0
2021-02-10 03:05:59;51;0;14;9;6;1;0;7;1;2;0
2021-02-10 03:06:58;51;0;14;9;6;1;0;7;1;2;0
2021-02-10 03:07:59;51;0;14;9;6;1;0;7;1;2;0
2021-02-10 03:08:59;51;0;14;9;6;1;0;7;1;2;0
2021-02-10 03:09:58;51;0;14;9;6;1;0;7;1;2;0
2021-02-10 03:10:59;51;0;14;9;6;1;0;7;1;2;0
2021-02-10 03:11:59;51;0;14;9;6;1;0;7;1;2;0
2021-02-10 03:12:58;52;0;14;9;7;1;0;7;1;2;0
2021-02-10 03:13:59;52;0;14;9;7;1;0;7;1;2;0
2021-02-10 03:15:00;52;0;14;9;7;1;0;7;1;2;0
2021-02-10 03:15:58;52;0;14;9;7;1;0;7;1;2;0
2021-02-10 03:16:59;52;0;14;9;7;1;0;7;1;2;0
2021-02-10 03:17:58;52;0;14;9;7;1;0;7;1;2;0
