datetime;total_votes;thaisia_b;Есения;pupsique;Wiedemann;Terkin;voklo;Bf109H;XASSA;uisky;akuaku
2019-06-05 01:59:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:00:58;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:01:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:02:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:03:58;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:04:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:05:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:06:58;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:07:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:08:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:09:58;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:10:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:11:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:12:58;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:13:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:14:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:15:58;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:16:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:17:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:18:58;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:19:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:20:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:21:58;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:22:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:23:59;39;4;6;0;3;2;9;5;0;3;0
2019-06-05 02:24:58;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:25:59;38;4;6;0;3;2;8;5;0;3;0
2019-06-05 02:26:59;39;4;7;0;3;2;8;5;0;3;0
