datetime;total_votes;Shambala;daruta;pupsique;kilogramm;UncleDre;kuznet;Есения;norpo;mama_p_zh;brammator
2019-03-06 02:37:59;44;15;7;0;4;0;2;0;3;0;0
2019-03-06 02:38:58;44;15;7;0;4;0;2;0;3;0;0
2019-03-06 02:39:59;44;15;7;0;4;0;2;0;3;0;0
2019-03-06 02:40:59;44;15;7;0;4;0;2;0;3;0;0
2019-03-06 02:41:58;44;15;7;0;4;0;2;0;3;0;0
2019-03-06 02:42:59;44;15;7;0;4;0;2;0;3;0;0
2019-03-06 02:43:58;44;15;7;0;4;0;2;0;3;0;0
2019-03-06 02:44:59;44;15;7;0;4;0;2;0;3;0;0
2019-03-06 02:45:59;44;15;7;0;4;0;2;0;3;0;0
2019-03-06 02:46:58;44;15;7;0;4;0;2;0;3;0;0
2019-03-06 02:47:59;45;15;8;0;4;0;2;0;3;0;0
2019-03-06 02:48:59;46;16;8;0;4;0;2;0;3;0;0
2019-03-06 02:49:58;46;16;8;0;4;0;2;0;3;0;0
2019-03-06 02:50:59;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 02:51:58;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 02:52:59;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 02:53:59;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 02:54:58;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 02:55:59;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 02:57:00;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 02:57:58;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 02:58:59;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 02:59:58;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 03:00:59;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 03:01:59;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 03:02:58;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 03:03:59;47;17;8;0;4;0;2;0;3;0;0
2019-03-06 03:04:59;47;17;8;0;4;0;2;0;3;0;0
