datetime;total_votes;diliago;Dirtylieutenant;shamanka2_1;UndeadMoroz;EMAILWARENFABRIK;Есения;KOCTOPE3;a5urbanipa1;shapen;kross
2021-02-24 04:59:59;71;25;18;6;2;3;4;2;2;0;0
2021-02-24 05:00:58;71;25;18;6;2;3;4;2;2;0;0
2021-02-24 05:01:59;72;25;18;7;2;3;4;2;2;0;0
2021-02-24 05:02:58;72;25;18;7;2;3;4;2;2;0;0
2021-02-24 05:03:59;72;25;18;7;2;3;4;2;2;0;0
2021-02-24 05:04:59;72;25;18;7;2;3;4;2;2;0;0
2021-02-24 05:05:58;72;25;18;7;2;3;4;2;2;0;0
2021-02-24 05:06:59;72;25;18;7;2;3;4;2;2;0;0
2021-02-24 05:07:59;72;25;18;7;2;3;4;2;2;0;0
2021-02-24 05:08:58;72;25;18;7;2;3;4;2;2;0;0
2021-02-24 05:09:59;72;25;18;7;2;3;4;2;2;0;0
2021-02-24 05:10:58;72;25;18;7;2;3;4;2;2;0;0
2021-02-24 05:11:59;72;25;18;7;2;3;4;2;2;0;0
2021-02-24 05:12:59;72;25;18;7;2;3;4;2;2;0;0
2021-02-24 05:13:58;72;25;18;7;2;3;4;2;2;0;0
2021-02-24 05:14:59;73;26;18;7;2;3;4;2;2;0;0
2021-02-24 05:15:58;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:16:59;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:17:59;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:18:58;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:19:59;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:20:58;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:21:59;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:22:59;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:23:58;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:24:59;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:25:58;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:26:59;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:27:59;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:28:58;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:29:59;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:30:59;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:31:58;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:32:59;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:33:59;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:34:58;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:35:59;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:36:58;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:37:59;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:38:59;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:40:00;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:40:58;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:41:59;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:42:58;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:43:59;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:44:58;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:45:59;74;27;18;7;2;3;4;2;2;0;0
2021-02-24 05:46:59;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 05:47:58;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 05:48:59;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 05:50:00;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 05:50:58;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 05:51:59;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 05:52:58;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 05:53:59;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 05:54:59;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 05:55:58;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 05:56:59;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 05:57:59;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 05:58:58;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 05:59:59;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 06:00:59;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 06:01:58;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 06:02:59;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 06:03:59;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 06:04:58;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 06:05:59;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 06:06:59;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 06:07:58;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 06:08:59;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 06:09:58;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 06:10:59;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 06:11:59;75;28;18;7;2;3;4;2;2;0;0
2021-02-24 06:12:58;76;28;18;8;2;3;4;2;2;0;0
2021-02-24 06:13:59;76;28;18;8;2;3;4;2;2;0;0
2021-02-24 06:14:59;76;28;18;8;2;3;4;2;2;0;0
2021-02-24 06:15:59;77;28;18;8;2;3;4;2;2;0;0
2021-02-24 06:16:58;77;28;18;8;2;3;4;2;2;0;0
2021-02-24 06:17:59;77;28;18;8;2;3;4;2;2;0;0
2021-02-24 06:18:59;77;28;18;8;2;3;4;2;2;0;0
2021-02-24 06:19:58;78;28;18;8;2;4;4;2;2;0;0
2021-02-24 06:20:59;78;28;18;8;2;4;4;2;2;0;0
2021-02-24 06:21:58;78;28;18;8;2;4;4;2;2;0;0
2021-02-24 06:22:59;78;28;18;8;2;4;4;2;2;0;0
2021-02-24 06:23:58;78;28;18;8;2;4;4;2;2;0;0
2021-02-24 06:24:59;78;28;18;8;2;4;4;2;2;0;0
2021-02-24 06:25:58;78;28;18;8;2;4;4;2;2;0;0
2021-02-24 06:26:59;78;28;18;8;2;4;4;2;2;0;0
2021-02-24 06:27:58;78;28;18;8;2;4;4;2;2;0;0
2021-02-24 06:28:59;78;28;18;8;2;4;4;2;2;0;0
2021-02-24 06:29:59;78;28;18;8;2;4;4;2;2;0;0
2021-02-24 06:30:58;78;27;19;8;2;4;4;2;2;0;0
2021-02-24 06:31:59;78;27;19;8;2;4;4;2;2;0;0
