datetime;total_votes;Mapm;GlobetrotterXL;Hmmm;NoEndOutcry;John_Golt;Yo;brammator;sergoff;Salt;Wiedemann
2019-07-03 03:16:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:17:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:18:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:19:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:20:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:21:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:23:00;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:23:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:24:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:25:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:26:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:27:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:28:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:29:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:30:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:31:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:32:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:33:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:34:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:35:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:36:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:37:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:38:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:39:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:40:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:41:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:42:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:43:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:44:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:45:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:46:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:47:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:48:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:49:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:50:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:51:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:52:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:53:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:54:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:55:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:56:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:57:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:58:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 03:59:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:00:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:01:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:02:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:03:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:04:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:05:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:06:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:07:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:08:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:09:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:10:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:11:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:12:59;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:13:58;36;6;9;5;0;0;2;2;2;0;1
2019-07-03 04:14:59;36;6;9;5;0;0;2;2;2;0;1
