datetime;total_votes;pavelomg;lublu-zubi;navalny;NoEndOutcry;XASSA;DrumBox;kotophalk;bf6;Cynicium;DoveKill
2019-09-18 02:36:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:37:58;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:38:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:39:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:40:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:41:58;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:42:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:43:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:45:00;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:45:58;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:46:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:47:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:48:58;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:49:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:50:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:51:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:52:58;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:53:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:54:59;29;6;3;6;3;2;2;1;0;2;0
2019-09-18 02:55:58;29;6;3;6;3;2;2;1;0;2;0
2019-09-18 02:56:59;29;6;3;6;3;2;2;1;0;2;0
2019-09-18 02:57:59;29;6;3;6;3;2;2;1;0;2;0
2019-09-18 02:58:59;29;6;3;6;3;2;2;1;0;2;0
2019-09-18 02:59:58;29;6;3;6;3;2;2;1;0;2;0
2019-09-18 03:00:59;29;6;3;6;3;2;2;1;0;2;0
2019-09-18 03:01:59;29;6;3;6;3;2;2;1;0;2;0
2019-09-18 03:02:59;29;6;3;6;3;2;2;1;0;2;0
2019-09-18 03:03:58;29;6;3;6;3;2;2;1;0;2;0
2019-09-18 03:04:59;29;6;3;6;3;2;2;1;0;2;0
2019-09-18 03:05:59;29;6;3;6;3;2;2;1;0;2;0
2019-09-18 03:06:58;29;6;3;6;3;2;2;1;0;2;0
2019-09-18 03:07:59;29;6;3;6;3;2;2;1;0;2;0
2019-09-18 03:08:59;30;7;3;6;3;2;2;1;0;2;0
2019-09-18 03:09:59;30;7;3;6;3;2;2;1;0;2;0
2019-09-18 03:10:58;30;7;3;6;3;2;2;1;0;2;0
2019-09-18 03:11:59;30;7;3;6;3;2;2;1;0;2;0
2019-09-18 03:12:59;30;7;3;6;3;2;2;1;0;2;0
2019-09-18 03:13:59;30;7;3;6;3;2;2;1;0;2;0
2019-09-18 03:14:58;30;7;3;6;3;2;2;1;0;2;0
2019-09-18 03:15:59;30;7;3;6;3;2;2;1;0;2;0
2019-09-18 03:16:59;30;7;3;6;3;2;2;1;0;2;0
2019-09-18 03:17:58;30;7;3;6;3;2;2;1;0;2;0
2019-09-18 03:18:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:19:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:21:00;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:21:58;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:22:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:23:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:24:58;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:25:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:26:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:27:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:29:00;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:29:58;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:30:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:31:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:32:58;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:33:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:34:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:35:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:36:58;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:37:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:38:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:39:58;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:40:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:41:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:42:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:43:58;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:44:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:45:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:46:58;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:47:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:48:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:49:58;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:50:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:51:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:52:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:53:58;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:54:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:55:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:56:58;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:57:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:58:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 03:59:58;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 04:00:59;30;8;3;6;3;2;2;1;0;2;0
2019-09-18 04:01:59;31;8;4;6;3;2;2;1;0;2;0
2019-09-18 04:02:58;31;8;4;6;3;2;2;1;0;2;0
2019-09-18 04:03:59;31;8;4;6;3;2;2;1;0;2;0
2019-09-18 04:04:59;31;8;4;6;3;2;2;1;0;2;0
2019-09-18 04:05:59;31;8;4;6;3;2;2;1;0;2;0
2019-09-18 04:06:58;31;8;4;6;3;2;2;1;0;2;0
2019-09-18 04:07:59;31;8;4;6;3;2;2;1;0;2;0
2019-09-18 04:08:59;31;8;4;6;3;2;2;1;0;2;0
2019-09-18 04:09:59;31;8;4;6;3;2;2;1;0;2;0
2019-09-18 04:10:58;31;8;4;6;3;2;2;1;0;2;0
2019-09-18 04:11:59;31;8;4;6;3;2;2;1;0;2;0
2019-09-18 04:12:59;31;8;4;6;3;2;2;1;0;2;0
2019-09-18 04:13:58;31;8;4;6;3;2;2;1;0;2;0
2019-09-18 04:14:59;32;8;4;7;3;2;2;1;0;2;0
2019-09-18 04:15:59;32;8;4;7;3;2;2;1;0;2;0
2019-09-18 04:16:59;32;8;4;7;3;2;2;1;0;2;0
2019-09-18 04:17:58;32;8;4;7;3;2;2;1;0;2;0
2019-09-18 04:18:59;33;9;4;7;3;2;2;1;0;2;0
2019-09-18 04:19:59;33;9;4;7;3;2;2;1;0;2;0
2019-09-18 04:20:58;33;9;4;7;3;2;2;1;0;2;0
2019-09-18 04:21:59;33;9;4;7;3;2;2;1;0;2;0
2019-09-18 04:22:59;33;9;4;7;3;2;2;1;0;2;0
2019-09-18 04:23:59;33;9;4;7;3;2;2;1;0;2;0
2019-09-18 04:24:58;33;9;4;7;3;2;2;1;0;2;0
2019-09-18 04:25:59;34;9;5;7;3;2;2;1;0;2;0
2019-09-18 04:26:59;34;9;5;7;3;2;2;1;0;2;0
2019-09-18 04:27:58;34;9;5;7;3;2;2;1;0;2;0
2019-09-18 04:28:59;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:29:58;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:30:59;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:31:59;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:32:59;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:33:58;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:34:59;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:35:59;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:36:59;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:37:58;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:38:59;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:39:59;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:40:59;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:41:58;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:42:59;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:43:59;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:44:58;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:45:59;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:46:59;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:47:59;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:48:58;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:49:59;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:50:59;35;9;6;7;3;2;2;1;0;2;0
2019-09-18 04:51:59;36;10;6;7;3;2;2;1;0;2;0
2019-09-18 04:52:58;36;10;6;7;3;2;2;1;0;2;0
2019-09-18 04:53:59;36;10;6;7;3;2;2;1;0;2;0
2019-09-18 04:54:59;36;10;6;7;3;2;2;1;0;2;0
2019-09-18 04:55:58;36;10;6;7;3;2;2;1;0;2;0
2019-09-18 04:56:59;36;10;6;7;3;2;2;1;0;2;0
2019-09-18 04:57:59;36;10;6;7;3;2;2;1;0;2;0
2019-09-18 04:58:59;37;10;7;7;3;2;2;1;0;2;0
2019-09-18 04:59:58;37;10;7;7;3;2;2;1;0;2;0
2019-09-18 05:00:59;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:01:59;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:02:58;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:03:59;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:04:59;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:05:58;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:06:59;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:07:59;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:08:59;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:09:58;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:10:59;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:11:59;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:12:58;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:13:59;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:14:59;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:15:59;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:16:58;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:17:59;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:18:59;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:19:58;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:20:59;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:21:58;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:22:59;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:23:59;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:24:58;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:25:59;38;10;7;7;4;2;2;1;0;2;0
2019-09-18 05:26:59;39;10;7;7;4;2;3;1;0;2;0
2019-09-18 05:27:59;39;10;7;7;4;2;3;1;0;2;0
2019-09-18 05:28:58;41;11;7;7;4;2;3;1;0;2;0
2019-09-18 05:29:59;41;11;7;7;4;2;3;1;0;2;0
2019-09-18 05:30:59;42;12;7;7;4;2;3;1;0;2;0
2019-09-18 05:31:58;42;12;7;7;4;2;3;1;0;2;0
2019-09-18 05:32:59;42;12;7;7;4;2;3;1;0;2;0
2019-09-18 05:33:59;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:34:59;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:35:58;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:36:59;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:37:59;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:38:58;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:39:59;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:40:59;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:41:59;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:42:58;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:43:59;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:44:59;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:45:59;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:46:58;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:47:59;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:48:59;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:49:58;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:50:59;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:51:59;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:52:59;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:53:58;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:54:59;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:55:59;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:56:59;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:57:58;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:58:59;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 05:59:58;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 06:00:59;43;12;7;7;4;2;4;1;0;2;0
2019-09-18 06:01:59;44;12;7;8;4;2;4;1;0;2;0
2019-09-18 06:02:59;44;12;7;8;4;2;4;1;0;2;0
2019-09-18 06:03:58;45;13;7;8;4;2;4;1;0;2;0
2019-09-18 06:04:59;45;13;7;8;4;2;4;1;0;2;0
2019-09-18 06:05:59;45;13;7;8;4;2;4;1;0;2;0
2019-09-18 06:06:58;45;13;7;8;4;2;4;1;0;2;0
2019-09-18 06:07:59;45;13;7;8;4;2;4;1;0;2;0
2019-09-18 06:08:59;45;13;7;8;4;2;4;1;0;2;0
2019-09-18 06:09:59;45;13;7;8;4;2;4;1;0;2;0
2019-09-18 06:10:58;45;13;7;8;4;2;4;1;0;2;0
2019-09-18 06:11:59;45;13;7;8;4;2;4;1;0;2;0
2019-09-18 06:12:59;45;13;7;8;4;2;4;1;0;2;0
2019-09-18 06:13:59;45;13;7;8;4;2;4;1;0;2;0
2019-09-18 06:14:58;46;14;7;8;4;2;4;1;0;2;0
2019-09-18 06:15:59;46;14;7;8;4;2;4;1;0;2;0
2019-09-18 06:16:59;46;14;7;8;4;2;4;1;0;2;0
2019-09-18 06:17:58;46;14;7;8;4;2;4;1;0;2;0
2019-09-18 06:18:59;46;14;7;8;4;2;4;1;0;2;0
2019-09-18 06:19:59;46;14;7;8;4;2;4;1;0;2;0
2019-09-18 06:20:58;47;14;7;8;4;2;4;1;0;2;0
2019-09-18 06:21:59;47;14;7;8;4;2;4;1;0;2;0
2019-09-18 06:22:59;47;14;7;8;4;2;4;1;0;2;0
2019-09-18 06:23:58;47;14;7;8;4;2;4;1;0;2;0
2019-09-18 06:24:59;47;14;7;8;4;2;4;1;0;2;0
2019-09-18 06:26:00;47;14;7;8;4;2;4;1;0;2;0
2019-09-18 06:26:58;48;14;7;9;4;2;4;1;0;2;0
2019-09-18 06:27:59;48;14;7;9;4;2;4;1;0;2;0
2019-09-18 06:28:59;48;14;7;9;4;2;4;1;0;2;0
2019-09-18 06:29:58;48;14;7;9;4;2;4;1;0;2;0
2019-09-18 06:30:59;48;14;7;9;4;2;4;1;0;2;0
2019-09-18 06:31:59;48;14;7;9;4;2;4;1;0;2;0
2019-09-18 06:32:58;48;14;7;9;4;2;4;1;0;2;0
2019-09-18 06:33:59;48;15;7;9;4;2;4;0;0;2;0
