datetime;total_votes;cofee;jovan;thaisia_b;NoEndOutcry;Trollero;cmapukocmankypum;voklo;asap;MishaPepyaka;Goinsane
2019-09-04 04:43:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:44:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:45:58;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:46:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:47:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:48:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:49:58;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:50:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:51:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:52:58;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:53:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:54:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:55:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:56:58;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:57:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:58:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:59:58;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 05:00:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 05:01:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 05:02:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 05:03:58;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 05:04:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 05:05:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 05:06:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 05:07:58;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 05:08:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 05:09:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 05:10:58;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 05:11:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 05:12:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 05:13:58;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 05:14:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 05:15:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 05:16:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 05:17:58;32;4;3;6;5;2;1;3;0;0;1
2019-09-04 05:18:59;32;4;3;6;5;2;1;3;0;0;1
2019-09-04 05:19:59;32;4;3;6;5;2;1;3;0;0;1
2019-09-04 05:20:59;32;4;3;6;5;2;1;3;0;0;1
2019-09-04 05:21:58;32;4;3;6;5;2;1;3;0;0;1
2019-09-04 05:22:59;32;4;3;6;5;2;1;3;0;0;1
2019-09-04 05:23:58;32;4;3;6;5;2;1;3;0;0;1
2019-09-04 05:24:59;32;4;3;6;5;2;1;3;0;0;1
2019-09-04 05:25:59;32;4;3;6;5;2;1;3;0;0;1
2019-09-04 05:26:58;32;4;3;6;5;2;1;3;0;0;1
2019-09-04 05:27:59;32;4;3;6;5;2;1;3;0;0;1
2019-09-04 05:28:59;32;4;3;6;5;2;1;3;0;0;1
2019-09-04 05:29:59;32;4;3;6;5;2;1;3;0;0;1
2019-09-04 05:30:58;32;4;3;6;5;2;1;3;0;0;1
2019-09-04 05:31:59;32;4;3;6;5;2;1;3;0;0;1
2019-09-04 05:32:59;32;4;3;6;5;2;1;3;0;0;1
2019-09-04 05:33:59;32;4;3;6;5;2;1;3;0;0;1
2019-09-04 05:34:58;32;4;3;6;5;2;1;3;0;0;1
2019-09-04 05:35:59;32;4;3;6;5;2;1;3;0;0;1
2019-09-04 05:36:59;32;4;3;6;5;2;1;3;0;0;1
2019-09-04 05:37:59;33;4;3;7;5;2;1;3;0;0;1
2019-09-04 05:38:58;33;4;3;7;5;2;1;3;0;0;1
2019-09-04 05:39:59;33;4;3;7;5;2;1;3;0;0;1
2019-09-04 05:40:59;33;4;3;7;5;2;1;3;0;0;1
2019-09-04 05:41:58;34;4;3;7;6;2;1;3;0;0;1
2019-09-04 05:42:59;34;4;3;7;6;2;1;3;0;0;1
2019-09-04 05:43:59;34;4;3;7;6;2;1;3;0;0;1
2019-09-04 05:44:58;34;4;3;7;6;2;1;3;0;0;1
2019-09-04 05:45:59;34;4;3;7;6;2;1;3;0;0;1
2019-09-04 05:46:59;34;4;3;7;6;2;1;3;0;0;1
2019-09-04 05:47:58;34;4;3;7;6;2;1;3;0;0;1
2019-09-04 05:48:59;34;4;3;7;6;2;1;3;0;0;1
2019-09-04 05:49:59;34;4;3;7;6;2;1;3;0;0;1
2019-09-04 05:50:59;35;4;3;8;6;2;1;3;0;0;1
2019-09-04 05:51:58;35;4;3;8;6;2;1;3;0;0;1
2019-09-04 05:52:59;35;4;3;8;6;2;1;3;0;0;1
2019-09-04 05:53:59;35;4;3;8;6;2;1;3;0;0;1
2019-09-04 05:54:59;35;4;3;8;6;2;1;3;0;0;1
2019-09-04 05:55:58;35;4;3;8;6;2;1;3;0;0;1
