datetime;total_votes;nenastja;SuokSuok;Wiedemann;voklo;bigmouse;DrumBox;ielarud;rockamark;reasonspace;am_vrn
2019-08-28 06:15:59;46;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:16:59;46;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:17:58;46;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:18:59;46;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:19:59;46;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:20:58;46;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:21:59;46;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:22:59;46;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:23:58;46;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:24:59;46;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:25:59;47;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:26:58;47;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:27:59;47;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:28:59;47;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:29:59;47;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:30:58;47;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:31:59;47;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:32:59;47;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:33:59;47;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:34:58;47;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:35:59;47;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:36:59;47;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:37:58;47;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:38:59;47;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:39:59;47;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:40:59;47;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:41:58;47;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:42:59;47;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:43:59;47;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:44:59;47;14;0;5;7;3;5;2;2;1;0
2019-08-28 06:45:58;48;15;0;5;7;3;5;2;2;1;0
2019-08-28 06:46:59;48;15;0;5;7;3;5;2;2;1;0
2019-08-28 06:47:59;48;15;0;5;7;3;5;2;2;1;0
2019-08-28 06:48:59;49;15;0;5;8;3;5;2;2;1;0
2019-08-28 06:49:58;49;15;0;5;8;3;5;2;2;1;0
2019-08-28 06:50:59;49;15;0;5;8;3;5;2;2;1;0
2019-08-28 06:51:59;49;15;0;5;8;3;5;2;2;1;0
2019-08-28 06:52:58;50;15;0;6;8;3;5;2;2;1;0
2019-08-28 06:53:59;50;15;0;6;8;3;5;2;2;1;0
2019-08-28 06:54:59;50;15;0;6;8;3;5;2;2;1;0
2019-08-28 06:55:59;50;15;0;6;8;3;5;2;2;1;0
2019-08-28 06:56:58;50;15;0;6;8;3;5;2;2;1;0
2019-08-28 06:57:59;50;15;0;6;8;3;5;2;2;1;0
2019-08-28 06:58:59;50;15;0;6;8;3;5;2;2;1;0
2019-08-28 06:59:58;50;15;0;6;8;3;5;2;2;1;0
2019-08-28 07:00:59;50;15;0;6;8;3;5;2;2;1;0
2019-08-28 07:01:59;50;15;0;6;8;3;5;2;2;1;0
2019-08-28 07:02:58;50;15;0;6;8;3;5;2;2;1;0
2019-08-28 07:03:59;50;15;0;6;8;3;5;2;2;1;0
2019-08-28 07:04:59;50;15;0;6;8;3;5;2;2;1;0
2019-08-28 07:05:59;50;15;0;6;8;3;5;2;2;1;0
2019-08-28 07:06:58;51;15;0;6;8;4;5;2;2;1;0
2019-08-28 07:07:59;51;15;0;6;8;4;5;2;2;1;0
2019-08-28 07:08:59;51;15;0;6;8;4;5;2;2;1;0
2019-08-28 07:09:58;51;15;0;6;8;4;5;2;2;1;0
2019-08-28 07:10:59;51;15;0;6;8;4;5;2;2;1;0
2019-08-28 07:11:59;51;15;0;6;8;4;5;2;2;1;0
2019-08-28 07:12:58;51;15;0;6;8;4;5;2;2;1;0
2019-08-28 07:13:59;51;15;0;6;8;4;5;2;2;1;0
2019-08-28 07:14:59;51;15;0;6;8;4;5;2;2;1;0
2019-08-28 07:16:00;51;15;0;6;8;4;5;2;2;1;0
2019-08-28 07:16:58;51;15;0;6;8;4;5;2;2;1;0
2019-08-28 07:17:59;51;15;0;6;8;4;5;2;2;1;0
2019-08-28 07:18:58;51;15;0;6;8;4;5;2;2;1;0
2019-08-28 07:19:59;51;15;0;6;8;4;5;2;2;1;0
2019-08-28 07:20:59;52;16;0;6;8;4;5;2;2;1;0
2019-08-28 07:21:59;52;16;0;6;8;4;5;2;2;1;0
2019-08-28 07:22:58;52;16;0;6;8;4;5;2;2;1;0
2019-08-28 07:23:59;52;16;0;6;8;4;5;2;2;1;0
2019-08-28 07:24:59;52;16;0;6;8;4;5;2;2;1;0
2019-08-28 07:26:00;53;16;0;6;9;4;5;2;2;1;0
2019-08-28 07:26:58;53;16;0;6;9;4;5;2;2;1;0
2019-08-28 07:27:59;54;16;0;6;9;4;5;2;2;1;0
2019-08-28 07:28:59;54;16;0;6;9;4;5;2;2;1;0
2019-08-28 07:29:58;54;16;0;6;9;4;5;2;2;1;0
2019-08-28 07:30:59;54;16;0;6;9;4;5;2;2;1;0
2019-08-28 07:31:59;54;16;0;6;9;4;5;2;2;1;0
2019-08-28 07:32:59;55;16;0;6;9;4;5;2;2;2;1
2019-08-28 07:33:58;55;16;0;6;9;4;5;2;2;2;1
2019-08-28 07:34:59;55;16;0;6;9;4;5;2;2;2;1
2019-08-28 07:35:59;55;16;0;6;9;4;5;2;2;2;1
