datetime;total_votes;Oleum;Grit;KOCTOPE3;Dirtylieutenant;UndeadMoroz;Bruja_;a5urbanipa1;raaxiom;napa3um;1917
2020-12-30 02:02:58;42;9;10;0;2;2;3;0;2;0;2
2020-12-30 02:03:59;42;9;10;0;2;2;3;0;2;0;2
2020-12-30 02:04:58;42;9;10;0;2;2;3;0;2;0;2
2020-12-30 02:05:59;42;9;10;0;2;2;3;0;2;0;2
2020-12-30 02:06:59;42;9;10;0;2;2;3;0;2;0;2
2020-12-30 02:07:58;42;9;10;0;2;2;3;0;2;0;2
2020-12-30 02:08:59;42;9;10;0;2;2;3;0;2;0;2
2020-12-30 02:09:59;42;9;10;0;2;2;3;0;2;0;2
2020-12-30 02:10:58;42;9;10;0;2;2;3;0;2;0;2
2020-12-30 02:11:59;42;9;10;0;2;2;3;0;2;0;2
2020-12-30 02:12:59;42;9;10;0;2;2;3;0;2;0;2
2020-12-30 02:13:58;42;9;10;0;2;2;3;0;2;0;2
2020-12-30 02:14:59;42;9;10;0;2;2;3;0;2;0;2
2020-12-30 02:15:59;42;9;10;0;2;2;3;0;2;0;2
2020-12-30 02:16:58;42;9;10;0;2;2;3;0;2;0;2
2020-12-30 02:17:59;43;8;11;0;2;2;3;0;2;0;2
2020-12-30 02:18:59;43;8;11;0;2;2;3;0;2;0;2
2020-12-30 02:19:59;43;8;11;0;2;2;3;0;2;0;2
2020-12-30 02:20:58;43;8;11;0;2;2;3;0;2;0;2
2020-12-30 02:21:59;43;8;11;0;2;2;3;0;2;0;2
2020-12-30 02:22:59;43;8;11;0;2;2;3;0;2;0;2
2020-12-30 02:23:58;43;8;11;0;2;2;3;0;2;0;2
2020-12-30 02:24:59;43;8;11;0;2;2;3;0;2;0;2
2020-12-30 02:25:59;43;8;11;0;2;2;3;0;2;0;2
2020-12-30 02:26:58;43;8;11;0;2;2;3;0;2;0;2
2020-12-30 02:27:59;43;8;11;0;2;2;3;0;2;0;2
2020-12-30 02:28:59;44;9;11;0;2;2;3;0;2;0;2
2020-12-30 02:29:58;44;9;11;0;2;2;3;0;2;0;2
2020-12-30 02:30:59;44;9;11;0;2;2;3;0;2;0;2
2020-12-30 02:31:59;44;9;11;0;2;2;3;0;2;0;2
2020-12-30 02:32:58;44;8;11;0;2;2;3;0;2;0;2
2020-12-30 02:33:59;44;8;11;0;2;2;3;0;2;0;2
2020-12-30 02:34:58;44;8;11;0;2;2;3;0;2;0;2
2020-12-30 02:35:59;44;8;11;0;2;2;3;0;2;0;2
2020-12-30 02:36:58;44;8;11;0;2;2;3;0;2;0;2
2020-12-30 02:37:59;44;8;11;0;2;2;3;0;2;0;2
2020-12-30 02:38:58;45;8;12;0;2;2;3;0;2;0;2
2020-12-30 02:39:59;45;8;12;0;2;2;3;0;2;0;2
2020-12-30 02:40:59;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 02:41:58;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 02:42:59;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 02:43:58;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 02:44:59;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 02:45:59;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 02:46:58;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 02:47:59;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 02:48:59;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 02:49:58;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 02:50:59;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 02:51:59;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 02:52:58;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 02:53:59;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 02:54:59;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 02:55:58;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 02:56:59;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 02:57:59;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 02:58:58;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 02:59:59;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 03:00:59;47;9;12;1;2;2;3;0;2;0;2
2020-12-30 03:01:58;48;9;13;1;2;2;3;0;2;0;2
2020-12-30 03:02:59;48;9;13;1;2;2;3;0;2;0;2
2020-12-30 03:03:59;48;9;13;1;2;2;3;0;2;0;2
2020-12-30 03:04:58;48;9;13;1;2;2;3;0;2;0;2
2020-12-30 03:05:59;49;9;14;1;2;2;3;0;2;0;2
2020-12-30 03:06:59;49;9;14;1;2;2;3;0;2;0;2
2020-12-30 03:07:59;50;9;15;1;2;2;3;0;2;0;2
2020-12-30 03:08:58;50;9;15;1;2;2;3;0;2;0;2
2020-12-30 03:09:59;50;9;15;1;2;2;3;0;2;0;2
2020-12-30 03:10:58;50;9;15;1;2;2;3;0;2;0;2
2020-12-30 03:11:59;50;9;15;1;2;2;3;0;2;0;2
2020-12-30 03:12:58;50;9;15;1;2;2;3;0;2;0;2
2020-12-30 03:13:59;50;9;15;1;2;2;3;0;2;0;2
2020-12-30 03:14:59;50;9;15;1;2;2;3;0;2;0;2
2020-12-30 03:15:58;50;9;15;1;2;2;3;0;2;0;2
2020-12-30 03:16:59;50;9;15;1;2;2;3;0;2;0;2
2020-12-30 03:17:59;50;9;15;1;2;2;3;0;2;0;2
2020-12-30 03:18:58;50;9;15;1;2;2;3;0;2;0;2
2020-12-30 03:19:59;50;9;15;1;2;2;3;0;2;0;2
2020-12-30 03:20:58;50;9;15;1;2;2;3;0;2;0;2
2020-12-30 03:21:59;50;9;15;1;2;2;3;0;2;0;2
2020-12-30 03:22:58;50;9;15;1;2;2;3;0;2;0;2
2020-12-30 03:23:59;50;9;15;1;2;2;3;0;2;0;2
2020-12-30 03:24:58;51;9;15;1;2;2;3;0;2;0;3
2020-12-30 03:25:59;51;9;15;1;2;2;3;0;2;0;3
2020-12-30 03:26:59;51;9;15;1;2;2;3;0;2;0;3
2020-12-30 03:27:58;52;10;15;1;2;2;3;0;2;0;3
2020-12-30 03:28:59;52;10;15;1;2;2;3;0;2;0;3
2020-12-30 03:29:58;52;10;15;1;2;2;3;0;2;0;3
2020-12-30 03:30:59;52;10;15;1;2;2;3;0;2;0;3
2020-12-30 03:31:59;52;10;15;1;2;2;3;0;2;0;3
2020-12-30 03:32:58;52;10;15;1;2;2;3;0;2;0;3
2020-12-30 03:33:59;52;10;15;1;2;2;3;0;2;0;3
2020-12-30 03:34:59;52;10;15;1;2;2;3;0;2;0;3
2020-12-30 03:35:58;52;10;15;1;2;2;3;0;2;0;3
2020-12-30 03:36:59;52;10;15;1;2;2;3;0;2;0;3
2020-12-30 03:37:59;52;10;15;1;2;2;3;0;2;0;3
2020-12-30 03:38:58;52;10;15;1;2;2;3;0;2;0;3
2020-12-30 03:39:59;52;10;15;1;2;2;3;0;2;0;3
2020-12-30 03:40:59;53;11;15;1;2;2;3;0;2;0;3
2020-12-30 03:41:58;53;11;15;1;2;2;3;0;2;0;3
2020-12-30 03:42:59;53;11;15;1;2;2;3;0;2;0;3
2020-12-30 03:43:58;53;11;15;1;2;2;3;0;2;0;3
2020-12-30 03:44:59;53;11;15;1;2;2;3;0;2;0;3
2020-12-30 03:45:59;53;11;15;1;2;2;3;0;2;0;3
2020-12-30 03:46:58;53;11;15;1;2;2;3;0;2;0;3
2020-12-30 03:47:59;53;11;15;1;2;2;3;0;2;0;3
2020-12-30 03:48:59;53;11;15;1;2;2;3;0;2;0;3
2020-12-30 03:49:58;53;11;15;1;2;2;3;0;2;0;3
2020-12-30 03:50:59;53;12;15;1;2;2;3;0;2;0;2
2020-12-30 03:51:59;53;12;15;1;2;2;3;0;2;0;2
2020-12-30 03:52:58;53;12;15;1;2;2;3;0;2;0;2
2020-12-30 03:53:59;53;12;15;1;2;2;3;0;2;0;2
2020-12-30 03:54:59;53;12;15;1;2;2;3;0;2;0;2
2020-12-30 03:55:58;53;12;15;1;2;2;3;0;2;0;2
2020-12-30 03:56:59;53;12;15;1;2;2;3;0;2;0;2
2020-12-30 03:57:59;53;12;15;1;2;2;3;0;2;0;2
2020-12-30 03:58:58;54;12;16;1;2;2;3;0;2;0;2
2020-12-30 03:59:59;54;12;16;1;2;2;3;0;2;0;2
2020-12-30 04:00:58;54;12;16;1;2;2;3;0;2;0;2
2020-12-30 04:01:59;54;12;16;1;2;2;3;0;2;0;2
2020-12-30 04:02:59;54;12;16;1;2;2;3;0;2;0;2
2020-12-30 04:03:58;54;12;16;1;2;2;3;0;2;0;2
