datetime;total_votes;Hexadecachoron;megaslowpoke;jovan;Есения;navalny;quick_justice;aeroplanchik;Rumpelstilzchen;megalomaniac;kiLstrom
2020-08-26 05:19:59;50;10;9;0;5;0;4;0;2;3;2
2020-08-26 05:20:58;50;10;9;0;5;0;4;0;2;3;2
2020-08-26 05:21:59;51;11;9;0;5;0;4;0;2;3;2
2020-08-26 05:22:59;51;11;9;0;5;0;4;0;2;3;2
2020-08-26 05:23:58;51;11;9;0;5;0;4;0;2;3;2
2020-08-26 05:24:59;51;11;9;0;5;0;4;0;2;3;2
2020-08-26 05:25:59;51;11;9;0;5;0;4;0;2;3;2
2020-08-26 05:26:58;51;11;9;0;5;0;4;0;2;3;2
2020-08-26 05:27:59;51;11;9;0;5;0;4;0;2;3;2
2020-08-26 05:28:59;51;11;9;0;5;0;4;0;2;3;2
2020-08-26 05:29:58;51;11;9;0;5;0;4;0;2;3;2
2020-08-26 05:30:59;51;11;9;0;5;0;4;0;2;3;2
2020-08-26 05:31:59;51;11;9;0;5;0;4;0;2;3;2
2020-08-26 05:32:58;51;11;9;0;5;0;4;0;2;3;2
2020-08-26 05:33:59;51;11;9;0;5;0;4;0;2;3;2
2020-08-26 05:34:59;51;11;9;0;5;0;4;0;2;3;2
2020-08-26 05:35:58;51;11;9;0;5;0;4;0;2;3;2
2020-08-26 05:36:59;51;11;9;0;5;0;4;0;2;3;2
2020-08-26 05:38:00;51;11;9;0;5;0;4;0;2;3;2
2020-08-26 05:38:58;51;11;9;0;5;0;4;0;2;3;2
2020-08-26 05:39:59;51;11;9;0;5;0;4;0;2;3;2
2020-08-26 05:40:58;52;12;9;0;5;0;4;0;2;3;2
2020-08-26 05:41:59;52;12;9;0;5;0;4;0;2;3;2
2020-08-26 05:42:59;52;12;9;0;5;0;4;0;2;3;2
2020-08-26 05:43:59;52;12;9;0;5;0;4;0;2;3;2
2020-08-26 05:44:58;52;12;9;0;5;0;4;0;2;3;2
2020-08-26 05:45:59;52;12;9;0;5;0;4;0;2;3;2
2020-08-26 05:46:59;52;12;9;0;5;0;4;0;2;3;2
2020-08-26 05:47:58;52;12;9;0;5;0;4;0;2;3;2
2020-08-26 05:48:59;52;12;9;0;5;0;4;0;2;3;2
2020-08-26 05:49:58;52;12;9;0;5;0;4;0;2;3;2
2020-08-26 05:50:59;53;13;9;0;5;0;4;0;2;3;2
2020-08-26 05:51:59;53;13;9;0;5;0;4;0;2;3;2
2020-08-26 05:52:58;53;13;9;0;5;0;4;0;2;3;2
2020-08-26 05:53:59;54;13;9;0;5;0;4;0;2;3;2
2020-08-26 05:54:59;54;13;9;0;5;0;4;0;2;3;2
2020-08-26 05:55:58;54;13;9;0;5;0;4;0;2;3;2
2020-08-26 05:56:59;54;13;9;0;5;0;4;0;2;3;2
2020-08-26 05:57:59;54;13;9;0;5;0;4;0;2;3;2
2020-08-26 05:58:58;54;13;9;0;5;0;4;0;2;3;2
2020-08-26 05:59:59;54;13;9;0;5;0;4;0;2;3;2
2020-08-26 06:00:58;54;13;9;0;5;0;4;0;2;3;2
2020-08-26 06:01:59;54;13;9;0;5;0;4;0;2;3;2
2020-08-26 06:03:00;54;13;9;0;5;0;4;0;2;3;2
2020-08-26 06:03:58;54;13;9;0;5;0;4;0;2;3;2
2020-08-26 06:04:59;55;13;9;0;6;0;4;0;2;3;2
2020-08-26 06:06:00;55;13;9;0;6;0;4;0;2;3;2
2020-08-26 06:06:58;56;13;9;0;7;0;4;0;2;3;2
2020-08-26 06:07:59;56;13;9;0;7;0;4;0;2;3;2
2020-08-26 06:09:00;56;13;9;0;7;0;4;0;2;3;2
2020-08-26 06:09:58;56;13;9;0;7;0;4;0;2;3;2
2020-08-26 06:10:59;57;14;9;0;7;0;4;0;2;3;2
2020-08-26 06:11:59;57;14;9;0;7;0;4;0;2;3;2
2020-08-26 06:12:58;57;14;9;0;7;0;4;0;2;3;2
2020-08-26 06:13:59;57;14;9;0;7;0;4;0;2;3;2
2020-08-26 06:14:59;57;14;9;0;7;0;4;0;2;3;2
2020-08-26 06:15:58;57;14;9;0;7;0;4;0;2;3;2
