datetime;total_votes;violetshit;KOCTOPE3;sergoff;psydoc;pupsique;xromota;Есения;UncleDre;BadFish;X-Rayer
2019-01-30 05:43:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:44:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:45:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:46:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:47:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:48:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:49:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:50:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:51:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:52:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:53:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:54:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:55:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:56:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:57:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:58:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:59:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:00:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:01:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:02:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:04:00;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:04:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:05:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:06:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:07:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:08:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:09:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:10:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:11:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:12:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:13:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:14:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:15:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:16:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:17:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:18:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:19:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:20:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:21:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:22:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 06:23:59;41;3;6;10;10;2;1;1;1;2;0
2019-01-30 06:24:59;41;3;6;10;10;2;1;1;1;2;0
2019-01-30 06:25:58;41;3;6;10;10;2;1;1;1;2;0
2019-01-30 06:26:59;41;3;6;10;10;2;1;1;1;2;0
2019-01-30 06:27:58;41;3;6;10;10;2;1;1;1;2;0
2019-01-30 06:28:59;41;3;6;10;10;2;1;1;1;2;0
2019-01-30 06:29:59;41;3;6;10;10;2;1;1;1;2;0
2019-01-30 06:30:58;41;3;6;10;10;2;1;1;1;2;0
2019-01-30 06:31:59;42;4;6;10;10;2;1;1;1;2;0
2019-01-30 06:32:58;42;4;6;10;10;2;1;1;1;2;0
2019-01-30 06:33:59;42;4;6;10;10;2;1;1;1;2;0
