datetime;total_votes;leprovalentin;Plancus;daruta;KOCTOPE3;Rumpelstilzchen;yachik;Есения;X-Rayer;pupsique;madcore
2019-02-20 02:44:59;37;8;12;5;2;3;2;0;0;0;1
2019-02-20 02:45:58;37;8;12;5;2;3;2;0;0;0;1
2019-02-20 02:46:59;37;8;12;5;2;3;2;0;0;0;1
2019-02-20 02:47:59;37;8;12;5;2;3;2;0;0;0;1
2019-02-20 02:48:58;37;8;12;5;2;3;2;0;0;0;1
2019-02-20 02:49:59;37;8;12;5;2;3;2;0;0;0;1
2019-02-20 02:50:59;37;8;12;5;2;3;2;0;0;0;1
2019-02-20 02:51:59;37;8;12;5;2;3;2;0;0;0;1
2019-02-20 02:52:58;37;8;12;5;2;3;2;0;0;0;1
2019-02-20 02:53:59;37;8;12;5;2;3;2;0;0;0;1
2019-02-20 02:54:59;37;8;12;5;2;3;2;0;0;0;1
2019-02-20 02:55:58;37;8;12;5;2;3;2;0;0;0;1
2019-02-20 02:56:59;37;8;12;5;2;3;2;0;0;0;1
2019-02-20 02:57:58;37;8;12;5;2;3;2;0;0;0;1
2019-02-20 02:58:59;37;8;12;5;2;3;2;0;0;0;1
2019-02-20 02:59:59;38;8;13;5;2;3;2;0;0;0;1
2019-02-20 03:00:58;38;8;13;5;2;3;2;0;0;0;1
2019-02-20 03:01:59;38;8;13;5;2;3;2;0;0;0;1
2019-02-20 03:02:59;38;8;13;5;2;3;2;0;0;0;1
2019-02-20 03:03:58;38;8;13;5;2;3;2;0;0;0;1
2019-02-20 03:04:59;38;8;13;5;2;3;2;0;0;0;1
2019-02-20 03:05:58;38;8;13;5;2;3;2;0;0;0;1
2019-02-20 03:06:59;38;8;13;5;2;3;2;0;0;0;1
2019-02-20 03:07:59;38;8;13;5;2;3;2;0;0;0;1
2019-02-20 03:08:58;38;8;13;5;2;3;2;0;0;0;1
2019-02-20 03:09:59;38;8;13;5;2;3;2;0;0;0;1
2019-02-20 03:10:58;38;8;13;5;2;3;2;0;0;0;1
2019-02-20 03:11:59;39;8;13;6;2;3;2;0;0;0;1
2019-02-20 03:12:59;39;8;13;6;2;3;2;0;0;0;1
2019-02-20 03:13:58;39;8;13;6;2;3;2;0;0;0;1
2019-02-20 03:14:59;39;8;13;6;2;3;2;0;0;0;1
2019-02-20 03:15:58;39;8;13;6;2;3;2;0;0;0;1
2019-02-20 03:16:59;40;9;13;6;2;3;2;0;0;0;1
2019-02-20 03:17:59;40;9;13;6;2;3;2;0;0;0;1
