datetime;total_votes;heroin;Rumpelstilzchen;1917;navalny;Zippymax;quick_justice;shamanka2_0;Fill;HugoStiglitz;UndeadMoroz
2020-10-14 01:55:59;46;5;10;10;1;0;0;3;0;5;0
2020-10-14 01:56:58;46;5;10;10;1;0;0;3;0;5;0
2020-10-14 01:57:59;46;5;10;10;1;0;0;3;0;5;0
2020-10-14 01:58:59;46;5;10;10;1;0;0;3;0;5;0
2020-10-14 01:59:58;46;5;10;10;1;0;0;3;0;5;0
2020-10-14 02:00:59;46;5;10;10;1;0;0;3;0;5;0
2020-10-14 02:01:59;46;5;10;10;1;0;0;3;0;5;0
2020-10-14 02:02:58;46;5;10;10;1;0;0;3;0;5;0
2020-10-14 02:03:59;46;5;10;10;1;0;0;3;0;5;0
2020-10-14 02:04:59;47;5;11;10;1;0;0;3;0;5;0
2020-10-14 02:05:58;48;5;12;10;1;0;0;3;0;5;0
2020-10-14 02:06:59;48;5;12;10;1;0;0;3;0;5;0
2020-10-14 02:07:59;48;5;12;10;1;0;0;3;0;5;0
2020-10-14 02:09:00;48;5;12;10;1;0;0;3;0;5;0
2020-10-14 02:09:58;48;5;12;10;1;0;0;3;0;5;0
2020-10-14 02:10:59;48;5;12;10;1;0;0;3;0;5;0
2020-10-14 02:11:58;49;5;12;11;1;0;0;3;0;5;0
2020-10-14 02:12:59;49;5;12;11;1;0;0;3;0;5;0
2020-10-14 02:13:59;49;5;12;11;1;0;0;3;0;5;0
2020-10-14 02:14:58;49;5;12;11;1;0;0;3;0;5;0
2020-10-14 02:15:59;49;5;12;11;1;0;0;3;0;5;0
2020-10-14 02:16:59;49;5;12;11;1;0;0;3;0;5;0
2020-10-14 02:17:58;49;5;12;11;1;0;0;3;0;5;0
2020-10-14 02:18:59;49;5;12;11;1;0;0;3;0;5;0
2020-10-14 02:19:59;50;5;12;12;1;0;0;3;0;5;0
2020-10-14 02:20:58;50;5;12;12;1;0;0;3;0;5;0
2020-10-14 02:21:59;51;5;13;12;1;0;0;3;0;5;0
2020-10-14 02:22:59;51;5;13;12;1;0;0;3;0;5;0
2020-10-14 02:23:58;52;5;14;12;1;0;0;3;0;5;0
2020-10-14 02:24:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:25:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:26:58;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:27:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:28:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:29:58;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:30:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:31:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:32:58;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:33:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:34:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:35:58;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:36:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:37:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:38:58;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:39:59;53;5;15;12;1;0;0;3;0;5;0
2020-10-14 02:40:59;53;5;15;12;1;0;0;3;0;5;0
