datetime;total_votes;Shambala;quick_justice;KOCTOPE3;shamanka2_1;Rumpelstilzchen;NAFA;Dirtylieutenant;EMAILWARENFABRIK;Есения;a5urbanipa1
2021-02-17 02:20:59;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:21:58;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:22:59;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:23:58;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:24:59;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:25:59;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:26:58;40;1;13;4;1;7;0;1;0;0;0
2021-02-17 02:27:59;40;1;13;4;1;7;0;1;0;0;0
2021-02-17 02:28:59;40;1;13;4;1;7;0;1;0;0;0
2021-02-17 02:29:58;40;1;13;4;1;7;0;1;0;0;0
2021-02-17 02:30:59;40;1;13;4;1;7;0;1;0;0;0
2021-02-17 02:31:59;40;1;13;4;1;7;0;1;0;0;0
2021-02-17 02:32:58;40;1;13;4;1;7;0;1;0;0;0
2021-02-17 02:33:59;40;1;13;4;1;7;0;1;0;0;0
2021-02-17 02:34:58;40;1;13;4;1;7;0;1;0;0;0
2021-02-17 02:35:59;41;1;13;5;1;7;0;1;0;0;0
2021-02-17 02:36:59;41;1;13;5;1;7;0;1;0;0;0
2021-02-17 02:37:58;41;1;13;5;1;7;0;1;0;0;0
2021-02-17 02:38:59;41;1;13;5;1;7;0;1;0;0;0
2021-02-17 02:39:59;41;1;13;5;1;7;0;1;0;0;0
2021-02-17 02:40:58;41;1;13;5;1;7;0;1;0;0;0
2021-02-17 02:41:59;41;1;13;5;1;7;0;1;0;0;0
2021-02-17 02:42:59;41;1;13;5;1;7;0;1;0;0;0
2021-02-17 02:43:59;41;1;13;5;1;7;0;1;0;0;0
2021-02-17 02:44:58;41;1;13;5;1;7;0;1;0;0;0
2021-02-17 02:45:59;41;1;13;5;1;7;0;1;0;0;0
2021-02-17 02:46:59;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 02:47:58;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 02:48:59;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 02:49:59;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 02:50:58;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 02:51:59;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 02:52:59;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 02:53:59;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 02:54:58;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 02:55:59;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 02:56:58;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 02:57:59;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 02:58:58;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 02:59:59;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 03:00:59;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 03:01:58;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 03:02:59;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 03:03:58;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 03:04:59;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 03:05:59;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 03:06:59;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 03:07:58;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 03:08:59;42;2;13;5;1;7;0;1;0;0;0
2021-02-17 03:09:59;43;2;13;5;1;8;0;1;0;0;0
2021-02-17 03:10:58;43;2;13;5;1;8;0;1;0;0;0
2021-02-17 03:11:59;44;2;13;5;0;8;0;1;0;1;0
2021-02-17 03:12:58;44;2;13;5;0;8;0;1;0;1;0
2021-02-17 03:13:59;44;2;13;5;0;8;0;1;0;1;0
2021-02-17 03:14:59;44;2;13;5;0;8;0;1;0;1;0
2021-02-17 03:15:58;44;2;13;5;0;8;0;1;0;1;0
2021-02-17 03:16:59;44;2;13;5;0;8;0;1;0;1;0
2021-02-17 03:17:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:18:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:19:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:20:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:21:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:22:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:23:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:24:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:25:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:26:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:27:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:28:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:29:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:30:58;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:31:59;45;3;13;5;0;8;0;1;0;1;0
2021-02-17 03:32:59;45;3;13;5;0;8;0;1;0;1;0
