datetime;total_votes;xtal;tutabrain;KOCTOPE3;Krokodilov_Gena;Tae4ka;bf6;brammator;kiLstrom;Mapm;kotophalk
2019-11-13 02:26:58;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:27:59;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:28:59;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:29:58;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:30:59;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:31:59;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:32:59;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:33:58;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:34:59;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:35:59;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:36:58;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:37:59;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:38:58;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:39:59;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:40:59;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:41:58;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:42:59;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:43:59;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:44:59;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:45:59;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:46:59;41;6;8;8;3;0;0;0;0;0;2
2019-11-13 02:47:58;41;6;8;8;3;0;0;0;0;0;2
2019-11-13 02:48:59;41;6;8;8;3;0;0;0;0;0;2
2019-11-13 02:49:59;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 02:50:58;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 02:51:59;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 02:52:59;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 02:53:59;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 02:54:58;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 02:55:59;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 02:56:58;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 02:57:59;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 02:58:59;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 02:59:59;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 03:00:58;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 03:01:59;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 03:02:59;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 03:03:58;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 03:04:59;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 03:05:59;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 03:06:58;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 03:07:59;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 03:08:59;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 03:09:58;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 03:10:59;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 03:11:59;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 03:12:59;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 03:13:58;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 03:14:59;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 03:15:59;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 03:16:59;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 03:17:58;42;6;8;8;3;0;0;0;0;0;2
2019-11-13 03:18:59;43;6;8;8;4;0;0;0;0;0;2
2019-11-13 03:19:59;43;6;8;8;4;0;0;0;0;0;2
2019-11-13 03:20:58;43;6;8;8;4;0;0;0;0;0;2
2019-11-13 03:21:59;43;7;8;7;4;0;0;0;0;0;2
2019-11-13 03:22:59;43;7;8;7;4;0;0;0;0;0;2
2019-11-13 03:23:59;43;7;8;7;4;0;0;0;0;0;2
2019-11-13 03:24:58;43;7;8;7;4;0;0;0;0;0;2
2019-11-13 03:25:59;43;7;8;7;4;0;0;0;0;0;2
2019-11-13 03:26:58;43;7;8;7;4;0;0;0;0;0;2
2019-11-13 03:27:59;43;7;8;7;4;0;0;0;0;0;2
2019-11-13 03:28:59;43;7;8;7;4;0;0;0;0;0;2
2019-11-13 03:29:58;43;7;8;7;4;0;0;0;0;0;2
2019-11-13 03:30:59;43;7;8;7;4;0;0;0;0;0;2
2019-11-13 03:31:59;43;7;8;7;4;0;0;0;0;0;2
2019-11-13 03:33:00;43;7;8;7;4;0;0;0;0;0;2
2019-11-13 03:33:58;43;7;8;7;4;0;0;0;0;0;2
2019-11-13 03:34:59;43;7;8;7;4;0;0;0;0;0;2
