datetime;total_votes;TheWho;Grit;transistor;navalny;EMAILWARENFABRIK;megaslowpoke;tutabrain;quick_justice;Есения;a5urbanipa1
2020-09-16 02:45:59;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:46:58;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:47:59;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:48:59;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:49:58;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:50:59;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:51:59;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:52:58;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:53:59;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:55:00;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:55:58;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:56:59;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:57:58;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:58:59;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:59:59;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 03:00:58;41;14;3;6;0;3;2;0;2;0;0
2020-09-16 03:01:59;41;14;3;6;0;3;2;0;2;0;0
2020-09-16 03:02:59;41;14;3;6;0;3;2;0;2;0;0
2020-09-16 03:03:58;41;14;3;6;0;3;2;0;2;0;0
2020-09-16 03:04:59;41;14;3;6;0;3;2;0;2;0;0
2020-09-16 03:05:59;41;14;3;6;0;3;2;0;2;0;0
2020-09-16 03:06:58;41;14;3;6;0;3;2;0;2;0;0
2020-09-16 03:07:59;41;14;3;6;0;3;2;0;2;0;0
2020-09-16 03:08:59;41;14;3;6;0;3;2;0;2;0;0
2020-09-16 03:09:58;41;14;3;6;0;3;2;0;2;0;0
2020-09-16 03:10:59;41;14;3;6;0;3;2;0;2;0;0
2020-09-16 03:11:58;41;14;3;6;0;3;2;0;2;0;0
2020-09-16 03:12:59;41;14;3;6;0;3;2;0;2;0;0
2020-09-16 03:13:59;41;14;3;6;0;3;2;0;2;0;0
2020-09-16 03:14:58;41;14;3;6;0;3;2;0;2;0;0
2020-09-16 03:15:59;41;14;3;6;0;3;2;0;2;0;0
2020-09-16 03:16:59;41;14;3;6;0;3;2;0;2;0;0
2020-09-16 03:17:58;41;14;3;6;0;3;2;0;2;0;0
2020-09-16 03:18:59;42;14;3;7;0;3;2;0;2;0;0
2020-09-16 03:19:59;43;15;3;7;0;3;2;0;2;0;0
2020-09-16 03:20:58;43;15;3;7;0;3;2;0;2;0;0
2020-09-16 03:21:59;43;15;3;7;0;3;2;0;2;0;0
2020-09-16 03:22:59;43;15;3;7;0;3;2;0;2;0;0
2020-09-16 03:23:58;43;15;3;7;0;3;2;0;2;0;0
2020-09-16 03:24:59;43;15;3;7;0;3;2;0;2;0;0
2020-09-16 03:25:59;43;15;3;7;0;3;2;0;2;0;0
2020-09-16 03:26:58;43;15;3;7;0;3;2;0;2;0;0
2020-09-16 03:27:59;43;15;3;7;0;3;2;0;2;0;0
2020-09-16 03:28:59;43;15;3;7;0;3;2;0;2;0;0
2020-09-16 03:29:58;43;15;3;7;0;3;2;0;2;0;0
2020-09-16 03:30:59;43;15;3;7;0;3;2;0;2;0;0
2020-09-16 03:31:59;43;15;3;7;0;3;2;0;2;0;0
2020-09-16 03:32:58;43;15;3;7;0;3;2;0;2;0;0
2020-09-16 03:33:59;43;15;3;7;0;3;2;0;2;0;0
2020-09-16 03:34:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:35:58;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:36:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:37:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:38:58;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:39:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:40:58;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:41:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:42:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:43:58;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:44:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:45:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:46:58;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:47:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:48:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:49:58;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:50:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:51:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:52:58;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:53:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:54:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:55:58;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:56:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:57:58;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:58:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 03:59:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 04:00:58;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 04:01:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 04:02:58;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 04:03:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 04:04:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 04:05:58;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 04:06:59;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 04:08:00;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 04:08:58;44;16;3;7;0;3;2;0;2;0;0
2020-09-16 04:09:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:10:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:11:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:12:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:13:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:14:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:15:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:16:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:17:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:18:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:19:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:20:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:21:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:22:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:23:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:24:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:25:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:26:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:27:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:28:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:29:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:30:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:31:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:32:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:33:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:34:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:35:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:36:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:37:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:38:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:39:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:40:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:41:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:42:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:43:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:44:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:45:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:46:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:47:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:48:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:49:59;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:50:58;45;16;4;7;0;3;2;0;2;0;0
2020-09-16 04:51:59;45;16;4;7;0;3;2;0;2;0;0
