datetime;total_votes;Hemml;KOCTOPE3;pupsique;Patagonia;megalomaniac;Palad1n;Gugomat;jovan;Есения;Der_Sturmer
2019-04-17 03:03:59;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 03:04:58;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 03:05:59;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 03:06:59;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 03:07:58;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:08:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:09:58;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:10:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:11:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:12:58;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:13:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:14:58;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:15:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:16:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:17:58;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:18:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:19:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:20:58;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:21:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:22:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:23:58;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:24:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:25:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:26:58;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:27:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:28:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:29:58;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:30:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:31:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:32:58;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:33:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:34:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:35:58;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:36:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:37:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:38:58;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:39:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:41:00;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:41:58;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:42:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:43:58;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:44:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:45:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:46:58;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:47:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:48:59;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:49:58;35;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:50:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:51:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:52:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:53:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:54:59;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:56:00;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:56:58;36;0;5;2;7;0;4;4;0;0;2
2019-04-17 03:57:59;36;0;5;2;7;0;4;4;0;0;2
