datetime;total_votes;redslot;phoenyxxx;navalny;Plancus;FRANNI;jakesnake;Terkin;LumberJack;bf6;isen
2020-06-03 04:02:58;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:03:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:04:58;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:05:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:06:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:07:58;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:08:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:09:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:10:58;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:11:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:12:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:13:58;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:14:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:15:58;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:16:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:17:58;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:18:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:19:58;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:20:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:21:58;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:22:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:23:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:24:58;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:25:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:26:58;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:27:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:28:58;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:29:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:30:58;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:31:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:32:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:33:58;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:34:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:35:58;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:36:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:37:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:38:58;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:39:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:40:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:41:58;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:42:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:43:59;73;20;18;0;6;6;0;0;3;2;2
2020-06-03 04:44:58;74;21;18;0;6;6;0;0;3;2;2
2020-06-03 04:45:59;74;21;18;0;6;6;0;0;3;2;2
2020-06-03 04:46:59;74;21;18;0;6;6;0;0;3;2;2
2020-06-03 04:47:58;74;21;18;0;6;6;0;0;3;2;2
2020-06-03 04:48:59;74;21;18;0;6;6;0;0;3;2;2
2020-06-03 04:49:59;74;21;18;0;6;6;0;0;3;2;2
2020-06-03 04:50:58;74;21;18;0;6;6;0;0;3;2;2
2020-06-03 04:51:59;74;21;18;0;6;6;0;0;3;2;2
2020-06-03 04:52:59;74;21;18;0;6;6;0;0;3;2;2
